Region,Departement,COM_ARRT_VILLE,COMMUNE,QUARTIER_VILLAGE_HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION
ZIGUINCHOR,BIGNONA,BIGNONA,BIGNONA,BASSENE,575,829,3169,3034,6203
ZIGUINCHOR,BIGNONA,BIGNONA,BIGNONA,"CHATEAU D'EAU",389,658,2266,2166,4432
ZIGUINCHOR,BIGNONA,BIGNONA,BIGNONA,KADIAMOR,569,663,2315,2260,4575
ZIGUINCHOR,BIGNONA,BIGNONA,BIGNONA,MANGUILINE,334,453,1529,1618,3147
ZIGUINCHOR,BIGNONA,BIGNONA,BIGNONA,"MEDINA PLATEAU",980,1493,5301,4984,10285
ZIGUINCHOR,BIGNONA,"THIONCK ESSYL","THIONCK ESSYL",BATINE,184,280,1031,1019,2050
ZIGUINCHOR,BIGNONA,"THIONCK ESSYL","THIONCK ESSYL",DAGA,301,406,1337,1315,2652
ZIGUINCHOR,BIGNONA,"THIONCK ESSYL","THIONCK ESSYL",KAMANAR,189,247,822,831,1653
ZIGUINCHOR,BIGNONA,"THIONCK ESSYL","THIONCK ESSYL",NIAGANANE,260,382,1363,1243,2606
ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,"BADIONCOTO COMBOLI",2,3,20,18,38
ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,BAIPEUNG,26,29,179,108,287
ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,BALIGNANE,14,23,94,99,193
ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,"H1 BANTANARE",9,10,39,33,72
ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,"H3 KASSIRANA",1,2,4,5,9
ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,"BALLA BASSENE",21,31,143,125,268
ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,"BALLA DJIFALONE",9,12,51,49,100
ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,"BALLA DJIRING",27,27,154,121,275
ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,"BALLA OUGOUNOR",21,26,183,159,342
ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,BASSENE,9,10,33,24,57
ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,"BATINDING BOUDIAKENE",2,4,18,11,29
ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,"BATINDING DIEME",19,25,153,140,293
ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,BOULAYOTTE,14,16,124,91,215
ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,"H1 GOLEME",2,3,46,9,55
ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,BOULELAYE,11,14,49,41,90
ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,BOULINGHOYE,27,32,137,104,241
ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,BOULIWAYE,6,6,29,21,50
ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,BRINDIAGO,43,67,328,299,627
ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,"H1 DJIWAYE",11,16,62,53,115
ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,"DIABOUDIOR FRONTIERE",20,26,150,114,264
ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,"DIABOUDIOR TANGAL",3,4,10,9,19
ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,"DIACOYE COMBOLI",21,24,94,88,182
ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,DIOCADOU,28,31,211,99,310
ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,DJIBIAME,24,28,124,119,243
ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,"H1 SABOUDJI",8,8,42,30,72
ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,"H2 KAKARE",6,7,24,23,47
ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,DJIBIDIONE,48,64,288,189,477
ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,"H1 BARANDALATTE",4,4,23,17,40
ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,DJIDJIRONE,25,34,136,119,255
ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,"H1 DIACOYE",7,7,33,18,51
ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,"H2 MANDEGANE",2,2,7,13,20
ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,"DJINEA DJIAGUIBE",25,33,119,110,229
ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,DJIRAL,10,12,89,58,147
ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,DJITER,5,6,33,24,57
ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,"H1 PEIGNE",9,9,41,38,79
ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,DJIONDJI,33,42,114,98,212
ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,"H1 DIEYE",17,22,64,47,111
ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,"GRAND KANAO",16,17,93,69,162
ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,KAEGHA,1,1,5,7,12
ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,KALEOU,11,14,81,50,131
ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,"KAROUNOR NARANG",2,3,16,20,36
ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,MASSARA,25,39,177,179,356
ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,"H1 KAROUNOR",6,6,34,43,77
ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,"H2 DJITETE",5,11,41,42,83
ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,"NEMA DJINARE",18,28,158,115,273
ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,"H1 DJINARE",3,7,59,46,105
ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,NIAIRE,5,7,28,17,45
ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,NIALLE,13,21,129,109,238
ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,"H1 WONTO",5,5,32,24,56
ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,"H2 FLOUP",3,3,19,14,33
ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,OUGONOR,8,8,21,20,41
ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,SITOUKENE,39,43,203,182,385
ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,"BAÏPEUL FRONTIERE",3,3,10,10,20
ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,DIACOYE,4,5,26,34,60
ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,DJIREME,17,20,71,76,147
ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,ELOL,5,7,35,20,55
ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,"ELOL MADIEDAME",11,17,60,47,107
ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,KARANAYE,4,6,23,22,45
ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,KONA,8,9,45,37,82
ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,KOUREGUE,12,12,45,36,81
ZIGUINCHOR,BIGNONA,SINDIAN,DJIBIDIONE,"PETIT BALANDINE",10,10,30,28,58
ZIGUINCHOR,BIGNONA,SINDIAN,OULAMPANE,ALACOUNDA,1,1,4,2,6
ZIGUINCHOR,BIGNONA,SINDIAN,OULAMPANE,"BALANKINE NORD",44,52,255,250,505
ZIGUINCHOR,BIGNONA,SINDIAN,OULAMPANE,BAMBATOUMA,22,24,141,119,260
ZIGUINCHOR,BIGNONA,SINDIAN,OULAMPANE,"BASSENE MANDOUARD",2,2,5,4,9
ZIGUINCHOR,BIGNONA,SINDIAN,OULAMPANE,"H2 DIWANE",4,4,15,20,35
ZIGUINCHOR,BIGNONA,SINDIAN,OULAMPANE,BOUDIANGATTE,2,3,15,12,27
ZIGUINCHOR,BIGNONA,SINDIAN,OULAMPANE,"BOUGOUTOUB BANI",21,21,123,97,220
ZIGUINCHOR,BIGNONA,SINDIAN,OULAMPANE,"BOUGOUTOUB DJINOUBOR",34,39,203,171,374
ZIGUINCHOR,BIGNONA,SINDIAN,OULAMPANE,"H1 BAANGA",13,15,67,60,127
ZIGUINCHOR,BIGNONA,SINDIAN,OULAMPANE,"H1 SOUNEYE",7,7,38,38,76
ZIGUINCHOR,BIGNONA,SINDIAN,OULAMPANE,BOUKEKOUM,15,15,72,67,139
ZIGUINCHOR,BIGNONA,SINDIAN,OULAMPANE,BOUTO,17,19,126,88,214
ZIGUINCHOR,BIGNONA,SINDIAN,OULAMPANE,KOULICAN,2,3,19,11,30
ZIGUINCHOR,BIGNONA,SINDIAN,OULAMPANE,DIABIR,21,28,146,166,312
