Region,Departement,COM_ARRT_VILLE,COMMUNE,QUARTIER_VILLAGE_HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION
KAFFRINE,BIRKELANE,BIRKELANE,BIRKELANE,"GADGA ESCALE",162,295,947,1064,2011
KAFFRINE,BIRKELANE,BIRKELANE,BIRKELANE,SANTHIABA,214,234,1096,1114,2210
KAFFRINE,BIRKELANE,BIRKELANE,BIRKELANE,"TALLY BA",213,242,1224,1195,2419
KAFFRINE,BIRKELANE,BIRKELANE,BIRKELANE,THIERERE,186,223,991,1178,2169
KAFFRINE,BIRKELANE,BIRKELANE,BIRKELANE,"GUINAW RAYE",200,224,1012,1070,2082
KAFFRINE,BIRKELANE,"KEUR MBOUCKI","KEUR MBOUCKI","DARA NGUER ET NGUER MABADIANE",73,86,414,409,823
KAFFRINE,BIRKELANE,"KEUR MBOUCKI","KEUR MBOUCKI","H1 WASAKOL",10,16,111,120,231
KAFFRINE,BIRKELANE,"KEUR MBOUCKI","KEUR MBOUCKI","DIMBE GALE",11,13,104,80,184
KAFFRINE,BIRKELANE,"KEUR MBOUCKI","KEUR MBOUCKI","H1 DIMBE GALE PEULH",3,3,13,19,32
KAFFRINE,BIRKELANE,"KEUR MBOUCKI","KEUR MBOUCKI","H2 KEUR SAMBA BA",4,4,22,16,38
KAFFRINE,BIRKELANE,"KEUR MBOUCKI","KEUR MBOUCKI",GANKY,4,11,29,32,61
KAFFRINE,BIRKELANE,"KEUR MBOUCKI","KEUR MBOUCKI","H1 GANKY PEULH",1,2,21,11,32
KAFFRINE,BIRKELANE,"KEUR MBOUCKI","KEUR MBOUCKI","KEUR EL HADJI MALICK",20,22,152,115,267
KAFFRINE,BIRKELANE,"KEUR MBOUCKI","KEUR MBOUCKI","KEUR MAGAYE",41,43,188,198,386
KAFFRINE,BIRKELANE,"KEUR MBOUCKI","KEUR MBOUCKI","KEUR MASSER",14,17,118,71,189
KAFFRINE,BIRKELANE,"KEUR MBOUCKI","KEUR MBOUCKI","KEUR MBOUCKI",95,106,558,559,1117
KAFFRINE,BIRKELANE,"KEUR MBOUCKI","KEUR MBOUCKI","H1 KEUR MBOUKI II",8,12,58,49,107
KAFFRINE,BIRKELANE,"KEUR MBOUCKI","KEUR MBOUCKI","H2 NDAME",4,5,20,14,34
KAFFRINE,BIRKELANE,"KEUR MBOUCKI","KEUR MBOUCKI","H3 DAGANA",2,2,10,13,23
KAFFRINE,BIRKELANE,"KEUR MBOUCKI","KEUR MBOUCKI","KEUR NOLORY",21,25,150,131,281
KAFFRINE,BIRKELANE,"KEUR MBOUCKI","KEUR MBOUCKI",MBODIENE,9,10,47,44,91
KAFFRINE,BIRKELANE,"KEUR MBOUCKI","KEUR MBOUCKI","H2 BAPEDJI",25,29,153,166,319
KAFFRINE,BIRKELANE,"KEUR MBOUCKI","KEUR MBOUCKI",NAVEL,31,33,206,210,416
KAFFRINE,BIRKELANE,"KEUR MBOUCKI","KEUR MBOUCKI","NDIAYENE WALY",139,188,934,1028,1962
KAFFRINE,BIRKELANE,"KEUR MBOUCKI","KEUR MBOUCKI","NETTY THIOCOGNE",20,22,99,98,197
KAFFRINE,BIRKELANE,"KEUR MBOUCKI","KEUR MBOUCKI",NGAMBOU,22,26,186,162,348
KAFFRINE,BIRKELANE,"KEUR MBOUCKI","KEUR MBOUCKI",NGONGANE,11,11,45,41,86
