Region,Departement,COM_ARRT_VILLE,COMMUNE,QUARTIER_VILLAGE_HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION
SEDHIOU,BOUNKILING,BOUNKILING,BOUNKILING,BOULOUF,117,163,610,605,1215
SEDHIOU,BOUNKILING,BOUNKILING,BOUNKILING,"GRAND DAKAR",188,236,1093,1155,2248
SEDHIOU,BOUNKILING,BOUNKILING,BOUNKILING,KEGNETO,85,110,764,787,1551
SEDHIOU,BOUNKILING,BOUNKILING,BOUNKILING,KOUADI,16,24,120,147,267
SEDHIOU,BOUNKILING,BOUNKILING,BOUNKILING,MANSACOUNDA,88,105,671,537,1208
SEDHIOU,BOUNKILING,BOUNKILING,BOUNKILING,SOLLYCOUNDA,88,158,710,708,1418
SEDHIOU,BOUNKILING,BOUNKILING,BOUNKILING,SOUBACONO,95,127,1058,1004,2062
SEDHIOU,BOUNKILING,BOGHAL,BOGHAL,"BADINDING DOULO",24,33,184,188,372
SEDHIOU,BOUNKILING,BOGHAL,BOGHAL,BANEBA,34,44,288,332,620
SEDHIOU,BOUNKILING,BOGHAL,BOGHAL,"H1 BANDIAGARA",7,13,63,61,124
SEDHIOU,BOUNKILING,BOGHAL,BOGHAL,"BOGHAL (FOLOLO ISMAILA)",143,157,778,713,1491
SEDHIOU,BOUNKILING,BOGHAL,BOGHAL,BOUFARAGHOR,35,47,258,281,539
SEDHIOU,BOUNKILING,BOGHAL,BOGHAL,"BOUGNA SAMBA DIALLO",7,10,62,63,125
SEDHIOU,BOUNKILING,BOGHAL,BOGHAL,"BOUGNA SEYDOU",7,8,38,49,87
SEDHIOU,BOUNKILING,BOGHAL,BOGHAL,BOUNDIANTO,26,31,186,179,365
SEDHIOU,BOUNKILING,BOGHAL,BOGHAL,COLYCOUNDA,12,12,62,71,133
SEDHIOU,BOUNKILING,BOGHAL,BOGHAL,"DAR SALAM FODE DIALLO",13,17,90,90,180
SEDHIOU,BOUNKILING,BOGHAL,BOGHAL,"DAROU BAIDAR",67,71,387,380,767
SEDHIOU,BOUNKILING,BOGHAL,BOGHAL,"DAROU SALAM",8,9,100,60,160
SEDHIOU,BOUNKILING,BOGHAL,BOGHAL,"DIAMWELLI SAMBA BA",27,47,209,208,417
SEDHIOU,BOUNKILING,BOGHAL,BOGHAL,DJINANI,9,10,67,59,126
SEDHIOU,BOUNKILING,BOGHAL,BOGHAL,"FOLOLO BIRANE",24,25,133,130,263
SEDHIOU,BOUNKILING,BOGHAL,BOGHAL,FOROYA,11,11,76,45,121
SEDHIOU,BOUNKILING,BOGHAL,BOGHAL,IRASSOLY,55,79,544,556,1100
SEDHIOU,BOUNKILING,BOGHAL,BOGHAL,KOUTOUNTA,56,58,256,277,533
SEDHIOU,BOUNKILING,BOGHAL,BOGHAL,"MADINA GUELEL",16,18,111,108,219
SEDHIOU,BOUNKILING,BOGHAL,BOGHAL,"MADINA MODY LOUM",47,64,408,325,733
SEDHIOU,BOUNKILING,BOGHAL,BOGHAL,"MADINA TAIBATOU",41,51,409,361,770
