Region,Departement,COM_ARRT_VILLE,COMMUNE,QUARTIER_VILLAGE_HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION
SAINT-LOUIS,DAGANA,DAGANA,DAGANA,"SECTEUR I",354,444,1813,1750,3563
SAINT-LOUIS,DAGANA,DAGANA,DAGANA,"SECTEUR II",475,550,2339,2173,4512
SAINT-LOUIS,DAGANA,DAGANA,DAGANA,"SECTEUR III",177,196,841,828,1669
SAINT-LOUIS,DAGANA,DAGANA,DAGANA,"SECTEUR IV",279,310,1466,1340,2806
SAINT-LOUIS,DAGANA,DAGANA,DAGANA,"SECTEUR V",260,273,1271,1108,2379
SAINT-LOUIS,DAGANA,DAGANA,DAGANA,"SECTEUR VI",227,234,1022,782,1804
SAINT-LOUIS,DAGANA,DAGANA,DAGANA,"SECTEUR VII",368,386,1539,1509,3048
SAINT-LOUIS,DAGANA,DAGANA,DAGANA,"SECTEUR VIII",309,339,1665,1354,3019
SAINT-LOUIS,DAGANA,DAGANA,DAGANA,"SECTEUR IX",179,201,819,759,1578
SAINT-LOUIS,DAGANA,DAGANA,DAGANA,"SECTEUR X",114,119,502,524,1026
SAINT-LOUIS,DAGANA,DAGANA,DAGANA,"SECTEUR XI",122,137,616,548,1164
SAINT-LOUIS,DAGANA,"RICHARD TOLL","RICHARD TOLL","CAMPEMENT CIVIL",687,985,3902,3507,7409
SAINT-LOUIS,DAGANA,"RICHARD TOLL","RICHARD TOLL",ESCALE,386,608,2359,2042,4401
SAINT-LOUIS,DAGANA,"RICHARD TOLL","RICHARD TOLL","GAE II",408,546,2271,2133,4404
SAINT-LOUIS,DAGANA,"RICHARD TOLL","RICHARD TOLL","GALLO MALICK",454,683,2926,2454,5380
SAINT-LOUIS,DAGANA,"RICHARD TOLL","RICHARD TOLL","KHOUMA WOLOF",1108,1547,6693,6147,12840
SAINT-LOUIS,DAGANA,"RICHARD TOLL","RICHARD TOLL","YAKH SABAR",465,582,2339,2165,4504
SAINT-LOUIS,DAGANA,"RICHARD TOLL","RICHARD TOLL",NDIANGUE,341,476,2251,2154,4405
SAINT-LOUIS,DAGANA,"RICHARD TOLL","RICHARD TOLL",NDIAW,699,853,3941,3350,7291
SAINT-LOUIS,DAGANA,"RICHARD TOLL","RICHARD TOLL","NDOMBO ALARBA",100,111,660,596,1256
SAINT-LOUIS,DAGANA,"RICHARD TOLL","RICHARD TOLL",NOUROU,306,440,2267,1922,4189
SAINT-LOUIS,DAGANA,"RICHARD TOLL","RICHARD TOLL",THIABAKH,1940,2342,9178,7890,17068
SAINT-LOUIS,DAGANA,MBANE,MBANE,BALANDE,20,27,76,103,179
SAINT-LOUIS,DAGANA,MBANE,MBANE,"H2 BOUNAMA YELOUR",18,23,47,77,124
SAINT-LOUIS,DAGANA,MBANE,MBANE,"H4 MAR 2",31,53,137,156,293
SAINT-LOUIS,DAGANA,MBANE,MBANE,"H1 SOWONABE KOUEL BALLANDE",38,74,194,215,409
SAINT-LOUIS,DAGANA,MBANE,MBANE,"BELEL NGUELOBA",12,18,68,67,135
SAINT-LOUIS,DAGANA,MBANE,MBANE,"BISNABE BOKIDIWE",18,30,92,110,202
SAINT-LOUIS,DAGANA,MBANE,MBANE,"H1 PAMPINABE",10,14,64,45,109
SAINT-LOUIS,DAGANA,MBANE,MBANE,"H1 BELI NDIATBE",6,8,42,38,80
SAINT-LOUIS,DAGANA,MBANE,MBANE,"BISNABE BIRAM SOKONE",16,29,113,66,179
SAINT-LOUIS,DAGANA,MBANE,MBANE,"H3 BELELLE SADIEGUI WORO MODERY",2,2,8,5,13
SAINT-LOUIS,DAGANA,MBANE,MBANE,"H2 BELEL SADIEGUI 2",8,14,69,60,129
SAINT-LOUIS,DAGANA,MBANE,MBANE,"BISNABE BOUTEYNI",7,9,31,29,60
SAINT-LOUIS,DAGANA,MBANE,MBANE,"H2 KEUR GNELY THIENGUEL",8,18,66,90,156
SAINT-LOUIS,DAGANA,MBANE,MBANE,"H4 BAWEDJI DIARKA",10,15,34,55,89
SAINT-LOUIS,DAGANA,MBANE,MBANE,"BELEL SADIE",6,12,44,35,79
SAINT-LOUIS,DAGANA,MBANE,MBANE,"H1 KEUR ABOU DIA",1,2,2,5,7
SAINT-LOUIS,DAGANA,MBANE,MBANE,"H3 KEUR SAMBA DINA SOW",4,11,51,61,112
SAINT-LOUIS,DAGANA,MBANE,MBANE,"H4 KEUR TALIBE SOW (BELELE GOUDEL)",6,9,23,24,47
SAINT-LOUIS,DAGANA,MBANE,MBANE,"H2 LOUMBE DIADBE",13,21,82,81,163
