Region,Departement,COM_ARRT_VILLE,COMMUNE,QUARTIER_VILLAGE_HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION
DIOURBEL,DIOURBEL,DIOURBEL,DIOURBEL,"CHEIKH ANTA MBACKE",2247,2628,12558,13554,26112
DIOURBEL,DIOURBEL,DIOURBEL,DIOURBEL,"KEUR CHEIKH IBRA FALL",1782,2110,10452,11391,21843
DIOURBEL,DIOURBEL,DIOURBEL,DIOURBEL,"MEDINATOUL (KEUR GOUMACK)",5069,5722,31698,31114,62812
DIOURBEL,DIOURBEL,DIOURBEL,DIOURBEL,"THIERNO KANDJI",4610,5514,23295,23492,46787
DIOURBEL,DIOURBEL,NDINDY,"NDANKH SENE","DANKH SENE 1",35,51,256,344,600
DIOURBEL,DIOURBEL,NDINDY,"NDANKH SENE","DAROU KHADIM",5,9,133,72,205
DIOURBEL,DIOURBEL,NDINDY,"NDANKH SENE","H1 KEUR DIENE DIAGNE",8,8,61,48,109
DIOURBEL,DIOURBEL,NDINDY,"NDANKH SENE","H2 KEUR OUSMANE NIANG",2,3,30,19,49
DIOURBEL,DIOURBEL,NDINDY,"NDANKH SENE","H3 DEGUE SANGHE",11,17,132,147,279
DIOURBEL,DIOURBEL,NDINDY,"NDANKH SENE","DAROU SALAM GALLE 1",7,8,49,53,102
DIOURBEL,DIOURBEL,NDINDY,"NDANKH SENE","H1 KEUR BADARA KONTEYE",3,5,135,84,219
DIOURBEL,DIOURBEL,NDINDY,"NDANKH SENE","DAROU SALAM GALLE 2",4,4,24,3,27
DIOURBEL,DIOURBEL,NDINDY,"NDANKH SENE","H1 KITAL",31,43,246,298,544
DIOURBEL,DIOURBEL,NDINDY,"NDANKH SENE",DONGHO,22,28,210,207,417
DIOURBEL,DIOURBEL,NDINDY,"NDANKH SENE",GALLE,14,19,124,103,227
DIOURBEL,DIOURBEL,NDINDY,"NDANKH SENE","H3 GALLE PEUL",8,9,70,57,127
DIOURBEL,DIOURBEL,NDINDY,"NDANKH SENE","H1 NGUEL SASSE",6,9,58,56,114
DIOURBEL,DIOURBEL,NDINDY,"NDANKH SENE","KEUR NDIANKOU",2,2,13,12,25
DIOURBEL,DIOURBEL,NDINDY,"NDANKH SENE","H1 NDABO",4,4,22,20,42
DIOURBEL,DIOURBEL,NDINDY,"NDANKH SENE","H2 MBOYENE",4,7,65,68,133
DIOURBEL,DIOURBEL,NDINDY,"NDANKH SENE",LOMENE,33,34,170,205,375
DIOURBEL,DIOURBEL,NDINDY,"NDANKH SENE","H1 KEUR SERIGNE DIA",1,1,9,1,10
DIOURBEL,DIOURBEL,NDINDY,"NDANKH SENE",MBAPPE,19,34,151,133,284
DIOURBEL,DIOURBEL,NDINDY,"NDANKH SENE","H2 DEGOUNE",1,4,12,10,22
DIOURBEL,DIOURBEL,NDINDY,"NDANKH SENE","H5 NGUIDITE",14,25,109,126,235
DIOURBEL,DIOURBEL,NDINDY,"NDANKH SENE","H6 KANENE",4,5,23,29,52
DIOURBEL,DIOURBEL,NDINDY,"NDANKH SENE","H7 MALANE (COMMUNE DAROU MOUKHTY)",3,7,31,26,57
DIOURBEL,DIOURBEL,NDINDY,"NDANKH SENE","H9 BOWDE",2,3,19,22,41
DIOURBEL,DIOURBEL,NDINDY,"NDANKH SENE","H10 BAWDE",6,13,112,109,221
DIOURBEL,DIOURBEL,NDINDY,"NDANKH SENE","MBAYENE DANKH",15,25,137,161,298
DIOURBEL,DIOURBEL,NDINDY,"NDANKH SENE","H1 MEKHANE",1,1,11,8,19
DIOURBEL,DIOURBEL,NDINDY,"NDANKH SENE","H2 MEKHAYE",2,2,30,13,43
DIOURBEL,DIOURBEL,NDINDY,"NDANKH SENE",MBOUMY,7,12,72,70,142
DIOURBEL,DIOURBEL,NDINDY,"NDANKH SENE","H2 KEUR OUSMANE DIOP",3,3,25,16,41
DIOURBEL,DIOURBEL,NDINDY,"NDANKH SENE","H3 KEUR  ABOU KA",1,1,5,3,8
DIOURBEL,DIOURBEL,NDINDY,"NDANKH SENE",NDIAGUINTH,2,2,17,29,46
DIOURBEL,DIOURBEL,NDINDY,"NDANKH SENE","H1 KEUR ADIOUMA BA",5,11,77,74,151
DIOURBEL,DIOURBEL,NDINDY,"NDANKH SENE","H2 KEUR SOUDOU POUYE",7,10,92,119,211
DIOURBEL,DIOURBEL,NDINDY,"NDANKH SENE","NDIA 1",5,5,39,37,76
DIOURBEL,DIOURBEL,NDINDY,"NDANKH SENE","NDIA 2",19,22,164,165,329
DIOURBEL,DIOURBEL,NDINDY,"NDANKH SENE","H2 LOMENE",4,4,25,16,41
DIOURBEL,DIOURBEL,NDINDY,"NDANKH SENE","NDIA 3",5,5,24,4,28
DIOURBEL,DIOURBEL,NDINDY,"NDANKH SENE","NDIOGOP DIOP",90,117,665,734,1399
DIOURBEL,DIOURBEL,NDINDY,"NDANKH SENE","NDIOGOP NDIAYE",37,47,224,257,481
DIOURBEL,DIOURBEL,NDINDY,"NDANKH SENE","NGUEYE NGUEYE",35,39,252,225,477
DIOURBEL,DIOURBEL,NDINDY,"NDANKH SENE","H1 THIERERE KALOM",3,3,20,23,43
DIOURBEL,DIOURBEL,NDINDY,"NDANKH SENE","H2 BASSEL",5,5,23,15,38
DIOURBEL,DIOURBEL,NDINDY,"NDANKH SENE","H3 KEUR GUIDIE DIAGNE",7,9,51,87,138
DIOURBEL,DIOURBEL,NDINDY,"NDANKH SENE","H4 KEUR WAGANE",14,21,179,133,312
DIOURBEL,DIOURBEL,NDINDY,"NDANKH SENE",TAMAKA,12,16,68,74,142
DIOURBEL,DIOURBEL,NDINDY,"NDANKH SENE","H1 KEUR MASS FALL",3,4,21,14,35
DIOURBEL,DIOURBEL,NDINDY,"NDANKH SENE","H2 KEUR IBRAHIMA FAYE",10,23,101,130,231
DIOURBEL,DIOURBEL,NDINDY,"NDANKH SENE","THIAKH KEUR MASSALE (SANTHIE SOUF)",16,22,133,141,274
DIOURBEL,DIOURBEL,NDINDY,"NDANKH SENE","H2 THIARENE ET MBAYENE",10,10,113,80,193
DIOURBEL,DIOURBEL,NDINDY,"NDANKH SENE","H4 KEUR BAIDI",7,9,42,54,96
DIOURBEL,DIOURBEL,NDINDY,"NDANKH SENE","H5 SOW KARY",8,16,161,145,306
DIOURBEL,DIOURBEL,NDINDY,"NDANKH SENE",THIAKH,57,72,282,433,715
DIOURBEL,DIOURBEL,NDINDY,"NDANKH SENE",THIEYE,51,63,304,289,593
DIOURBEL,DIOURBEL,NDINDY,"NDANKH SENE","H3 BEP TOUCOULEUR",5,5,51,44,95
DIOURBEL,DIOURBEL,NDINDY,"NDANKH SENE",THIOUREN,7,10,72,45,117
DIOURBEL,DIOURBEL,NDINDY,"NDANKH SENE","TOUBA MBAYENE",17,20,108,101,209
DIOURBEL,DIOURBEL,NDINDY,"NDANKH SENE","H1 NGAWAYE",1,2,18,25,43
DIOURBEL,DIOURBEL,NDINDY,"NDANKH SENE","DANKH SENE 2",41,50,267,257,524
DIOURBEL,DIOURBEL,NDINDY,"GADE ESCALE","GADE ESCALE",23,27,159,144,303
DIOURBEL,DIOURBEL,NDINDY,"GADE ESCALE","H1 DAROU THIOUMP",25,28,225,212,437
DIOURBEL,DIOURBEL,NDINDY,"GADE ESCALE","H1 DIADJI (TAIBA OUOLOF)",2,2,23,25,48
DIOURBEL,DIOURBEL,NDINDY,"GADE ESCALE","KEUR LAYE",17,24,145,131,276
DIOURBEL,DIOURBEL,NDINDY,"GADE ESCALE","MERINA DIENG",12,18,110,97,207
