Region,Departement,COM_ARRT_VILLE,COMMUNE,QUARTIER_VILLAGE_HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION
FATICK,FATICK,FATICK,FATICK,"CROISEMENT TP",292,352,1422,1263,2685
FATICK,FATICK,FATICK,FATICK,DARAL,537,684,2354,2594,4948
FATICK,FATICK,FATICK,FATICK,"DAROU SALAM",532,671,2235,2186,4421
FATICK,FATICK,FATICK,FATICK,ESCALE,214,313,1140,994,2134
FATICK,FATICK,FATICK,FATICK,LOGANDEME,157,257,914,940,1854
FATICK,FATICK,FATICK,FATICK,MBOUBANE,186,241,1047,967,2014
FATICK,FATICK,FATICK,FATICK,"NDIANDIAYE I",432,589,2276,2668,4944
FATICK,FATICK,FATICK,FATICK,"NDIANDIAYE II",178,240,936,1091,2027
FATICK,FATICK,FATICK,FATICK,NDOUCK,393,523,1956,2105,4061
FATICK,FATICK,FATICK,FATICK,PEULGA,457,646,2334,2586,4920
FATICK,FATICK,FATICK,FATICK,POUKHAM,467,609,3345,2008,5353
FATICK,FATICK,DIOFFIOR,DIOFFIOR,DIONGFA,525,659,2749,2783,5532
FATICK,FATICK,DIOFFIOR,DIOFFIOR,SINDIANEKA,687,832,3577,3686,7263
FATICK,FATICK,NDIOP,DIAOULE,"BOFA COP",7,15,68,81,149
FATICK,FATICK,NDIOP,DIAOULE,"H1 FELANE COP",25,39,208,234,442
FATICK,FATICK,NDIOP,DIAOULE,"DIAMBEYE TIGA",28,29,168,155,323
FATICK,FATICK,NDIOP,DIAOULE,"DIAOULE 1 ET 4",195,220,963,956,1919
FATICK,FATICK,NDIOP,DIAOULE,"H1 PETHIAKA",9,16,74,70,144
FATICK,FATICK,NDIOP,DIAOULE,"DIAOULE 3",14,15,79,76,155
FATICK,FATICK,NDIOP,DIAOULE,"DIAT MOURY",12,24,154,143,297
FATICK,FATICK,NDIOP,DIAOULE,"H1 KEUR DIATTA",20,29,146,117,263
FATICK,FATICK,NDIOP,DIAOULE,"H8 KEUR NDENE BOP",4,5,40,36,76
FATICK,FATICK,NDIOP,DIAOULE,"H3 BIRAME MACK",6,9,58,47,105
FATICK,FATICK,NDIOP,DIAOULE,"H4 KEUR MALICK SARR",4,4,32,39,71
FATICK,FATICK,NDIOP,DIAOULE,"H5 KEUR MANDIAYE",6,8,45,32,77
FATICK,FATICK,NDIOP,DIAOULE,"H6 KEUR LAMINE SENE",11,19,92,89,181
FATICK,FATICK,NDIOP,DIAOULE,"H7 KEUR MANDIOC",9,14,75,67,142
FATICK,FATICK,NDIOP,DIAOULE,"FELANE (FELANE GOUMA)",39,57,281,342,623
FATICK,FATICK,NDIOP,DIAOULE,"H1 KEUR BIRAME PATHE",6,9,76,90,166
FATICK,FATICK,NDIOP,DIAOULE,"H2 NDIORAKOUM",9,16,100,112,212
FATICK,FATICK,NDIOP,DIAOULE,"GALANGUE PEULH",3,8,35,38,73
FATICK,FATICK,NDIOP,DIAOULE,"GALANGUE SERERE",22,31,205,174,379
FATICK,FATICK,NDIOP,DIAOULE,"H1 THIENABA",2,5,40,48,88
FATICK,FATICK,NDIOP,DIAOULE,"H2 TOUCAR",7,7,33,37,70
FATICK,FATICK,NDIOP,DIAOULE,"H3 NGALAGNE",9,13,88,90,178
FATICK,FATICK,NDIOP,DIAOULE,"H4 NGALAGNE COKE",3,3,15,16,31
FATICK,FATICK,NDIOP,DIAOULE,"H5 KEUR MOR GUEYE",12,13,58,55,113
FATICK,FATICK,NDIOP,DIAOULE,"H6 KEUR DIEL DIOUF",10,13,87,82,169
FATICK,FATICK,NDIOP,DIAOULE,"H7 KEUR BOCAR GUEYE",4,7,55,45,100
FATICK,FATICK,NDIOP,DIAOULE,"KEUR BISSICK",15,22,91,114,205
FATICK,FATICK,NDIOP,DIAOULE,"H1 MBESS SOUMBEL",9,11,87,101,188
FATICK,FATICK,NDIOP,DIAOULE,"KEUR DIARNO",17,28,105,124,229
FATICK,FATICK,NDIOP,DIAOULE,KHODJIL,17,23,130,126,256
FATICK,FATICK,NDIOP,DIAOULE,"H1 KHODJIL BOUMACK",3,4,29,34,63
FATICK,FATICK,NDIOP,DIAOULE,"H2 KEUR THIERNO DIALLO",3,4,58,34,92
FATICK,FATICK,NDIOP,DIAOULE,"H3 WOURO MBAYE",4,5,22,27,49
FATICK,FATICK,NDIOP,DIAOULE,"KORA 1",21,26,145,123,268
FATICK,FATICK,NDIOP,DIAOULE,"H1 FOUGHEME",5,5,29,28,57
FATICK,FATICK,NDIOP,DIAOULE,"KORA 2",5,7,46,31,77
FATICK,FATICK,NDIOP,DIAOULE,"KORA 3",4,5,29,22,51
FATICK,FATICK,NDIOP,DIAOULE,"H1 KEUR MASSAMBA KANDJI",13,16,117,119,236
FATICK,FATICK,NDIOP,DIAOULE,"H2 KEUR SILMANG",15,18,152,139,291
FATICK,FATICK,NDIOP,DIAOULE,"H3 THIOURGUEL",2,2,13,13,26
FATICK,FATICK,NDIOP,DIAOULE,MAROUTH,54,81,302,338,640
FATICK,FATICK,NDIOP,DIAOULE,"H1 BACK NDIOL (BACKO DIOL)",22,29,142,136,278
FATICK,FATICK,NDIOP,DIAOULE,"H3 MBEFOU",5,9,79,56,135
FATICK,FATICK,NDIOP,DIAOULE,"H4 KEUR GUEDJ NIANG",16,20,70,84,154
FATICK,FATICK,NDIOP,DIAOULE,"H5 MBALEME ET KEUR DIENE",21,28,112,117,229
FATICK,FATICK,NDIOP,DIAOULE,"H6 KEUR BESS",3,5,37,33,70
FATICK,FATICK,NDIOP,DIAOULE,"H7 KEUR MASSAR",6,11,63,68,131
FATICK,FATICK,NDIOP,DIAOULE,"H8 DANKHEM ET KEUR DABO",22,26,176,145,321
FATICK,FATICK,NDIOP,DIAOULE,NDAGANE,38,52,242,292,534
FATICK,FATICK,NDIOP,DIAOULE,"H6 KEUR DIOKEL",1,1,4,10,14
FATICK,FATICK,NDIOP,DIAOULE,"H3 GOUBAL",6,8,48,33,81
FATICK,FATICK,NDIOP,DIAOULE,"H4 KEUR MASSAR",5,9,41,47,88
FATICK,FATICK,NDIOP,DIAOULE,"H5 MBINE KHOLE",4,4,30,23,53
FATICK,FATICK,NDIOP,DIAOULE,"NDIALAL SAFOKINE",16,20,109,95,204
FATICK,FATICK,NDIOP,DIAOULE,"H2 WOURO DIBOR",2,3,22,17,39
FATICK,FATICK,NDIOP,DIAOULE,"PARGUINE OUOLOF",16,20,73,92,165
FATICK,FATICK,NDIOP,DIAOULE,"PARGUINE PEULH",14,17,74,59,133
FATICK,FATICK,NDIOP,DIAOULE,"SABAR 1",38,64,404,410,814
FATICK,FATICK,NDIOP,DIAOULE,"SABAR 2",52,77,442,485,927
FATICK,FATICK,NDIOP,DIAOULE,"SAMBE NOMADE",24,57,222,257,479
FATICK,FATICK,NDIOP,DIAOULE,"H1 KEUR SEMOU",6,6,25,37,62
FATICK,FATICK,NDIOP,DIAOULE,SOB,21,32,128,132,260
FATICK,FATICK,NDIOP,DIAOULE,"TENE TOUBAB PEULH",12,15,68,62,130
FATICK,FATICK,NDIOP,DIAOULE,"TENE TOUBAB SERERE",23,29,112,146,258
FATICK,FATICK,NDIOP,DIAOULE,"TONGO KORA",12,17,95,86,181
FATICK,FATICK,NDIOP,DIAOULE,"DIAOULE 2",15,16,106,101,207
FATICK,FATICK,NDIOP,DIAOULE,"H1 WOURO LAMINE",9,11,47,45,92
FATICK,FATICK,NDIOP,MBELLACADIAO,DIAGLE,35,47,245,271,516
FATICK,FATICK,NDIOP,MBELLACADIAO,"H1 NDIOBENE",9,14,58,64,122
FATICK,FATICK,NDIOP,MBELLACADIAO,MBELLACADIAO,151,191,642,777,1419
FATICK,FATICK,NDIOP,MBELLACADIAO,"H1 MASSARNA",11,21,60,77,137
FATICK,FATICK,NDIOP,MBELLACADIAO,"H2 RIPO",2,3,24,24,48
FATICK,FATICK,NDIOP,MBELLACADIAO,"H3 KHASSEME",16,30,141,183,324
FATICK,FATICK,NDIOP,MBELLACADIAO,"H4 KEUR DJIBANE",17,20,70,86,156
FATICK,FATICK,NDIOP,MBELLACADIAO,"H5 KEUR FARBA",5,5,22,19,41
FATICK,FATICK,NDIOP,MBELLACADIAO,"H6 PAKHAREME",21,31,182,176,358
FATICK,FATICK,NDIOP,MBELLACADIAO,"H8 KEUR TIDIAKH",1,4,18,24,42
FATICK,FATICK,NDIOP,MBELLACADIAO,"H9 MBELKHAPAME",15,20,77,74,151
FATICK,FATICK,NDIOP,MBELLACADIAO,"H10 KEUR SONAR",3,3,19,22,41
FATICK,FATICK,NDIOP,MBELLACADIAO,"H11 KEUR MANGUE",16,24,116,143,259
FATICK,FATICK,NDIOP,MBELLACADIAO,"H12 SIBDAR",17,26,144,115,259
FATICK,FATICK,NDIOP,MBELLACADIAO,"H13 MODELE",9,10,62,61,123
