Region,Departement,COM_ARRT_VILLE,COMMUNE,QUARTIER_VILLAGE_HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION
FATICK,FOUNDIOUGNE,FOUNDIOUGNE,FOUNDIOUGNE,ALMADIES,99,109,271,283,554
FATICK,FOUNDIOUGNE,FOUNDIOUGNE,FOUNDIOUGNE,"CITE BENOIT",217,256,890,737,1627
FATICK,FOUNDIOUGNE,FOUNDIOUGNE,FOUNDIOUGNE,ESCALE,62,109,452,340,792
FATICK,FOUNDIOUGNE,FOUNDIOUGNE,FOUNDIOUGNE,HLM,84,122,296,337,633
FATICK,FOUNDIOUGNE,FOUNDIOUGNE,FOUNDIOUGNE,MBELGORE,83,113,586,470,1056
FATICK,FOUNDIOUGNE,FOUNDIOUGNE,FOUNDIOUGNE,THIAMENE,133,183,745,770,1515
FATICK,FOUNDIOUGNE,FOUNDIOUGNE,FOUNDIOUGNE,"THIARAKHOLE I",121,192,622,637,1259
FATICK,FOUNDIOUGNE,FOUNDIOUGNE,FOUNDIOUGNE,"THIARAKHOLE II",171,199,773,715,1488
FATICK,FOUNDIOUGNE,SOKONE,SOKONE,"DIAMAGUENE NORD",260,343,1276,1423,2699
FATICK,FOUNDIOUGNE,SOKONE,SOKONE,"DIAMAGUENE SUD",319,371,1511,1461,2972
FATICK,FOUNDIOUGNE,SOKONE,SOKONE,LEONA,179,335,804,920,1724
FATICK,FOUNDIOUGNE,SOKONE,SOKONE,NDIONGHONE,58,65,345,333,678
FATICK,FOUNDIOUGNE,SOKONE,SOKONE,MEDINA,347,520,1573,1748,3321
FATICK,FOUNDIOUGNE,SOKONE,SOKONE,NDANGANE,193,238,964,1092,2056
FATICK,FOUNDIOUGNE,SOKONE,SOKONE,"DIAMAGUENE CENTRE",409,514,1921,2177,4098
FATICK,FOUNDIOUGNE,SOKONE,SOKONE,MBOULDIAME,67,81,331,407,738
FATICK,FOUNDIOUGNE,SOKONE,SOKONE,NIMZAT,39,42,194,183,377
FATICK,FOUNDIOUGNE,SOKONE,SOKONE,SANTHIABA,178,213,847,914,1761
FATICK,FOUNDIOUGNE,DJILOR,DJILOR,BADANDAR,86,110,660,731,1391
FATICK,FOUNDIOUGNE,DJILOR,DJILOR,BAYE,24,31,226,204,430
FATICK,FOUNDIOUGNE,DJILOR,DJILOR,"BOLY SERRERE",28,34,165,191,356
FATICK,FOUNDIOUGNE,DJILOR,DJILOR,"H1 PETHIALA",3,5,27,24,51
FATICK,FOUNDIOUGNE,DJILOR,DJILOR,"DAGA SOUKOUM",22,27,101,120,221
FATICK,FOUNDIOUGNE,DJILOR,DJILOR,DIAMAGUENE,8,9,62,76,138
FATICK,FOUNDIOUGNE,DJILOR,DJILOR,DJILOR,357,445,1848,2049,3897
FATICK,FOUNDIOUGNE,DJILOR,DJILOR,"H1 DIOKOUL",5,5,40,37,77
FATICK,FOUNDIOUGNE,DJILOR,DJILOR,FELANE,99,105,504,496,1000
