Region,Departement,COM_ARRT_VILLE,COMMUNE,QUARTIER_VILLAGE_HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION
FATICK,GOSSAS,GOSSAS,GOSSAS,"CENT SIX (106)",201,236,1155,1222,2377
FATICK,GOSSAS,GOSSAS,GOSSAS,"DANGOU LEBOU",176,219,871,1022,1893
FATICK,GOSSAS,GOSSAS,GOSSAS,"DANGOU WALO",121,141,623,626,1249
FATICK,GOSSAS,GOSSAS,GOSSAS,DIAKHAO,229,275,1037,1149,2186
FATICK,GOSSAS,GOSSAS,GOSSAS,"KEUR EL HADJI",147,161,777,919,1696
FATICK,GOSSAS,GOSSAS,GOSSAS,NDIAMBOUL,164,189,840,890,1730
FATICK,GOSSAS,GOSSAS,GOSSAS,NDIAYENE,251,308,1303,1302,2605
FATICK,GOSSAS,GOSSAS,GOSSAS,PAKHA,154,176,913,981,1894
FATICK,GOSSAS,COLOBANE,COLOBANE,"ARALDE DIABEL",27,48,260,298,558
FATICK,GOSSAS,COLOBANE,COLOBANE,"H1 KEUR ALDIOUMA NDIAYE",2,2,8,15,23
FATICK,GOSSAS,COLOBANE,COLOBANE,"DAROU MOHINE",8,9,52,42,94
FATICK,GOSSAS,COLOBANE,COLOBANE,"BALOL ELIMANE",32,31,139,104,243
FATICK,GOSSAS,COLOBANE,COLOBANE,"BALOL NGOR SALL",5,5,22,25,47
FATICK,GOSSAS,COLOBANE,COLOBANE,"H1 NDIAMBOUL",11,14,77,57,134
FATICK,GOSSAS,COLOBANE,COLOBANE,BANE,6,6,26,46,72
FATICK,GOSSAS,COLOBANE,COLOBANE,"H1 PEULGA",4,4,19,7,26
FATICK,GOSSAS,COLOBANE,COLOBANE,BANGADJI,1,4,32,29,61
FATICK,GOSSAS,COLOBANE,COLOBANE,"BENE KEUR MANDOUMBE",17,19,88,84,172
FATICK,GOSSAS,COLOBANE,COLOBANE,"BENE OUOLOF",10,11,66,45,111
FATICK,GOSSAS,COLOBANE,COLOBANE,"H1 SAMBOSSE",11,16,73,64,137
FATICK,GOSSAS,COLOBANE,COLOBANE,"H3 BOKI LODJI PEULH",12,18,107,95,202
FATICK,GOSSAS,COLOBANE,COLOBANE,"BOKY BARGA",13,28,140,133,273
FATICK,GOSSAS,COLOBANE,COLOBANE,"BOULOGNE NAOUDE",8,9,36,45,81
FATICK,GOSSAS,COLOBANE,COLOBANE,"BOUSTANE DIAW",34,40,307,257,564
FATICK,GOSSAS,COLOBANE,COLOBANE,"H1 NESSAWNA",22,36,211,206,417
FATICK,GOSSAS,COLOBANE,COLOBANE,"H2 DAROU BEUL",17,22,127,110,237
FATICK,GOSSAS,COLOBANE,COLOBANE,"COLOBANE I, II ET III",409,448,2323,2487,4810
FATICK,GOSSAS,COLOBANE,COLOBANE,"DAROU KHOUDOSS",4,4,23,15,38
FATICK,GOSSAS,COLOBANE,COLOBANE,"DAROU NDIAYE",42,47,361,320,681
FATICK,GOSSAS,COLOBANE,COLOBANE,"H1 KEUR SERIGNE MODOU M. DIOP",17,18,123,94,217
FATICK,GOSSAS,COLOBANE,COLOBANE,"DAROU SALAM LEWE",14,21,118,109,227
FATICK,GOSSAS,COLOBANE,COLOBANE,"H1 BELEL DOGUE",9,14,74,56,130
FATICK,GOSSAS,COLOBANE,COLOBANE,DIABEL,36,46,287,281,568
FATICK,GOSSAS,COLOBANE,COLOBANE,"H1 KABENE",7,11,67,49,116
FATICK,GOSSAS,COLOBANE,COLOBANE,"H2 PALENE",6,7,53,27,80
FATICK,GOSSAS,COLOBANE,COLOBANE,"H3 DAROU BEYE",13,14,81,87,168
FATICK,GOSSAS,COLOBANE,COLOBANE,"H4 NGOMENE",5,9,53,34,87
FATICK,GOSSAS,COLOBANE,COLOBANE,DIENGUI,21,25,115,113,228
FATICK,GOSSAS,COLOBANE,COLOBANE,EDE,24,34,157,154,311
FATICK,GOSSAS,COLOBANE,COLOBANE,"H1 BELEL",2,2,6,14,20
FATICK,GOSSAS,COLOBANE,COLOBANE,"H2 NGOUREYE",28,44,219,238,457
FATICK,GOSSAS,COLOBANE,COLOBANE,"H3 NDIOGNICK",14,18,109,87,196
FATICK,GOSSAS,COLOBANE,COLOBANE,"GAINA MBAR",107,122,521,676,1197
FATICK,GOSSAS,COLOBANE,COLOBANE,"H1 DAROU NDIOGNICK",3,4,8,17,25
FATICK,GOSSAS,COLOBANE,COLOBANE,"KAEL MBOBA",27,39,196,169,365
FATICK,GOSSAS,COLOBANE,COLOBANE,"H3 BAILADJI",3,3,25,14,39
FATICK,GOSSAS,COLOBANE,COLOBANE,"KHARAGAINTH (TECK PEULH)",29,30,201,194,395
FATICK,GOSSAS,COLOBANE,COLOBANE,KHAYANE,18,20,122,94,216
FATICK,GOSSAS,COLOBANE,COLOBANE,"H1 KEUR GORY KA",5,5,37,18,55
FATICK,GOSSAS,COLOBANE,COLOBANE,"H2 GNINGUENE",2,3,13,18,31
FATICK,GOSSAS,COLOBANE,COLOBANE,KODIOLEL,20,27,188,205,393
FATICK,GOSSAS,COLOBANE,COLOBANE,"H4 NDIOUFFENE",2,2,20,16,36
FATICK,GOSSAS,COLOBANE,COLOBANE,MBADIANENE,6,6,24,29,53
FATICK,GOSSAS,COLOBANE,COLOBANE,"H1 NDIAGNE",2,5,39,45,84
FATICK,GOSSAS,COLOBANE,COLOBANE,"MBOBA TIDIANE",20,22,94,90,184
FATICK,GOSSAS,COLOBANE,COLOBANE,"MEDINA MBOBA (MEDINA FALLOU)",11,11,47,43,90
FATICK,GOSSAS,COLOBANE,COLOBANE,MOURE,61,70,340,342,682
FATICK,GOSSAS,COLOBANE,COLOBANE,"H1 LOYENE",8,8,74,53,127
FATICK,GOSSAS,COLOBANE,COLOBANE,NAMASS,5,5,18,14,32
FATICK,GOSSAS,COLOBANE,COLOBANE,"H1 THIERERE GA",10,13,94,77,171
FATICK,GOSSAS,COLOBANE,COLOBANE,"NDIAYENE ET KOHE",25,33,162,186,348
FATICK,GOSSAS,COLOBANE,COLOBANE,"H1 KEUR MOR NDIAYE MBODJI",5,7,34,61,95
FATICK,GOSSAS,COLOBANE,COLOBANE,"H2 KEUR MALICK GUEYE",3,3,15,11,26
FATICK,GOSSAS,COLOBANE,COLOBANE,NDOUMA,5,8,33,36,69
FATICK,GOSSAS,COLOBANE,COLOBANE,"H1 SANGHARY PEULH",13,18,84,109,193
FATICK,GOSSAS,COLOBANE,COLOBANE,"NGAYES (NGAYES KEUR S FALLOU)",30,36,255,203,458
FATICK,GOSSAS,COLOBANE,COLOBANE,"H2 BORTY",23,30,149,164,313
FATICK,GOSSAS,COLOBANE,COLOBANE,"NGUER MADENE",6,6,23,28,51
FATICK,GOSSAS,COLOBANE,COLOBANE,"NGUER MADIEYE DIOP",2,4,11,18,29
FATICK,GOSSAS,COLOBANE,COLOBANE,"H1 THIAMBENE",3,3,19,21,40
FATICK,GOSSAS,COLOBANE,COLOBANE,OUROUR,6,12,41,47,88
FATICK,GOSSAS,COLOBANE,COLOBANE,"SALOYE ET BORTY",42,81,578,506,1084
FATICK,GOSSAS,COLOBANE,COLOBANE,"SANGHARY BEYE",5,11,66,40,106
FATICK,GOSSAS,COLOBANE,COLOBANE,"H1 TALLENE",4,17,91,83,174
FATICK,GOSSAS,COLOBANE,COLOBANE,"TECK KEBE",11,11,26,48,74
FATICK,GOSSAS,COLOBANE,COLOBANE,"TECK MAR",23,23,59,99,158
FATICK,GOSSAS,COLOBANE,COLOBANE,"TECK THYLLA",8,10,29,44,73
FATICK,GOSSAS,COLOBANE,COLOBANE,"H1 BANGADJI",7,7,21,30,51
FATICK,GOSSAS,COLOBANE,COLOBANE,"H2 NDIOBENE",9,10,49,50,99
FATICK,GOSSAS,COLOBANE,COLOBANE,THYSSE,13,20,122,107,229
FATICK,GOSSAS,COLOBANE,COLOBANE,"TOUBA DIACKSAO",23,46,302,293,595
FATICK,GOSSAS,COLOBANE,COLOBANE,"H2 DAROU ABDOU FAYE",3,6,27,27,54
FATICK,GOSSAS,COLOBANE,COLOBANE,"H3 TOUBA THYLLA",17,25,90,117,207
FATICK,GOSSAS,COLOBANE,COLOBANE,"H4 DAROU SALAM BAGDAD",3,4,15,9,24
FATICK,GOSSAS,COLOBANE,COLOBANE,"TOUBA NDARGOUYE",12,15,78,62,140
FATICK,GOSSAS,COLOBANE,COLOBANE,"DAROU RAHMANE BAILADJI",30,31,157,143,300
FATICK,GOSSAS,COLOBANE,COLOBANE,"DAROU SALAM  BOKY LODJI",8,19,74,63,137
FATICK,GOSSAS,COLOBANE,COLOBANE,"NGAYE MAME BALLA",19,20,68,97,165
FATICK,GOSSAS,COLOBANE,MBAR,BAGDAD,23,32,205,195,400
FATICK,GOSSAS,COLOBANE,MBAR,"BENE COUP COUP 1 ET 2",15,15,91,83,174
FATICK,GOSSAS,COLOBANE,MBAR,"H1 BOULOGNE KATHIE",4,5,69,28,97
FATICK,GOSSAS,COLOBANE,MBAR,"BOUNTOU MBAR",10,11,69,49,118
FATICK,GOSSAS,COLOBANE,MBAR,"H1 GARAGE",6,6,39,18,57
FATICK,GOSSAS,COLOBANE,MBAR,"H2 KEUR AMADOU AISSA BA",2,2,15,17,32
FATICK,GOSSAS,COLOBANE,MBAR,"DABY NGAMA",7,8,50,37,87
FATICK,GOSSAS,COLOBANE,MBAR,"H1 DIMBILORO",4,4,24,17,41
FATICK,GOSSAS,COLOBANE,MBAR,"H2 PEULGA de DABY NGAMA",3,3,16,20,36
FATICK,GOSSAS,COLOBANE,MBAR,"H3 NDAME TOURE",8,10,74,55,129
FATICK,GOSSAS,COLOBANE,MBAR,"DAROU MARNANE 1 ET 2",119,141,793,913,1706
FATICK,GOSSAS,COLOBANE,MBAR,"DAROU MINAME",19,24,93,113,206
FATICK,GOSSAS,COLOBANE,MBAR,"DAROU RAHMANE",22,27,241,254,495
FATICK,GOSSAS,COLOBANE,MBAR,"H1 NDONGUENE",6,9,74,56,130
FATICK,GOSSAS,COLOBANE,MBAR,"H2 DAROU NDIAYE",5,8,39,30,69
FATICK,GOSSAS,COLOBANE,MBAR,"DAROU SAKOR",6,7,63,29,92
FATICK,GOSSAS,COLOBANE,MBAR,"H1 KEUR DIOUMA POUYE",30,61,377,378,755
FATICK,GOSSAS,COLOBANE,MBAR,"H2 KEUR LATYR SARR",5,8,42,42,84
FATICK,GOSSAS,COLOBANE,MBAR,"DAROU SALAM",51,58,349,311,660
FATICK,GOSSAS,COLOBANE,MBAR,"H1 DAROU NDIAYE",5,5,69,35,104
FATICK,GOSSAS,COLOBANE,MBAR,"H2 THIOFELE",9,10,75,51,126
FATICK,GOSSAS,COLOBANE,MBAR,"H3 TEOUL BOCKY",6,6,42,45,87
FATICK,GOSSAS,COLOBANE,MBAR,"DAROU SOURANG",16,29,146,153,299
FATICK,GOSSAS,COLOBANE,MBAR,"H1 PEULGA",3,4,14,16,30
FATICK,GOSSAS,COLOBANE,MBAR,"DEGUERE DIAMAGUENE",15,27,170,185,355
FATICK,GOSSAS,COLOBANE,MBAR,"DEGUERE 1 (KEUR IBRA)",47,67,386,360,746
FATICK,GOSSAS,COLOBANE,MBAR,"DEGUERE 2",41,68,449,408,857
FATICK,GOSSAS,COLOBANE,MBAR,"H1 KEUR GORGUI SENE",1,1,3,4,7
FATICK,GOSSAS,COLOBANE,MBAR,"H2 KEUR IBRAHIMA DIONE",2,7,58,48,106
FATICK,GOSSAS,COLOBANE,MBAR,"H3 KEUR SALIOU BOP",4,5,31,27,58
FATICK,GOSSAS,COLOBANE,MBAR,"DEKHAYE (TEOUROU GAOUDI)",80,119,689,597,1286
FATICK,GOSSAS,COLOBANE,MBAR,"GASSEL (DAROU NDIAYE)",27,38,216,182,398
FATICK,GOSSAS,COLOBANE,MBAR,"H1 KANENE",4,4,23,25,48
FATICK,GOSSAS,COLOBANE,MBAR,KADIEL,46,64,357,346,703
FATICK,GOSSAS,COLOBANE,MBAR,"KEUR AMADOU SEYE",7,7,34,35,69
FATICK,GOSSAS,COLOBANE,MBAR,"KEUR NDIAGA MBAYE",14,20,152,159,311
FATICK,GOSSAS,COLOBANE,MBAR,"H2 KEUR ABDOU NGOM",9,16,71,95,166
FATICK,GOSSAS,COLOBANE,MBAR,"H3 THIEGNE",11,21,117,99,216
FATICK,GOSSAS,COLOBANE,MBAR,"KEUR PAPE TINE",11,14,86,88,174
FATICK,GOSSAS,COLOBANE,MBAR,"KEUR SENY",9,21,113,76,189
FATICK,GOSSAS,COLOBANE,MBAR,"KEUR SERIGNE BARA DIENE",17,22,174,116,290
FATICK,GOSSAS,COLOBANE,MBAR,"H1 BOUNTOU MBAR",7,13,82,77,159
FATICK,GOSSAS,COLOBANE,MBAR,"H2 DAARA LAMSAR",1,1,18,0,18
FATICK,GOSSAS,COLOBANE,MBAR,"KEUR SERIGNE DIAW",11,17,99,110,209
FATICK,GOSSAS,COLOBANE,MBAR,"H1 KEUR NIAYES DIOUF",8,11,100,94,194
FATICK,GOSSAS,COLOBANE,MBAR,"H2 NAYKY",4,10,63,69,132
FATICK,GOSSAS,COLOBANE,MBAR,"KHAYE BARKA",37,42,282,263,545
FATICK,GOSSAS,COLOBANE,MBAR,"KHOUROU MBACKE",20,21,109,90,199
FATICK,GOSSAS,COLOBANE,MBAR,"H1 KEUR DEMBA KA",2,3,7,10,17
FATICK,GOSSAS,COLOBANE,MBAR,"H2 PEULGA de KHOUROU MBACKE",7,8,40,30,70
FATICK,GOSSAS,COLOBANE,MBAR,"H3 KEUR KHAR ET KEUR SAER ET NGUEYENE",25,33,125,144,269
FATICK,GOSSAS,COLOBANE,MBAR,"H4 MBOUL",6,7,17,25,42
FATICK,GOSSAS,COLOBANE,MBAR,LANDANG,16,19,110,103,213
FATICK,GOSSAS,COLOBANE,MBAR,"LOUMBY DIAOULE",17,32,205,209,414
FATICK,GOSSAS,COLOBANE,MBAR,"H1 KEUR NDOUMEL FAYE",3,5,25,37,62
FATICK,GOSSAS,COLOBANE,MBAR,"H2 KEUR ADIOUMA DANG",3,9,68,65,133
FATICK,GOSSAS,COLOBANE,MBAR,MAYAYE,28,32,191,151,342
FATICK,GOSSAS,COLOBANE,MBAR,"H1 MBELGOGNE",3,7,50,28,78
FATICK,GOSSAS,COLOBANE,MBAR,"H2 KEUR MANGUE",4,6,49,27,76
FATICK,GOSSAS,COLOBANE,MBAR,"MBAME DJIGANE",19,21,84,82,166
FATICK,GOSSAS,COLOBANE,MBAR,"H3 KEUR MASSEYE DIAGNE",2,3,14,10,24
FATICK,GOSSAS,COLOBANE,MBAR,"MBAR BAWANE",20,20,91,104,195
FATICK,GOSSAS,COLOBANE,MBAR,"H1 KEUR MODOU SENE",8,16,91,81,172
FATICK,GOSSAS,COLOBANE,MBAR,"H2 KEUR MBADE NGOM",15,22,116,95,211
FATICK,GOSSAS,COLOBANE,MBAR,"H3 BAWANE SERERE",12,13,92,99,191
FATICK,GOSSAS,COLOBANE,MBAR,"H4 KEUR DIENE DIOUF",3,5,33,19,52
FATICK,GOSSAS,COLOBANE,MBAR,"MBAR BOUSSOBE",27,36,197,161,358
FATICK,GOSSAS,COLOBANE,MBAR,"MBAR FORAGE",52,77,449,504,953
FATICK,GOSSAS,COLOBANE,MBAR,"MBAR KEURY KAO",94,107,518,561,1079
FATICK,GOSSAS,COLOBANE,MBAR,"MBAR MBACKE",165,179,1023,940,1963
FATICK,GOSSAS,COLOBANE,MBAR,"MBAR MBENGUENE",96,112,611,671,1282
FATICK,GOSSAS,COLOBANE,MBAR,"MBAR MBOUSSOBE",35,38,205,202,407
FATICK,GOSSAS,COLOBANE,MBAR,"MBAR NDIENE",113,133,689,716,1405
FATICK,GOSSAS,COLOBANE,MBAR,"MBAR SERERE",12,16,90,90,180
FATICK,GOSSAS,COLOBANE,MBAR,"MBAR THIOWOGNE I ET II",90,96,609,512,1121
FATICK,GOSSAS,COLOBANE,MBAR,"MBAR TIDIANE",43,52,289,309,598
FATICK,GOSSAS,COLOBANE,MBAR,"MBELKHOKH SERERE",19,34,226,225,451
FATICK,GOSSAS,COLOBANE,MBAR,"NAMARY DIARGA",15,24,168,155,323
FATICK,GOSSAS,COLOBANE,MBAR,"NAMARY SAMBA",15,17,96,81,177
FATICK,GOSSAS,COLOBANE,MBAR,"H1 GORETE",9,10,53,40,93
FATICK,GOSSAS,COLOBANE,MBAR,"H2 KEUR GUELADIO SOW",2,2,17,17,34
FATICK,GOSSAS,COLOBANE,MBAR,NARGA,23,26,149,115,264
FATICK,GOSSAS,COLOBANE,MBAR,"H1 MESSERE",20,21,137,85,222
FATICK,GOSSAS,COLOBANE,MBAR,NDAYANE,25,40,258,243,501
FATICK,GOSSAS,COLOBANE,MBAR,"H1 KEURY KAW ET MBELONGUE",8,13,83,57,140
FATICK,GOSSAS,COLOBANE,MBAR,NICE,23,25,135,105,240
FATICK,GOSSAS,COLOBANE,MBAR,RANWY,9,16,106,72,178
FATICK,GOSSAS,COLOBANE,MBAR,"H1 KEUR EL HADJI BATHIE BA",8,12,43,49,92
FATICK,GOSSAS,COLOBANE,MBAR,"H2 KEUR DIODJI KA",3,9,64,68,132
FATICK,GOSSAS,COLOBANE,MBAR,"H3 KEUR EL HADJI LATYR FAYE",4,7,57,48,105
FATICK,GOSSAS,COLOBANE,MBAR,"TEODOGNE (PEULGA)",10,15,84,88,172
FATICK,GOSSAS,COLOBANE,MBAR,"TEOUROU BOULAL",9,20,157,149,306
FATICK,GOSSAS,COLOBANE,MBAR,"H1 KEUR IBRAHIMA DIAGNE",5,8,67,71,138
FATICK,GOSSAS,COLOBANE,MBAR,"H2 TOUBA DEKHAYE",6,12,111,84,195
FATICK,GOSSAS,COLOBANE,MBAR,"H3 DEKHAYE KEUR GORGUI POUYE",15,16,119,85,204
FATICK,GOSSAS,COLOBANE,MBAR,"H5 YARY GOUYE",12,21,190,190,380
FATICK,GOSSAS,COLOBANE,MBAR,"THIELLE KAYENE",6,12,105,83,188
FATICK,GOSSAS,COLOBANE,MBAR,"THIELLE PATHIEME",12,18,122,110,232
FATICK,GOSSAS,COLOBANE,MBAR,"H1 KEUR YAYA BA",5,6,30,32,62
FATICK,GOSSAS,COLOBANE,MBAR,THINGUE,18,29,135,162,297
FATICK,GOSSAS,COLOBANE,MBAR,"H1 KEUR MALICK NGOM",12,17,108,95,203
FATICK,GOSSAS,COLOBANE,MBAR,"H2 NDIATTA",5,7,54,36,90
FATICK,GOSSAS,COLOBANE,MBAR,"H3 KEUR BABOU DIOUF",7,15,68,68,136
FATICK,GOSSAS,COLOBANE,MBAR,"H4 TOUCAR",11,13,88,71,159
FATICK,GOSSAS,COLOBANE,MBAR,"H6 THINGUE NDAYANE",3,4,29,27,56
FATICK,GOSSAS,COLOBANE,MBAR,"TIVAOUANE FALL",34,38,252,230,482
FATICK,GOSSAS,COLOBANE,MBAR,"TOUBA COUP COUP",17,26,112,76,188
FATICK,GOSSAS,COLOBANE,MBAR,"TOUBA FALL",28,29,185,193,378
FATICK,GOSSAS,COLOBANE,MBAR,"H4 DAARA SERIGNE MOUSTAPHA",1,1,120,0,120
FATICK,GOSSAS,COLOBANE,MBAR,"TOUBA NDIENE",33,35,296,276,572
FATICK,GOSSAS,COLOBANE,MBAR,"WENDOU MAOUDOU",17,30,166,149,315
FATICK,GOSSAS,COLOBANE,MBAR,"H1 KEUR DJIRE NGOM",14,19,94,102,196
FATICK,GOSSAS,COLOBANE,MBAR,"H2 NIANGUENE",5,14,82,98,180
FATICK,GOSSAS,COLOBANE,MBAR,"WOUROU DIOUNDIO",29,46,258,257,515
FATICK,GOSSAS,COLOBANE,MBAR,"H1 KEUR IBOU KA",5,5,23,34,57
FATICK,GOSSAS,COLOBANE,MBAR,YARGOUYE,39,60,416,188,604
FATICK,GOSSAS,COLOBANE,MBAR,"H1 NDIELEW",20,33,182,190,372
FATICK,GOSSAS,COLOBANE,MBAR,"H2 KEUR MARCEL KAMA",5,5,38,28,66
FATICK,GOSSAS,COLOBANE,MBAR,"H3 PEULGA",12,15,99,84,183
FATICK,GOSSAS,COLOBANE,MBAR,"DAROU BAIRE",28,32,223,196,419
FATICK,GOSSAS,COLOBANE,MBAR,"NDIGUEUL FALL",9,12,40,43,83
FATICK,GOSSAS,COLOBANE,MBAR,"H4 KEUR ABLAYE KA",13,25,117,154,271
FATICK,GOSSAS,COLOBANE,MBAR,"H1 DAARA SERIGNE FALLOU",1,1,25,0,25
FATICK,GOSSAS,OUADIOUR,"NDIENE LAGANE","BELLE 1 (KIRANG)",13,21,115,135,250
FATICK,GOSSAS,OUADIOUR,"NDIENE LAGANE","H1 BELLE 2",17,37,236,224,460
FATICK,GOSSAS,OUADIOUR,"NDIENE LAGANE","H2 NDIOBENE",18,34,218,214,432
FATICK,GOSSAS,OUADIOUR,"NDIENE LAGANE","DIOUDY PEULH",2,3,17,21,38
FATICK,GOSSAS,OUADIOUR,"NDIENE LAGANE","H1 KEUR MAMADOU KA (YOKHOC_DIOUDY PEULH)",14,24,128,101,229
FATICK,GOSSAS,OUADIOUR,"NDIENE LAGANE","H2 KEUR IBRAHIMA SOW",4,6,32,41,73
FATICK,GOSSAS,OUADIOUR,"NDIENE LAGANE","H3 OWANDO",14,21,96,106,202
FATICK,GOSSAS,OUADIOUR,"NDIENE LAGANE","H5 KEUR IBRAHIMA SOW",4,5,29,20,49
FATICK,GOSSAS,OUADIOUR,"NDIENE LAGANE","INA (INA 1)",26,37,243,237,480
FATICK,GOSSAS,OUADIOUR,"NDIENE LAGANE","H1 INA 2 (TEOUROU SERERE)",26,55,288,309,597
FATICK,GOSSAS,OUADIOUR,"NDIENE LAGANE","KEUR ALIOU TOURE",10,13,82,66,148
FATICK,GOSSAS,OUADIOUR,"NDIENE LAGANE","H1 KEUR MBAYE NOEL",3,3,10,15,25
FATICK,GOSSAS,OUADIOUR,"NDIENE LAGANE","H2 KEUR IBRAHIMA NGOM",4,9,73,62,135
FATICK,GOSSAS,OUADIOUR,"NDIENE LAGANE","KEUR MASSAMBA BA",37,57,415,373,788
FATICK,GOSSAS,OUADIOUR,"NDIENE LAGANE","H1 KEUR SAMBA NIANKE",5,12,68,95,163
FATICK,GOSSAS,OUADIOUR,"NDIENE LAGANE","KHAYE MBAYAR",66,70,459,366,825
FATICK,GOSSAS,OUADIOUR,"NDIENE LAGANE","H1 KAYE WALY",32,51,387,328,715
FATICK,GOSSAS,OUADIOUR,"NDIENE LAGANE",MALKA,17,17,139,96,235
FATICK,GOSSAS,OUADIOUR,"NDIENE LAGANE","H1 MOURA",13,28,194,187,381
FATICK,GOSSAS,OUADIOUR,"NDIENE LAGANE","H2 KORTHIEL",14,14,87,70,157
FATICK,GOSSAS,OUADIOUR,"NDIENE LAGANE","H3 TOUTLE",6,14,116,113,229
FATICK,GOSSAS,OUADIOUR,"NDIENE LAGANE","NDIENE LAGANE",258,312,1777,1981,3758
FATICK,GOSSAS,OUADIOUR,"NDIENE LAGANE","H3 DAARAY SIDY",28,33,180,196,376
FATICK,GOSSAS,OUADIOUR,"NDIENE LAGANE","NDOULO MALKA",9,14,102,94,196
FATICK,GOSSAS,OUADIOUR,"NDIENE LAGANE","H1 TOUBA GNEBOUNGUEL",21,43,406,384,790
FATICK,GOSSAS,OUADIOUR,"NDIENE LAGANE","TEOUROU KOSSAM 1",12,19,97,91,188
FATICK,GOSSAS,OUADIOUR,"NDIENE LAGANE","H1 THIEYENE",1,1,5,11,16
FATICK,GOSSAS,OUADIOUR,"NDIENE LAGANE","TEOUROU KOSSAM 2",18,21,131,123,254
FATICK,GOSSAS,OUADIOUR,"NDIENE LAGANE","H1 TINENE",3,6,39,35,74
FATICK,GOSSAS,OUADIOUR,"NDIENE LAGANE","H2 KEUR MALICK NDIAYE",3,4,31,27,58
FATICK,GOSSAS,OUADIOUR,"NDIENE LAGANE","H3 NDONGHENE",13,33,255,212,467
FATICK,GOSSAS,OUADIOUR,"NDIENE LAGANE","TEOUROU MBAYE",14,18,56,48,104
FATICK,GOSSAS,OUADIOUR,"NDIENE LAGANE","THIELLE PATHIEME",7,12,95,85,180
FATICK,GOSSAS,OUADIOUR,"NDIENE LAGANE","H1 PATHIEME",27,52,341,308,649
FATICK,GOSSAS,OUADIOUR,"NDIENE LAGANE","H2 KOUTOURFA",13,24,225,226,451
FATICK,GOSSAS,OUADIOUR,"NDIENE LAGANE","H3 DIOUDY SERERE",20,32,254,252,506
FATICK,GOSSAS,OUADIOUR,"NDIENE LAGANE","GOUYE MEO",15,20,136,154,290
FATICK,GOSSAS,OUADIOUR,"NDIENE LAGANE","TEOUROU NGARY",16,29,177,181,358
FATICK,GOSSAS,OUADIOUR,OUADIOUR,BARKAEL,37,80,502,481,983
FATICK,GOSSAS,OUADIOUR,OUADIOUR,"H1 KANDJI",6,8,41,35,76
FATICK,GOSSAS,OUADIOUR,OUADIOUR,"DAROU BIL",41,43,195,164,359
