Region,Departement,COM_ARRT_VILLE,COMMUNE,QUARTIER_VILLAGE_HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION
TAMBACOUNDA,GOUDIRY,GOUDIRY,GOUDIRY,ABATTOIRS,125,155,783,770,1553
TAMBACOUNDA,GOUDIRY,GOUDIRY,GOUDIRY,CENTRE,81,100,557,598,1155
TAMBACOUNDA,GOUDIRY,GOUDIRY,GOUDIRY,"CITE DES ENSEIGNANTS",6,8,36,33,69
TAMBACOUNDA,GOUDIRY,GOUDIRY,GOUDIRY,DARSALAM,95,106,426,400,826
TAMBACOUNDA,GOUDIRY,GOUDIRY,GOUDIRY,FERGO,184,222,994,1077,2071
TAMBACOUNDA,GOUDIRY,GOUDIRY,GOUDIRY,HAFIA,94,98,406,369,775
TAMBACOUNDA,GOUDIRY,GOUDIRY,GOUDIRY,"PLACE DU MARCHE",59,80,348,354,702
TAMBACOUNDA,GOUDIRY,GOUDIRY,GOUDIRY,PONT,88,105,619,587,1206
TAMBACOUNDA,GOUDIRY,GOUDIRY,GOUDIRY,POSTE,85,134,601,371,972
TAMBACOUNDA,GOUDIRY,GOUDIRY,GOUDIRY,"ROUTE DE TAMBA",36,46,166,147,313
TAMBACOUNDA,GOUDIRY,GOUDIRY,GOUDIRY,"GOUREL NGUETTE",81,113,435,463,898
TAMBACOUNDA,GOUDIRY,BALA,BALA,BALA,338,403,1819,1432,3251
TAMBACOUNDA,GOUDIRY,BALA,BALA,"DAROU NDIOUFENE",21,26,123,129,252
TAMBACOUNDA,GOUDIRY,BALA,BALA,DIABY,10,15,53,44,97
TAMBACOUNDA,GOUDIRY,BALA,BALA,DIDE,4,7,70,76,146
TAMBACOUNDA,GOUDIRY,BALA,BALA,DIOULANGUEL,16,22,132,137,269
TAMBACOUNDA,GOUDIRY,BALA,BALA,"FASS KOUTHIA (FASS GOUNASS)",8,17,91,90,181
TAMBACOUNDA,GOUDIRY,BALA,BALA,"GAYE PARADJI",15,17,97,106,203
TAMBACOUNDA,GOUDIRY,BALA,BALA,"GOUREL BARTHIAM (NDIOUM DIAWARA)",1,1,19,16,35
TAMBACOUNDA,GOUDIRY,BALA,BALA,"GOUREL KONTE (GOUREL ADAMA)",1,1,14,15,29
TAMBACOUNDA,GOUDIRY,BALA,BALA,"KAHEL (DIYALA 2)",7,13,69,59,128
TAMBACOUNDA,GOUDIRY,BALA,BALA,"KOUTHIAKHASSE (KOUTIA)",92,102,732,792,1524
TAMBACOUNDA,GOUDIRY,BALA,BALA,LOUNTCHI,11,19,177,157,334
