Region,Departement,COM_ARRT_VILLE,COMMUNE,QUARTIER_VILLAGE_HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION
SEDHIOU,GOUDOMP,GOUDOMP,GOUDOMP,"DIOLACOUNDA I",202,368,1941,1737,3678
SEDHIOU,GOUDOMP,GOUDOMP,GOUDOMP,"DIOLACOUNDA II",256,355,1825,1776,3601
SEDHIOU,GOUDOMP,GOUDOMP,GOUDOMP,HAMDALAYE,336,481,2576,2533,5109
SEDHIOU,GOUDOMP,GOUDOMP,GOUDOMP,SANSANCONO,206,378,1795,1810,3605
SEDHIOU,GOUDOMP,DJIBANAR,DJIBANAR,"BACONDING (DIATTACOUNDA II)",93,116,632,517,1149
SEDHIOU,GOUDOMP,DJIBANAR,DJIBANAR,"BAFATA BRAME (Pop Déplacée)",1,1,3,3,6
SEDHIOU,GOUDOMP,DJIBANAR,DJIBANAR,"BAFATA I (BALANTE)",96,119,543,513,1056
SEDHIOU,GOUDOMP,DJIBANAR,DJIBANAR,"H1 ADEANADING",24,24,50,55,105
SEDHIOU,GOUDOMP,DJIBANAR,DJIBANAR,"H2 SALAMOULHIYA",4,4,85,42,127
SEDHIOU,GOUDOMP,DJIBANAR,DJIBANAR,"BINDABA MANDINGUE (Pop Déplacée)",1,1,3,1,4
SEDHIOU,GOUDOMP,DJIBANAR,DJIBANAR,"BINDABA MANKAGNE (Pop Déplacée)",4,4,6,0,6
SEDHIOU,GOUDOMP,DJIBANAR,DJIBANAR,BIRKAMA,242,334,1656,1618,3274
SEDHIOU,GOUDOMP,DJIBANAR,DJIBANAR,DJIBANAR,318,398,2648,2508,5156
SEDHIOU,GOUDOMP,DJIBANAR,DJIBANAR,KLONIA,17,20,80,85,165
SEDHIOU,GOUDOMP,DJIBANAR,DJIBANAR,KOUNAYAN,82,107,590,527,1117
SEDHIOU,GOUDOMP,DJIBANAR,KAOUR,"KANEMA MANCAGNE",23,27,74,67,141
SEDHIOU,GOUDOMP,DJIBANAR,KAOUR,"KANEMA MANJACQUE",6,9,27,33,60
SEDHIOU,GOUDOMP,DJIBANAR,KAOUR,KAOUR,89,117,807,762,1569
SEDHIOU,GOUDOMP,DJIBANAR,KAOUR,"KAOUR MANJACQUE",9,10,18,25,43
SEDHIOU,GOUDOMP,DJIBANAR,KAOUR,"MANECOUNDA II",46,51,301,258,559
SEDHIOU,GOUDOMP,DJIBANAR,KAOUR,MANGACOUNDA,130,162,884,849,1733
SEDHIOU,GOUDOMP,DJIBANAR,KAOUR,"PONTO DOSSE DIOLA",45,47,289,271,560
SEDHIOU,GOUDOMP,DJIBANAR,KAOUR,"PONTO DOSSE MANCAGNE",24,27,119,131,250
SEDHIOU,GOUDOMP,DJIBANAR,KAOUR,"SINGHER BAYNOUCK",28,53,282,253,535
SEDHIOU,GOUDOMP,DJIBANAR,KAOUR,"SINGHER DIOLA",13,18,36,9,45
SEDHIOU,GOUDOMP,DJIBANAR,KAOUR,"SINGHER ESCALE",14,28,116,90,206
SEDHIOU,GOUDOMP,DJIBANAR,"MANGAROUNGOU SANTO",ADIOUTI,23,30,236,205,441
SEDHIOU,GOUDOMP,DJIBANAR,"MANGAROUNGOU SANTO",BEYLAN,39,53,412,360,772
SEDHIOU,GOUDOMP,DJIBANAR,"MANGAROUNGOU SANTO",BINAKO,72,85,870,806,1676
SEDHIOU,GOUDOMP,DJIBANAR,"MANGAROUNGOU SANTO",BISSAKAL,25,36,265,308,573
SEDHIOU,GOUDOMP,DJIBANAR,"MANGAROUNGOU SANTO","DJIDADJI BALANTE",18,33,310,290,600
SEDHIOU,GOUDOMP,DJIBANAR,"MANGAROUNGOU SANTO","DJIDADJI MANDINGUE",36,42,298,299,597
SEDHIOU,GOUDOMP,DJIBANAR,"MANGAROUNGOU SANTO","KARANTABA SOUCOUTOTO",39,59,480,456,936
SEDHIOU,GOUDOMP,DJIBANAR,"MANGAROUNGOU SANTO",KELEDIA,4,5,44,38,82
SEDHIOU,GOUDOMP,DJIBANAR,"MANGAROUNGOU SANTO",KIGNINE,32,43,363,343,706
SEDHIOU,GOUDOMP,DJIBANAR,"MANGAROUNGOU SANTO","H1 SANTASSOU",7,11,77,87,164
SEDHIOU,GOUDOMP,DJIBANAR,"MANGAROUNGOU SANTO",KOSSY,18,25,179,153,332
SEDHIOU,GOUDOMP,DJIBANAR,"MANGAROUNGOU SANTO","KOUGNARA DOUMA",67,91,512,537,1049
SEDHIOU,GOUDOMP,DJIBANAR,"MANGAROUNGOU SANTO","KOUGNARA SANTO II",57,94,464,354,818
SEDHIOU,GOUDOMP,DJIBANAR,"MANGAROUNGOU SANTO","MANGAROUNGOU DOUMA",43,77,329,289,618
SEDHIOU,GOUDOMP,DJIBANAR,"MANGAROUNGOU SANTO","MANGAROUNGOU SANTO",69,108,378,362,740
SEDHIOU,GOUDOMP,DJIBANAR,"MANGAROUNGOU SANTO",MARAKISSA,8,21,107,109,216
SEDHIOU,GOUDOMP,DJIBANAR,"MANGAROUNGOU SANTO","MISSIRAH MANGAROUNGOU",21,38,137,165,302
SEDHIOU,GOUDOMP,DJIBANAR,"MANGAROUNGOU SANTO","SAMBELCOUNDA (DJIBONG)",35,45,409,383,792
SEDHIOU,GOUDOMP,DJIBANAR,"MANGAROUNGOU SANTO",SEGAFOULA,31,72,388,334,722
SEDHIOU,GOUDOMP,DJIBANAR,"MANGAROUNGOU SANTO",SEKOUNAYAN,14,26,167,185,352
SEDHIOU,GOUDOMP,DJIBANAR,"MANGAROUNGOU SANTO",SINAFA,9,22,132,115,247
SEDHIOU,GOUDOMP,DJIBANAR,"MANGAROUNGOU SANTO","SOUMACOUNDA MANCAGNE",17,22,103,145,248
SEDHIOU,GOUDOMP,DJIBANAR,"MANGAROUNGOU SANTO","SOUMACOUNDA MANDING",54,67,369,337,706
SEDHIOU,GOUDOMP,DJIBANAR,"SIMBANDI BALANTE",ANICE,21,24,123,118,241
SEDHIOU,GOUDOMP,DJIBANAR,"SIMBANDI BALANTE",ATHIOUFA,61,66,505,478,983
SEDHIOU,GOUDOMP,DJIBANAR,"SIMBANDI BALANTE",BANI,30,38,392,269,661
SEDHIOU,GOUDOMP,DJIBANAR,"SIMBANDI BALANTE",BONDALI,39,67,415,368,783
SEDHIOU,GOUDOMP,DJIBANAR,"SIMBANDI BALANTE",BOUKAOUR,24,42,230,257,487
SEDHIOU,GOUDOMP,DJIBANAR,"SIMBANDI BALANTE",BOUTOGHOL,12,21,73,68,141
SEDHIOU,GOUDOMP,DJIBANAR,"SIMBANDI BALANTE",DARSALAM,16,18,226,163,389
SEDHIOU,GOUDOMP,DJIBANAR,"SIMBANDI BALANTE",DJIMASSAR,21,32,172,183,355
SEDHIOU,GOUDOMP,DJIBANAR,"SIMBANDI BALANTE",DJIMBANA,50,72,571,634,1205
SEDHIOU,GOUDOMP,DJIBANAR,"SIMBANDI BALANTE","H1 SOUCOUTOTO",41,43,326,331,657
SEDHIOU,GOUDOMP,DJIBANAR,"SIMBANDI BALANTE",FARARA,36,41,330,266,596
SEDHIOU,GOUDOMP,DJIBANAR,"SIMBANDI BALANTE","HAMDALAYE BALANTE",77,81,594,558,1152
SEDHIOU,GOUDOMP,DJIBANAR,"SIMBANDI BALANTE","HAMDALAYE MANJAQUE",5,10,63,61,124
SEDHIOU,GOUDOMP,DJIBANAR,"SIMBANDI BALANTE","KOLANE BALANTE",74,80,427,467,894
SEDHIOU,GOUDOMP,DJIBANAR,"SIMBANDI BALANTE","H1 KRISSIM",20,25,110,133,243
SEDHIOU,GOUDOMP,DJIBANAR,"SIMBANDI BALANTE","KOLANE MANJAQUE",33,40,240,226,466
SEDHIOU,GOUDOMP,DJIBANAR,"SIMBANDI BALANTE","MADINA PEULH",38,41,199,224,423
SEDHIOU,GOUDOMP,DJIBANAR,"SIMBANDI BALANTE","MANDINA BALANTE",75,84,473,442,915
SEDHIOU,GOUDOMP,DJIBANAR,"SIMBANDI BALANTE","MANDINA MANJAQUE",20,25,133,160,293
SEDHIOU,GOUDOMP,DJIBANAR,"SIMBANDI BALANTE","MANECOUNDA I",69,85,375,418,793
SEDHIOU,GOUDOMP,DJIBANAR,"SIMBANDI BALANTE","MISSIRAH SAFANE (ASSOUMOUN)",51,85,593,533,1126
SEDHIOU,GOUDOMP,DJIBANAR,"SIMBANDI BALANTE","NIAFOR DOUMA",72,87,391,409,800
SEDHIOU,GOUDOMP,DJIBANAR,"SIMBANDI BALANTE","NIAFOR SANTO",47,63,256,233,489
SEDHIOU,GOUDOMP,DJIBANAR,"SIMBANDI BALANTE",PARIS,5,8,39,46,85
