Region,Departement,COM_ARRT_VILLE,COMMUNE,QUARTIER_VILLAGE_HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION
DAKAR,GUEDIAWAYE,"VILLE DE GUEDIAWAYE","GOLF SUD","CITE DU GOLF DE CAMBERENE (CITE ALIOUNE SOW)",861,1216,3251,4034,7285
DAKAR,GUEDIAWAYE,"VILLE DE GUEDIAWAYE","GOLF SUD","CITE ATEPA",40,106,257,304,561
DAKAR,GUEDIAWAYE,"VILLE DE GUEDIAWAYE","GOLF SUD","CITE DES ENSEIGNANTS",239,308,975,1125,2100
DAKAR,GUEDIAWAYE,"VILLE DE GUEDIAWAYE","GOLF SUD","CITE DOUANES",173,314,908,964,1872
DAKAR,GUEDIAWAYE,"VILLE DE GUEDIAWAYE","GOLF SUD","CITE FADIA",345,902,2468,2630,5098
DAKAR,GUEDIAWAYE,"VILLE DE GUEDIAWAYE","GOLF SUD","CITE FAYECAL",47,49,128,155,283
DAKAR,GUEDIAWAYE,"VILLE DE GUEDIAWAYE","GOLF SUD","CITE IBRAHIMA DIOP",91,121,403,452,855
DAKAR,GUEDIAWAYE,"VILLE DE GUEDIAWAYE","GOLF SUD","CITE SHS",289,405,1248,1385,2633
DAKAR,GUEDIAWAYE,"VILLE DE GUEDIAWAYE","GOLF SUD","FITH MITH",603,1573,4519,4674,9193
DAKAR,GUEDIAWAYE,"VILLE DE GUEDIAWAYE","GOLF SUD","GUENTABA I",247,768,2052,2170,4222
DAKAR,GUEDIAWAYE,"VILLE DE GUEDIAWAYE","GOLF SUD","GUENTABA II",200,684,1569,1701,3270
DAKAR,GUEDIAWAYE,"VILLE DE GUEDIAWAYE","GOLF SUD","GUENTABA III",483,1361,3554,3958,7512
DAKAR,GUEDIAWAYE,"VILLE DE GUEDIAWAYE","GOLF SUD","HAMO I",170,293,907,1024,1931
DAKAR,GUEDIAWAYE,"VILLE DE GUEDIAWAYE","GOLF SUD","HAMO II",212,423,1131,1231,2362
DAKAR,GUEDIAWAYE,"VILLE DE GUEDIAWAYE","GOLF SUD","HAMO III",171,247,685,811,1496
DAKAR,GUEDIAWAYE,"VILLE DE GUEDIAWAYE","GOLF SUD","HLM LAS PALMAS BLOC I",94,121,403,484,887
DAKAR,GUEDIAWAYE,"VILLE DE GUEDIAWAYE","GOLF SUD","HLM LAS PALMAS BLOC II",113,134,511,534,1045
DAKAR,GUEDIAWAYE,"VILLE DE GUEDIAWAYE","GOLF SUD","HLM LAS PALMAS BLOC III",356,449,1554,1740,3294
DAKAR,GUEDIAWAYE,"VILLE DE GUEDIAWAYE","GOLF SUD","PARCELLES ASSAINIES UNITE I",389,1005,3240,3017,6257
DAKAR,GUEDIAWAYE,"VILLE DE GUEDIAWAYE","GOLF SUD","PARCELLES ASSAINIES UNITE II",349,893,2550,2451,5001
DAKAR,GUEDIAWAYE,"VILLE DE GUEDIAWAYE","GOLF SUD","PARCELLES ASSAINIES UNITE III",295,784,2459,2380,4839
DAKAR,GUEDIAWAYE,"VILLE DE GUEDIAWAYE","GOLF SUD","PARCELLES ASSAINIES UNITE IV",374,976,2903,3045,5948
DAKAR,GUEDIAWAYE,"VILLE DE GUEDIAWAYE","GOLF SUD","PARCELLES ASSAINIES UNITE V",435,1318,4180,3797,7977
DAKAR,GUEDIAWAYE,"VILLE DE GUEDIAWAYE","GOLF SUD","PARCELLES ASSAINIES UNITE VI",491,1582,4463,4314,8777
DAKAR,GUEDIAWAYE,"VILLE DE GUEDIAWAYE","GOLF SUD","RASS MISSION",374,927,2903,2814,5717
DAKAR,GUEDIAWAYE,"VILLE DE GUEDIAWAYE","GOLF SUD","STATION X",311,671,1733,1990,3723
DAKAR,GUEDIAWAYE,"VILLE DE GUEDIAWAYE","GOLF SUD",TAIBA,184,438,1306,1372,2678
DAKAR,GUEDIAWAYE,"VILLE DE GUEDIAWAYE","GOLF SUD","TECHNOPOLE NIAYES",49,79,194,163,357
DAKAR,GUEDIAWAYE,"VILLE DE GUEDIAWAYE","GOLF SUD","CHAMPS DE COURSE B",155,394,1226,1293,2519
DAKAR,GUEDIAWAYE,"VILLE DE GUEDIAWAYE","GOLF SUD","CHAMPS DE COURSE D",138,404,1033,1088,2121
DAKAR,GUEDIAWAYE,"VILLE DE GUEDIAWAYE","GOLF SUD","CITE DALAL JAMM",86,167,350,449,799
DAKAR,GUEDIAWAYE,"VILLE DE GUEDIAWAYE","GOLF SUD","CITE LITTORAL",130,299,661,796,1457
DAKAR,GUEDIAWAYE,"VILLE DE GUEDIAWAYE","SAM NOTAIRE","CITE ADAMA DIOP",85,122,357,431,788
DAKAR,GUEDIAWAYE,"VILLE DE GUEDIAWAYE","SAM NOTAIRE","CITE BARRY ET LY",167,287,991,1003,1994
DAKAR,GUEDIAWAYE,"VILLE DE GUEDIAWAYE","SAM NOTAIRE","CITE HAMO TEFESS",55,83,264,318,582
DAKAR,GUEDIAWAYE,"VILLE DE GUEDIAWAYE","SAM NOTAIRE","CITE URBANISME",87,144,477,410,887
DAKAR,GUEDIAWAYE,"VILLE DE GUEDIAWAYE","SAM NOTAIRE","DAROU MINAM",207,373,1474,1453,2927
DAKAR,GUEDIAWAYE,"VILLE DE GUEDIAWAYE","SAM NOTAIRE","DAROU SALAM I",353,730,2586,2701,5287
DAKAR,GUEDIAWAYE,"VILLE DE GUEDIAWAYE","SAM NOTAIRE","DAROU SALAM II",225,518,1607,1637,3244
DAKAR,GUEDIAWAYE,"VILLE DE GUEDIAWAYE","SAM NOTAIRE",DIAMAGUENE,105,213,832,807,1639
DAKAR,GUEDIAWAYE,"VILLE DE GUEDIAWAYE","SAM NOTAIRE","GIBRALTAR I",361,717,2593,2715,5308
DAKAR,GUEDIAWAYE,"VILLE DE GUEDIAWAYE","SAM NOTAIRE","GIBRALTAR II",150,281,1010,1063,2073
DAKAR,GUEDIAWAYE,"VILLE DE GUEDIAWAYE","SAM NOTAIRE","GOLF NORD EST",145,331,1121,1051,2172
DAKAR,GUEDIAWAYE,"VILLE DE GUEDIAWAYE","SAM NOTAIRE","GOLF NORD I",203,471,1566,1689,3255
DAKAR,GUEDIAWAYE,"VILLE DE GUEDIAWAYE","SAM NOTAIRE","GOLF NORD I BIS",103,498,1021,950,1971
DAKAR,GUEDIAWAYE,"VILLE DE GUEDIAWAYE","SAM NOTAIRE","GOLF NORD II",161,344,1195,1117,2312
DAKAR,GUEDIAWAYE,"VILLE DE GUEDIAWAYE","SAM NOTAIRE","GOLF NORD II B",118,247,903,918,1821
DAKAR,GUEDIAWAYE,"VILLE DE GUEDIAWAYE","SAM NOTAIRE","GUEULE TAPEE II",160,274,1168,1093,2261
DAKAR,GUEDIAWAYE,"VILLE DE GUEDIAWAYE","SAM NOTAIRE","HLM PARIS",189,341,1119,1209,2328
DAKAR,GUEDIAWAYE,"VILLE DE GUEDIAWAYE","SAM NOTAIRE","MBODE I",174,411,1466,1545,3011
DAKAR,GUEDIAWAYE,"VILLE DE GUEDIAWAYE","SAM NOTAIRE","MBODE II",216,410,1450,1567,3017
DAKAR,GUEDIAWAYE,"VILLE DE GUEDIAWAYE","SAM NOTAIRE","MBODE III",216,392,1625,1465,3090
