Region,Departement,COM_ARRT_VILLE,COMMUNE,QUARTIER_VILLAGE_HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION
KAOLACK,GUINGUINEO,GUINGUINEO,GUINGUINEO,CAMPEMENT,413,450,1760,2027,3787
KAOLACK,GUINGUINEO,GUINGUINEO,GUINGUINEO,FARABOUGOU,77,81,479,438,917
KAOLACK,GUINGUINEO,GUINGUINEO,GUINGUINEO,KANENE,388,476,1965,2220,4185
KAOLACK,GUINGUINEO,GUINGUINEO,GUINGUINEO,"KEUR MACODE BAR",419,520,2327,2377,4704
KAOLACK,GUINGUINEO,GUINGUINEO,GUINGUINEO,PALENE,229,271,1043,1115,2158
KAOLACK,GUINGUINEO,GUINGUINEO,GUINGUINEO,THIERERE,232,271,1332,1359,2691
KAOLACK,GUINGUINEO,GUINGUINEO,GUINGUINEO,WALO,158,184,914,984,1898
KAOLACK,GUINGUINEO,MBADAKHOUNE,MBADAKHOUNE,BACK,18,22,108,91,199
KAOLACK,GUINGUINEO,MBADAKHOUNE,MBADAKHOUNE,"H1 MBOULOMBOFY",20,32,184,177,361
KAOLACK,GUINGUINEO,MBADAKHOUNE,MBADAKHOUNE,BOURNDOU,38,44,224,190,414
KAOLACK,GUINGUINEO,MBADAKHOUNE,MBADAKHOUNE,"H1 PAPAO",8,11,86,73,159
KAOLACK,GUINGUINEO,MBADAKHOUNE,MBADAKHOUNE,"H2 DAROU MIRAYA",1,1,304,19,323
KAOLACK,GUINGUINEO,MBADAKHOUNE,MBADAKHOUNE,"DAGA BOKY",56,61,311,341,652
KAOLACK,GUINGUINEO,MBADAKHOUNE,MBADAKHOUNE,"H1 KALIERE",10,14,107,94,201
KAOLACK,GUINGUINEO,MBADAKHOUNE,MBADAKHOUNE,"KIRPA SESSENE",6,6,45,39,84
KAOLACK,GUINGUINEO,MBADAKHOUNE,MBADAKHOUNE,FARABOUGOU,61,73,397,347,744
