Region,Departement,COM_ARRT_VILLE,COMMUNE,QUARTIER_VILLAGE_HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION
KAFFRINE,KAFFRINE,KAFFRINE,KAFFRINE,"DIAMAGUENE CENTRE",685,896,4209,4244,8453
KAFFRINE,KAFFRINE,KAFFRINE,KAFFRINE,"DIAMAGUENE NDIOBENE",548,676,3071,3059,6130
KAFFRINE,KAFFRINE,KAFFRINE,KAFFRINE,"DIAMAGUENE TP",913,1113,6104,5477,11581
KAFFRINE,KAFFRINE,KAFFRINE,KAFFRINE,"ESCALE EST",246,347,1402,1309,2711
KAFFRINE,KAFFRINE,KAFFRINE,KAFFRINE,"KAFFRINE NORD",478,568,2547,2419,4966
KAFFRINE,KAFFRINE,KAFFRINE,KAFFRINE,"KAFFRINE SUD",426,561,2597,2839,5436
KAFFRINE,KAFFRINE,KAFFRINE,KAFFRINE,MBAMBA,592,687,3277,3467,6744
KAFFRINE,KAFFRINE,KAFFRINE,KAFFRINE,PEYE,439,531,2386,2510,4896
KAFFRINE,KAFFRINE,KAFFRINE,KAFFRINE,"ESCALE OUEST/CITE MILLIONNAIRE",296,373,1255,1007,2262
KAFFRINE,KAFFRINE,KAFFRINE,KAFFRINE,"MEDINA BAYE",249,286,2257,1871,4128
KAFFRINE,KAFFRINE,GNIBY,BOULEL,"ALOUKY (TERRES NEUVES) ET ALOUKY SY",100,122,756,645,1401
KAFFRINE,KAFFRINE,GNIBY,BOULEL,"H2 NELBEL",12,13,81,95,176
KAFFRINE,KAFFRINE,GNIBY,BOULEL,"H3 BAYE NDIAYE",8,8,55,43,98
KAFFRINE,KAFFRINE,GNIBY,BOULEL,"H4 ALOUKY KAHI",30,38,198,191,389
KAFFRINE,KAFFRINE,GNIBY,BOULEL,"H5 DAROU KARIM",10,13,100,66,166
KAFFRINE,KAFFRINE,GNIBY,BOULEL,"H6 NELBEL SERERE",5,13,68,64,132
KAFFRINE,KAFFRINE,GNIBY,BOULEL,"H7 DAROU DIOP",1,2,29,12,41
KAFFRINE,KAFFRINE,GNIBY,BOULEL,"BOULEL GOUMACK",324,367,1861,1814,3675
KAFFRINE,KAFFRINE,GNIBY,BOULEL,"H1 NIETY GOUYE",28,30,258,269,527
KAFFRINE,KAFFRINE,GNIBY,BOULEL,"H2 MBETHIE PEULH",13,24,110,109,219
KAFFRINE,KAFFRINE,GNIBY,BOULEL,"H3 TAÏF THISSE",12,12,134,78,212
KAFFRINE,KAFFRINE,GNIBY,BOULEL,"DAROU SALAM III",23,30,180,144,324
KAFFRINE,KAFFRINE,GNIBY,BOULEL,"DIAKHAO SALOUM",176,202,1036,1141,2177
KAFFRINE,KAFFRINE,GNIBY,BOULEL,"H1 KAKARE",12,19,136,127,263
KAFFRINE,KAFFRINE,GNIBY,BOULEL,"DIOUT NGEUL I",110,141,833,773,1606
KAFFRINE,KAFFRINE,GNIBY,BOULEL,"H1 KAYE NIALBE",9,10,63,66,129
KAFFRINE,KAFFRINE,GNIBY,BOULEL,"DIOUT NGUEL II",27,31,248,222,470
KAFFRINE,KAFFRINE,GNIBY,BOULEL,"FASS GOULAKOUM",49,62,309,269,578
KAFFRINE,KAFFRINE,GNIBY,BOULEL,GOULOKOUM,132,166,701,644,1345
KAFFRINE,KAFFRINE,GNIBY,BOULEL,"H1 DIABA (DIABO)",2,2,6,7,13
KAFFRINE,KAFFRINE,GNIBY,BOULEL,HORE,92,125,535,503,1038
KAFFRINE,KAFFRINE,GNIBY,BOULEL,KHENDE,164,194,1127,1127,2254
KAFFRINE,KAFFRINE,GNIBY,BOULEL,"H1 KEUR SAMBA",2,4,15,11,26
KAFFRINE,KAFFRINE,GNIBY,BOULEL,"KOUYANDE KANDJI",54,69,401,390,791
KAFFRINE,KAFFRINE,GNIBY,BOULEL,"H2 NDIABAYENE",6,6,19,25,44
KAFFRINE,KAFFRINE,GNIBY,BOULEL,"H1 DIAYANE",11,25,104,85,189
KAFFRINE,KAFFRINE,GNIBY,BOULEL,"KOUYANDE NDIAYE",24,32,191,172,363
KAFFRINE,KAFFRINE,GNIBY,BOULEL,"H2 MBATHIERE",19,40,149,149,298
KAFFRINE,KAFFRINE,GNIBY,BOULEL,"H3 KOUYANDE TEOUROU",6,16,72,51,123
KAFFRINE,KAFFRINE,GNIBY,BOULEL,"H1 TEOUROU",9,14,54,33,87
KAFFRINE,KAFFRINE,GNIBY,BOULEL,"LANEL (LANENE)",77,104,553,448,1001
KAFFRINE,KAFFRINE,GNIBY,BOULEL,"H1 BOURLEYE LANEL",10,10,39,26,65
KAFFRINE,KAFFRINE,GNIBY,BOULEL,LAHI,44,49,289,289,578
KAFFRINE,KAFFRINE,GNIBY,BOULEL,"H1 MIDIO",7,11,50,60,110
