Region,Departement,COM_ARRT_VILLE,COMMUNE,QUARTIER_VILLAGE_HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION
MATAM,KANEL,KANEL,KANEL,"ALLAH YIDDI LAO",69,102,576,595,1171
MATAM,KANEL,KANEL,KANEL,HOHA,163,233,1365,1252,2617
MATAM,KANEL,KANEL,KANEL,"KANEL II",131,181,1329,893,2222
MATAM,KANEL,KANEL,KANEL,THIELOL,196,329,2323,2204,4527
MATAM,KANEL,KANEL,KANEL,YIRLA,73,113,796,732,1528
MATAM,KANEL,KANEL,KANEL,BELAL,140,205,1295,874,2169
MATAM,KANEL,KANEL,KANEL,"MADINA THIELOL",63,86,606,404,1010
MATAM,KANEL,ORKADIERE,BOKILADJI,ADABERE,188,230,1726,1752,3478
MATAM,KANEL,ORKADIERE,BOKILADJI,ALANA,68,85,833,834,1667
MATAM,KANEL,ORKADIERE,BOKILADJI,"H1 KOLY",21,26,231,241,472
MATAM,KANEL,ORKADIERE,BOKILADJI,"H2 BOULIBANY",2,2,29,22,51
MATAM,KANEL,ORKADIERE,BOKILADJI,"H1 MBOMBOYAOBE",3,7,58,56,114
MATAM,KANEL,ORKADIERE,BOKILADJI,"APPE DIALLOUBE",23,34,341,401,742
MATAM,KANEL,ORKADIERE,BOKILADJI,"APPE DIAOUBE",43,54,515,533,1048
MATAM,KANEL,ORKADIERE,BOKILADJI,"H1 THIAMBE (APPE DESILE)",7,10,70,74,144
MATAM,KANEL,ORKADIERE,BOKILADJI,"APPE RANGHABE (APPE DEMBA GOUROU)",7,8,92,71,163
MATAM,KANEL,ORKADIERE,BOKILADJI,"APPE SAKOBE",22,28,366,361,727
MATAM,KANEL,ORKADIERE,BOKILADJI,BABANGOL,41,64,646,828,1474
MATAM,KANEL,ORKADIERE,BOKILADJI,"H1 GOUREL YERO ALY SALL",7,9,64,55,119
MATAM,KANEL,ORKADIERE,BOKILADJI,"H1 OUROU SARA FAMORY",3,20,78,85,163
MATAM,KANEL,ORKADIERE,BOKILADJI,BOKILADJI,137,219,1322,1310,2632
MATAM,KANEL,ORKADIERE,BOKILADJI,"H1 DAROU SALAM",31,56,452,373,825
MATAM,KANEL,ORKADIERE,BOKILADJI,"H2 MAYEL KADIE",21,36,230,243,473
