Region,Departement,COM_ARRT_VILLE,COMMUNE,QUARTIER_VILLAGE_HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION
KAOLACK,KAOLACK,KAOLACK,KAOLACK,ABATTOIRS,635,936,4805,4346,9151
KAOLACK,KAOLACK,KAOLACK,KAOLACK,BONGRE,619,783,2140,2481,4621
KAOLACK,KAOLACK,KAOLACK,KAOLACK,"BOUSTANE 1",306,446,1817,1933,3750
KAOLACK,KAOLACK,KAOLACK,KAOLACK,"BOUSTANE 2",350,501,1704,1986,3690
KAOLACK,KAOLACK,KAOLACK,KAOLACK,"DAROU SALAM DIAMAGUENE",759,803,3709,2971,6680
KAOLACK,KAOLACK,KAOLACK,KAOLACK,"DAROU SALAM NDANGANE",996,1498,5703,5216,10919
KAOLACK,KAOLACK,KAOLACK,KAOLACK,"DIALEGNE 1",512,730,3418,3653,7071
KAOLACK,KAOLACK,KAOLACK,KAOLACK,"DIALEGNE 2",676,960,5167,5242,10409
KAOLACK,KAOLACK,KAOLACK,KAOLACK,"DIAMAGUENE 1",274,469,1657,1725,3382
KAOLACK,KAOLACK,KAOLACK,KAOLACK,"DIAMAGUENE EXTENTION",341,520,1579,1637,3216
KAOLACK,KAOLACK,KAOLACK,KAOLACK,"FASS CAMP DES GARDES",350,409,1631,1565,3196
KAOLACK,KAOLACK,KAOLACK,KAOLACK,GAWANE,479,557,2325,2564,4889
KAOLACK,KAOLACK,KAOLACK,KAOLACK,"HLM SARA",115,131,396,458,854
KAOLACK,KAOLACK,KAOLACK,KAOLACK,KABATOKI,782,852,3648,3860,7508
KAOLACK,KAOLACK,KAOLACK,KAOLACK,KASAVILLE,751,1097,4317,4522,8839
KAOLACK,KAOLACK,KAOLACK,KAOLACK,KASNACK,600,922,3325,3515,6840
KAOLACK,KAOLACK,KAOLACK,KAOLACK,KOUNDAM,345,524,3076,1788,4864
KAOLACK,KAOLACK,KAOLACK,KAOLACK,"LEONA CENTRE",444,752,2817,2935,5752
KAOLACK,KAOLACK,KAOLACK,KAOLACK,"LEONA ESCALE",172,303,955,907,1862
KAOLACK,KAOLACK,KAOLACK,KAOLACK,LYNDIANE,186,200,958,979,1937
KAOLACK,KAOLACK,KAOLACK,KAOLACK,"MEDINA BAYE",1508,1954,10998,11022,22020
KAOLACK,KAOLACK,KAOLACK,KAOLACK,"MEDINA MBABA 1",305,412,1835,1953,3788
KAOLACK,KAOLACK,KAOLACK,KAOLACK,"MEDINA MBABA 2",969,1167,5516,5883,11399
KAOLACK,KAOLACK,KAOLACK,KAOLACK,NDANGANE,167,310,1134,1364,2498
KAOLACK,KAOLACK,KAOLACK,KAOLACK,"NDAR GOU NDAW",484,798,3172,3352,6524
KAOLACK,KAOLACK,KAOLACK,KAOLACK,"NDORONG 1",288,369,1411,1396,2807
KAOLACK,KAOLACK,KAOLACK,KAOLACK,"NDORONG SADAGA",436,530,2175,2433,4608
KAOLACK,KAOLACK,KAOLACK,KAOLACK,"NGANE ALLASSANE",905,1054,5352,4612,9964
KAOLACK,KAOLACK,KAOLACK,KAOLACK,"NGANE SAER",762,884,3872,3792,7664
KAOLACK,KAOLACK,KAOLACK,KAOLACK,NIMZATT,503,625,2570,2909,5479
KAOLACK,KAOLACK,KAOLACK,KAOLACK,"PARCELLES ASSAINIES",799,1175,3252,3393,6645
KAOLACK,KAOLACK,KAOLACK,KAOLACK,SAM,1337,1695,7166,7591,14757
KAOLACK,KAOLACK,KAOLACK,KAOLACK,"SAMA MOUSSA",293,312,1766,1288,3054
KAOLACK,KAOLACK,KAOLACK,KAOLACK,"SARA NDIOUGARY",895,1141,4868,5262,10130
KAOLACK,KAOLACK,KAOLACK,KAOLACK,"SING SING",561,750,2543,2161,4704
KAOLACK,KAOLACK,KAOLACK,KAOLACK,"TABAGOYE 2",453,590,2885,3028,5913
KAOLACK,KAOLACK,KAOLACK,KAOLACK,"TABAYA (KASNACK NORD)",285,424,1696,1746,3442
KAOLACK,KAOLACK,KAOLACK,KAOLACK,THIOFFACK,2317,2892,14003,12819,26822
KAOLACK,KAOLACK,KAOLACK,KAOLACK,"TOUBA KAOLACK",1123,1393,5749,6478,12227
