Region,Departement,COM_ARRT_VILLE,COMMUNE,QUARTIER_VILLAGE_HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION
LOUGA,KEBEMER,KEBEMER,KEBEMER,GALLA,227,293,1157,1218,2375
LOUGA,KEBEMER,KEBEMER,KEBEMER,MBABOU,421,483,1744,2134,3878
LOUGA,KEBEMER,KEBEMER,KEBEMER,MBASSINE,444,492,2250,2090,4340
LOUGA,KEBEMER,KEBEMER,KEBEMER,MEDINA,392,461,1864,1884,3748
LOUGA,KEBEMER,KEBEMER,KEBEMER,ESCALE,314,393,1267,1455,2722
LOUGA,KEBEMER,KEBEMER,KEBEMER,DIAMAGUENE,410,430,1740,1903,3643
LOUGA,KEBEMER,KEBEMER,KEBEMER,"GALLA DAROU SALAM",460,537,2125,1940,4065
LOUGA,KEBEMER,KEBEMER,KEBEMER,NDAKHAR,172,192,854,953,1807
LOUGA,KEBEMER,KEBEMER,KEBEMER,"NDIABY FALL",65,70,361,366,727
LOUGA,KEBEMER,"DAROU MOUHTY","DAROU MARNANE","BABA LO",14,16,93,112,205
LOUGA,KEBEMER,"DAROU MOUHTY","DAROU MARNANE","BAYTI  MBERY BEYE",18,19,170,82,252
LOUGA,KEBEMER,"DAROU MOUHTY","DAROU MARNANE","BAYTI NGUERA 1",1,1,11,4,15
LOUGA,KEBEMER,"DAROU MOUHTY","DAROU MARNANE","KOKI DAKHAR",2,5,17,22,39
LOUGA,KEBEMER,"DAROU MOUHTY","DAROU MARNANE","KOKI KADE",16,19,123,112,235
LOUGA,KEBEMER,"DAROU MOUHTY","DAROU MARNANE","H2 YALLENE",12,13,75,96,171
LOUGA,KEBEMER,"DAROU MOUHTY","DAROU MARNANE","DAROU DIOP",5,5,21,27,48
LOUGA,KEBEMER,"DAROU MOUHTY","DAROU MARNANE","H1 BIBE",5,5,23,22,45
LOUGA,KEBEMER,"DAROU MOUHTY","DAROU MARNANE","DAROU FASS",10,10,84,71,155
LOUGA,KEBEMER,"DAROU MOUHTY","DAROU MARNANE","DAROU MARNANE",479,600,2526,2954,5480
LOUGA,KEBEMER,"DAROU MOUHTY","DAROU MARNANE","H1 DAROU KHOUDOSS FETO",1,2,13,9,22
LOUGA,KEBEMER,"DAROU MOUHTY","DAROU MARNANE","H2 DAROU MARNANE FETO",27,32,240,189,429
LOUGA,KEBEMER,"DAROU MOUHTY","DAROU MARNANE",DEKHEULE,30,32,140,107,247
LOUGA,KEBEMER,"DAROU MOUHTY","DAROU MARNANE","H1 DEKHEULE PEULH",13,14,84,93,177
LOUGA,KEBEMER,"DAROU MOUHTY","DAROU MARNANE","DEKHOLE GUET",2,2,12,14,26
LOUGA,KEBEMER,"DAROU MOUHTY","DAROU MARNANE","DEKHOLE MBEYE PEULH",16,21,85,93,178
LOUGA,KEBEMER,"DAROU MOUHTY","DAROU MARNANE","H1 SACOLY",2,4,35,18,53
LOUGA,KEBEMER,"DAROU MOUHTY","DAROU MARNANE","FASS PEULH",6,6,35,36,71
LOUGA,KEBEMER,"DAROU MOUHTY","DAROU MARNANE","FASS TOURE",129,135,1081,717,1798
LOUGA,KEBEMER,"DAROU MOUHTY","DAROU MARNANE",KALOM,10,13,65,43,108
LOUGA,KEBEMER,"DAROU MOUHTY","DAROU MARNANE","KEUR MASSAMBA KHARY",16,21,109,84,193
LOUGA,KEBEMER,"DAROU MOUHTY","DAROU MARNANE","KEUR MATAR BINTA OUOLOF",13,14,136,84,220
LOUGA,KEBEMER,"DAROU MOUHTY","DAROU MARNANE","KEUR MATAR BINTA PEULH",18,25,148,122,270
LOUGA,KEBEMER,"DAROU MOUHTY","DAROU MARNANE","KEUR MATAR DIOP DE SAGATTA GUETH",3,3,31,33,64
LOUGA,KEBEMER,"DAROU MOUHTY","DAROU MARNANE",KHATARANE,15,17,91,94,185
LOUGA,KEBEMER,"DAROU MOUHTY","DAROU MARNANE","KIR SAMB",19,23,88,72,160
LOUGA,KEBEMER,"DAROU MOUHTY","DAROU MARNANE","MBARY WOROM",8,10,50,45,95
LOUGA,KEBEMER,"DAROU MOUHTY","DAROU MARNANE","H1 BOUBOU BA",18,19,128,107,235
LOUGA,KEBEMER,"DAROU MOUHTY","DAROU MARNANE",MBERBOKHO,8,10,62,40,102
LOUGA,KEBEMER,"DAROU MOUHTY","DAROU MARNANE","H1 KEUR SAMBA ARAME PEULH",13,13,53,63,116
LOUGA,KEBEMER,"DAROU MOUHTY","DAROU MARNANE","BEUBEUNE (BOUBOULE)",7,8,96,56,152
LOUGA,KEBEMER,"DAROU MOUHTY","DAROU MARNANE","MERINA DIOP (KEUR BIRA GUEYE)",11,11,88,105,193
LOUGA,KEBEMER,"DAROU MOUHTY","DAROU MARNANE","H1 LEUDEUM(MERINA DIOP)",10,12,54,70,124
LOUGA,KEBEMER,"DAROU MOUHTY","DAROU MARNANE",NDEMBOLOGNE,16,19,98,90,188
LOUGA,KEBEMER,"DAROU MOUHTY","DAROU MARNANE","NDJINGUENE WOLOF",1,1,4,0,4
LOUGA,KEBEMER,"DAROU MOUHTY","DAROU MARNANE","NDJINGUENE PEULH",6,10,45,43,88
LOUGA,KEBEMER,"DAROU MOUHTY","DAROU MARNANE","GUELLE 1",4,4,26,22,48
LOUGA,KEBEMER,"DAROU MOUHTY","DAROU MARNANE","GUELLE 2",11,13,51,57,108
LOUGA,KEBEMER,"DAROU MOUHTY","DAROU MARNANE","NGUEMBE PEULH",6,8,46,39,85
LOUGA,KEBEMER,"DAROU MOUHTY","DAROU MARNANE","NGUER FACK 1",13,19,90,77,167
LOUGA,KEBEMER,"DAROU MOUHTY","DAROU MARNANE","NGUER FACK 2",9,9,47,30,77
LOUGA,KEBEMER,"DAROU MOUHTY","DAROU MARNANE","NGUERA LO",2,10,38,28,66
LOUGA,KEBEMER,"DAROU MOUHTY","DAROU MARNANE",RAYAYE,22,25,137,93,230
LOUGA,KEBEMER,"DAROU MOUHTY","DAROU MARNANE",NGABA,4,4,46,23,69
LOUGA,KEBEMER,"DAROU MOUHTY","DAROU MARNANE",THIOTY,1,1,21,18,39
LOUGA,KEBEMER,"DAROU MOUHTY","DAROU MARNANE","TOUBA ROOF",34,35,187,226,413
LOUGA,KEBEMER,"DAROU MOUHTY","DAROU MARNANE","WALALANE WOLOF",22,28,134,126,260
