Region,Departement,COM_ARRT_VILLE,COMMUNE,QUARTIER_VILLAGE_HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION
KEDOUGOU,KEDOUGOU,KEDOUGOU,KEDOUGOU,DALABA,293,480,1970,1895,3865
KEDOUGOU,KEDOUGOU,KEDOUGOU,KEDOUGOU,DANDEMAYO,492,713,3375,2747,6122
KEDOUGOU,KEDOUGOU,KEDOUGOU,KEDOUGOU,"DINGUESSOU (PASTEUR BUTLER)",1033,1440,5898,4862,10760
KEDOUGOU,KEDOUGOU,KEDOUGOU,KEDOUGOU,FADIGA,224,248,979,865,1844
KEDOUGOU,KEDOUGOU,KEDOUGOU,KEDOUGOU,"NDIORMI (GADA DINGUESSOU)",1465,1803,6067,5547,11614
KEDOUGOU,KEDOUGOU,KEDOUGOU,KEDOUGOU,"GOMBA (TRIPANO)",1911,2245,7652,6856,14508
KEDOUGOU,KEDOUGOU,KEDOUGOU,KEDOUGOU,"KEGNETO PEULH",155,161,700,584,1284
KEDOUGOU,KEDOUGOU,KEDOUGOU,KEDOUGOU,"MEDINA KEGNETO",30,33,365,258,623
KEDOUGOU,KEDOUGOU,KEDOUGOU,KEDOUGOU,MOSQUEE,396,587,2714,2617,5331
KEDOUGOU,KEDOUGOU,KEDOUGOU,KEDOUGOU,TOGORO,251,406,1671,1609,3280
KEDOUGOU,KEDOUGOU,BANDAFASSI,BANDAFASSI,"BADEMBAN (IWOL)",13,20,166,191,357
KEDOUGOU,KEDOUGOU,BANDAFASSI,BANDAFASSI,"H1 GUINGARA",13,16,95,70,165
KEDOUGOU,KEDOUGOU,BANDAFASSI,BANDAFASSI,BAITILAYE,33,61,415,403,818
KEDOUGOU,KEDOUGOU,BANDAFASSI,BANDAFASSI,"BANDAFASSI PEULH",82,365,479,452,931
KEDOUGOU,KEDOUGOU,BANDAFASSI,BANDAFASSI,"H1 TAKOUROU",16,20,81,64,145
KEDOUGOU,KEDOUGOU,BANDAFASSI,BANDAFASSI,"H2 SANTAKHO",42,46,180,183,363
KEDOUGOU,KEDOUGOU,BANDAFASSI,BANDAFASSI,"H3 SILING",2,2,9,8,17
KEDOUGOU,KEDOUGOU,BANDAFASSI,BANDAFASSI,"H6 SINTHIOU SITELLY",1,1,3,0,3
KEDOUGOU,KEDOUGOU,BANDAFASSI,BANDAFASSI,"BANDAFASSI TANDA",18,19,82,96,178
KEDOUGOU,KEDOUGOU,BANDAFASSI,BANDAFASSI,"H1 INDAR",22,26,96,80,176
KEDOUGOU,KEDOUGOU,BANDAFASSI,BANDAFASSI,"H2 SILLY BASSARI",8,8,18,26,44
KEDOUGOU,KEDOUGOU,BANDAFASSI,BANDAFASSI,"H3 SILLY PEULH",19,20,96,58,154
KEDOUGOU,KEDOUGOU,BANDAFASSI,BANDAFASSI,"H4 MERESSI",13,14,44,39,83
KEDOUGOU,KEDOUGOU,BANDAFASSI,BANDAFASSI,BOUNDOUCONDI,43,45,226,185,411
KEDOUGOU,KEDOUGOU,BANDAFASSI,BANDAFASSI,"H1 NATHIA",33,43,155,166,321
KEDOUGOU,KEDOUGOU,BANDAFASSI,BANDAFASSI,"DAR SALAM 1",20,21,107,85,192
KEDOUGOU,KEDOUGOU,BANDAFASSI,BANDAFASSI,"DIENDJI DIAKHA",40,41,289,181,470
KEDOUGOU,KEDOUGOU,BANDAFASSI,BANDAFASSI,"H2 NIANGHE BASSARI",7,7,22,12,34
KEDOUGOU,KEDOUGOU,BANDAFASSI,BANDAFASSI,HABIBOU,34,39,106,110,216
KEDOUGOU,KEDOUGOU,BANDAFASSI,BANDAFASSI,IBEL,110,136,557,614,1171
KEDOUGOU,KEDOUGOU,BANDAFASSI,BANDAFASSI,"H1 CARRIERE",3,4,23,17,40
KEDOUGOU,KEDOUGOU,BANDAFASSI,BANDAFASSI,"H2 DAMBOUKOYE",11,12,79,79,158
KEDOUGOU,KEDOUGOU,BANDAFASSI,BANDAFASSI,ITATO,27,29,108,106,214
KEDOUGOU,KEDOUGOU,BANDAFASSI,BANDAFASSI,"H1 MAREWA",7,7,20,14,34
KEDOUGOU,KEDOUGOU,BANDAFASSI,BANDAFASSI,"H2 THIANKOU MALAL",44,50,185,165,350
KEDOUGOU,KEDOUGOU,BANDAFASSI,BANDAFASSI,LAMINIA,92,111,842,614,1456
KEDOUGOU,KEDOUGOU,BANDAFASSI,BANDAFASSI,"LANDE BAITYL",32,43,223,204,427
KEDOUGOU,KEDOUGOU,BANDAFASSI,BANDAFASSI,"LANDIENI PEULH",23,30,154,142,296
KEDOUGOU,KEDOUGOU,BANDAFASSI,BANDAFASSI,"LANDIENY TANDA",14,15,116,101,217
KEDOUGOU,KEDOUGOU,BANDAFASSI,BANDAFASSI,NIANGHE,27,30,127,126,253
KEDOUGOU,KEDOUGOU,BANDAFASSI,BANDAFASSI,PATASSY,22,24,167,120,287
KEDOUGOU,KEDOUGOU,BANDAFASSI,BANDAFASSI,"H2 CARREFOUR NDIAYE PRAYA",1,1,3,8,11
KEDOUGOU,KEDOUGOU,BANDAFASSI,BANDAFASSI,SAMECOUTA,111,131,1053,912,1965
KEDOUGOU,KEDOUGOU,BANDAFASSI,BANDAFASSI,"H1 DOUTADING",3,3,20,23,43
KEDOUGOU,KEDOUGOU,BANDAFASSI,BANDAFASSI,"SINTHIOU ROUDJI",47,48,183,154,337
KEDOUGOU,KEDOUGOU,BANDAFASSI,BANDAFASSI,"SYLLACOUNDA DIAKHA",62,71,590,549,1139
KEDOUGOU,KEDOUGOU,BANDAFASSI,BANDAFASSI,"H1 TAIFA",12,16,122,66,188
KEDOUGOU,KEDOUGOU,BANDAFASSI,BANDAFASSI,"SYLLACOUNDA PEULH",14,15,65,59,124
KEDOUGOU,KEDOUGOU,BANDAFASSI,BANDAFASSI,THIABEDJI,85,124,558,577,1135
KEDOUGOU,KEDOUGOU,BANDAFASSI,BANDAFASSI,THIOKETHIAN,40,51,289,273,562
KEDOUGOU,KEDOUGOU,BANDAFASSI,BANDAFASSI,BITELAIRE,4,4,12,4,16
KEDOUGOU,KEDOUGOU,BANDAFASSI,BANDAFASSI,"DAR SALAM 2",29,29,164,127,291
KEDOUGOU,KEDOUGOU,BANDAFASSI,BANDAFASSI,"MADINA VIRAGE TAIBATOU",7,8,27,21,48
KEDOUGOU,KEDOUGOU,BANDAFASSI,TOMBORONCOTO,BADON,12,16,141,154,295
KEDOUGOU,KEDOUGOU,BANDAFASSI,TOMBORONCOTO,BAFOUNDOU,1,1,1,1,2
KEDOUGOU,KEDOUGOU,BANDAFASSI,TOMBORONCOTO,"H2 BANCAKOKHOCO",5,6,65,47,112
KEDOUGOU,KEDOUGOU,BANDAFASSI,TOMBORONCOTO,"H3 TEMASSOU",15,15,43,39,82
KEDOUGOU,KEDOUGOU,BANDAFASSI,TOMBORONCOTO,BAGNOMBA,21,23,192,190,382
KEDOUGOU,KEDOUGOU,BANDAFASSI,TOMBORONCOTO,"H3 KOLON",3,6,48,39,87
KEDOUGOU,KEDOUGOU,BANDAFASSI,TOMBORONCOTO,BANTAKOCOUTA,634,955,3105,1700,4805
KEDOUGOU,KEDOUGOU,BANDAFASSI,TOMBORONCOTO,"H1 BANTAKOKHOTO",2,3,13,7,20
KEDOUGOU,KEDOUGOU,BANDAFASSI,TOMBORONCOTO,"BANTATA MANDINGUE",2,3,14,11,25
KEDOUGOU,KEDOUGOU,BANDAFASSI,TOMBORONCOTO,"BANTATA TANDA",12,24,167,169,336
KEDOUGOU,KEDOUGOU,BANDAFASSI,TOMBORONCOTO,BATRANKE,4,6,82,76,158
KEDOUGOU,KEDOUGOU,BANDAFASSI,TOMBORONCOTO,"H1 FOLONKOTO",5,5,56,47,103
KEDOUGOU,KEDOUGOU,BANDAFASSI,TOMBORONCOTO,BRANDOUFARY,8,9,108,108,216
KEDOUGOU,KEDOUGOU,BANDAFASSI,TOMBORONCOTO,"H1 LAME",10,11,132,119,251
KEDOUGOU,KEDOUGOU,BANDAFASSI,TOMBORONCOTO,"H2 KOUTOUFINKOTO",5,5,56,53,109
KEDOUGOU,KEDOUGOU,BANDAFASSI,TOMBORONCOTO,"DAR SALAM DALABA",9,9,38,28,66
KEDOUGOU,KEDOUGOU,BANDAFASSI,TOMBORONCOTO,"KABATE GUINDA",18,21,177,190,367
KEDOUGOU,KEDOUGOU,BANDAFASSI,TOMBORONCOTO,KANOUMERING,83,102,497,405,902
KEDOUGOU,KEDOUGOU,BANDAFASSI,TOMBORONCOTO,"H1 KOULOUNTOU",6,6,25,24,49
KEDOUGOU,KEDOUGOU,BANDAFASSI,TOMBORONCOTO,MAKO,225,279,1618,1365,2983
KEDOUGOU,KEDOUGOU,BANDAFASSI,TOMBORONCOTO,"MANIANKANTY (KEREKONKO)",11,12,80,65,145
KEDOUGOU,KEDOUGOU,BANDAFASSI,TOMBORONCOTO,"H1 DALAKOYE",14,19,143,108,251
KEDOUGOU,KEDOUGOU,BANDAFASSI,TOMBORONCOTO,"H2 BAMBOYA",4,4,26,10,36
KEDOUGOU,KEDOUGOU,BANDAFASSI,TOMBORONCOTO,MAROUGOUDING,15,34,101,97,198
KEDOUGOU,KEDOUGOU,BANDAFASSI,TOMBORONCOTO,"MAROUGOUKOTO (BADIAN 1)",16,27,152,111,263
KEDOUGOU,KEDOUGOU,BANDAFASSI,TOMBORONCOTO,"H1 FOUKHOTO (BADIAN 2)",55,65,368,337,705
KEDOUGOU,KEDOUGOU,BANDAFASSI,TOMBORONCOTO,"NEGUEBAKHO MIRABOUGOU",39,41,134,168,302
KEDOUGOU,KEDOUGOU,BANDAFASSI,TOMBORONCOTO,"NGARY (ONGAR)",31,69,194,168,362
KEDOUGOU,KEDOUGOU,BANDAFASSI,TOMBORONCOTO,NIEMENIKE,7,14,58,51,109
KEDOUGOU,KEDOUGOU,BANDAFASSI,TOMBORONCOTO,"H2 SENOTHIE",10,10,46,57,103
KEDOUGOU,KEDOUGOU,BANDAFASSI,TOMBORONCOTO,"H3 SINTHIOU ROUDJI",5,5,19,15,34
KEDOUGOU,KEDOUGOU,BANDAFASSI,TOMBORONCOTO,"SEGUEKO BASSARI",17,20,100,129,229
KEDOUGOU,KEDOUGOU,BANDAFASSI,TOMBORONCOTO,"H1 SINDAKHA",5,5,19,15,34
KEDOUGOU,KEDOUGOU,BANDAFASSI,TOMBORONCOTO,"H2 NIARICONDON",3,3,11,12,23
KEDOUGOU,KEDOUGOU,BANDAFASSI,TOMBORONCOTO,"H3 SAINT ETIENNE",9,13,60,45,105
KEDOUGOU,KEDOUGOU,BANDAFASSI,TOMBORONCOTO,"SEGUEKO PEULH",29,33,165,156,321
KEDOUGOU,KEDOUGOU,BANDAFASSI,TOMBORONCOTO,SIBIKILING,20,25,199,161,360
KEDOUGOU,KEDOUGOU,BANDAFASSI,TOMBORONCOTO,TAMBANOUMOUYA,33,34,412,347,759
KEDOUGOU,KEDOUGOU,BANDAFASSI,TOMBORONCOTO,"H1 LINGUEKOTO",22,22,137,99,236
KEDOUGOU,KEDOUGOU,BANDAFASSI,TOMBORONCOTO,TIKANKALY,7,10,92,95,187
KEDOUGOU,KEDOUGOU,BANDAFASSI,TOMBORONCOTO,"TENKOTO TANDA ET MANDINGUE",29,82,243,176,419
KEDOUGOU,KEDOUGOU,BANDAFASSI,TOMBORONCOTO,"H1 BARAFOUTE",7,19,80,59,139
KEDOUGOU,KEDOUGOU,BANDAFASSI,TOMBORONCOTO,"H2 DIENDJI BASSARI (OUBADJI)",8,21,42,35,77
KEDOUGOU,KEDOUGOU,BANDAFASSI,TOMBORONCOTO,"H3 FANKOLY",2,3,9,5,14
KEDOUGOU,KEDOUGOU,BANDAFASSI,TOMBORONCOTO,"H4 THIOBO",10,14,55,45,100
KEDOUGOU,KEDOUGOU,BANDAFASSI,TOMBORONCOTO,TOMBORONKOTO,93,108,631,512,1143
KEDOUGOU,KEDOUGOU,BANDAFASSI,TOMBORONCOTO,"H1 KOUMOUSSABOTO",2,3,14,11,25
KEDOUGOU,KEDOUGOU,BANDAFASSI,TOMBORONCOTO,"H2 SEKHOTO",15,15,90,109,199
KEDOUGOU,KEDOUGOU,BANDAFASSI,TOMBORONCOTO,"TOUBA DIAKHA",12,14,55,46,101
KEDOUGOU,KEDOUGOU,BANDAFASSI,TOMBORONCOTO,SINPAPOU,9,10,24,7,31
KEDOUGOU,KEDOUGOU,BANDAFASSI,DINDEFELO,"AFIA 1 (THIABE CARE)",53,61,204,222,426
KEDOUGOU,KEDOUGOU,BANDAFASSI,DINDEFELO,"H3 TEPERE DIANTOUNG",45,53,193,191,384
KEDOUGOU,KEDOUGOU,BANDAFASSI,DINDEFELO,"H4 NEWDOU (BOUCHRA)",24,27,65,59,124
KEDOUGOU,KEDOUGOU,BANDAFASSI,DINDEFELO,"AFIA 2",26,28,90,109,199
KEDOUGOU,KEDOUGOU,BANDAFASSI,DINDEFELO,"BOUSSOURA (MAMADOU BOUNDOU)",24,28,127,135,262
KEDOUGOU,KEDOUGOU,BANDAFASSI,DINDEFELO,DANDE,43,49,158,169,327
KEDOUGOU,KEDOUGOU,BANDAFASSI,DINDEFELO,DINDEFELLO,175,203,908,905,1813
KEDOUGOU,KEDOUGOU,BANDAFASSI,DINDEFELO,"DIOGOMA NANDOUMARI",48,51,200,183,383
KEDOUGOU,KEDOUGOU,BANDAFASSI,DINDEFELO,"H1 MBOULAYE",7,8,35,29,64
KEDOUGOU,KEDOUGOU,BANDAFASSI,DINDEFELO,"PELEL KENDESSA",125,153,639,621,1260
