Region,Departement,COM_ARRT_VILLE,COMMUNE,QUARTIER_VILLAGE_HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION
DAKAR,"KEUR MASSAR",YEUMBEUL,"YEUMBEUL NORD","AFIA III A",299,632,2283,2099,4382
DAKAR,"KEUR MASSAR",YEUMBEUL,"YEUMBEUL NORD","AFIA III B",242,577,1827,1687,3514
DAKAR,"KEUR MASSAR",YEUMBEUL,"YEUMBEUL NORD","AFIA VI",282,605,2015,2049,4064
DAKAR,"KEUR MASSAR",YEUMBEUL,"YEUMBEUL NORD","AINOUMADY II",304,538,2092,2103,4195
DAKAR,"KEUR MASSAR",YEUMBEUL,"YEUMBEUL NORD","AINOUMADY III",384,612,2613,2387,5000
DAKAR,"KEUR MASSAR",YEUMBEUL,"YEUMBEUL NORD","AINOUMADY IV",254,530,1775,1684,3459
DAKAR,"KEUR MASSAR",YEUMBEUL,"YEUMBEUL NORD","AINOUMADY I SOTRAC",200,405,1543,1463,3006
DAKAR,"KEUR MASSAR",YEUMBEUL,"YEUMBEUL NORD","ALPOULAR I A",127,220,946,868,1814
DAKAR,"KEUR MASSAR",YEUMBEUL,"YEUMBEUL NORD","ALPOULAR II",2,1,337,351,688
DAKAR,"KEUR MASSAR",YEUMBEUL,"YEUMBEUL NORD","BENE BARAQUE",162,315,1248,1296,2544
DAKAR,"KEUR MASSAR",YEUMBEUL,"YEUMBEUL NORD","BENE BARAQUE II A",127,225,956,830,1786
DAKAR,"KEUR MASSAR",YEUMBEUL,"YEUMBEUL NORD","BENE BARAQUE III",87,229,504,509,1013
DAKAR,"KEUR MASSAR",YEUMBEUL,"YEUMBEUL NORD","BENE BARAQUE IV",189,301,1280,1178,2458
DAKAR,"KEUR MASSAR",YEUMBEUL,"YEUMBEUL NORD","BENE BARAQUE V",119,210,893,826,1719
DAKAR,"KEUR MASSAR",YEUMBEUL,"YEUMBEUL NORD","BENE BARAQUE VI",249,378,1616,1587,3203
DAKAR,"KEUR MASSAR",YEUMBEUL,"YEUMBEUL NORD","CITE COMICO I",587,847,2682,2524,5206
DAKAR,"KEUR MASSAR",YEUMBEUL,"YEUMBEUL NORD","CITE COMICO II",410,555,1957,1842,3799
DAKAR,"KEUR MASSAR",YEUMBEUL,"YEUMBEUL NORD","CITE COMICO III",573,802,2513,2549,5062
DAKAR,"KEUR MASSAR",YEUMBEUL,"YEUMBEUL NORD","CITE COMICO IV",143,187,687,725,1412
DAKAR,"KEUR MASSAR",YEUMBEUL,"YEUMBEUL NORD","DAROU RAHMANE II",86,187,590,593,1183
DAKAR,"KEUR MASSAR",YEUMBEUL,"YEUMBEUL NORD","DAROU RAHMANE II B",245,482,1545,1464,3009
DAKAR,"KEUR MASSAR",YEUMBEUL,"YEUMBEUL NORD","DAROU RAHMANE III",96,152,677,680,1357
DAKAR,"KEUR MASSAR",YEUMBEUL,"YEUMBEUL NORD","DAROU SALAM",342,627,2421,2304,4725
DAKAR,"KEUR MASSAR",YEUMBEUL,"YEUMBEUL NORD","DAROU SALAM GAROU",164,268,1073,949,2022
DAKAR,"KEUR MASSAR",YEUMBEUL,"YEUMBEUL NORD","DAROU SALAM I",201,366,1468,1463,2931
DAKAR,"KEUR MASSAR",YEUMBEUL,"YEUMBEUL NORD","DAROU SALAM III",123,252,899,869,1768
DAKAR,"KEUR MASSAR",YEUMBEUL,"YEUMBEUL NORD","DAROU SALAM IV",70,110,494,379,873
DAKAR,"KEUR MASSAR",YEUMBEUL,"YEUMBEUL NORD","DAROU SALAM IV B",112,202,814,739,1553
DAKAR,"KEUR MASSAR",YEUMBEUL,"YEUMBEUL NORD","DAROU SALAM IV C",285,521,2045,1987,4032
DAKAR,"KEUR MASSAR",YEUMBEUL,"YEUMBEUL NORD","DAROU SALAM IX",286,556,2022,1998,4020
DAKAR,"KEUR MASSAR",YEUMBEUL,"YEUMBEUL NORD","DAROU SALAM TER",230,396,1481,1444,2925
DAKAR,"KEUR MASSAR",YEUMBEUL,"YEUMBEUL NORD","DAROU SALAM V",140,344,1052,1035,2087
DAKAR,"KEUR MASSAR",YEUMBEUL,"YEUMBEUL NORD","DAROU SALAM V A",133,294,1048,980,2028
DAKAR,"KEUR MASSAR",YEUMBEUL,"YEUMBEUL NORD","DAROU SALAM V A BIS",125,285,986,858,1844
DAKAR,"KEUR MASSAR",YEUMBEUL,"YEUMBEUL NORD","DAROU SALAM V B",121,246,856,875,1731
DAKAR,"KEUR MASSAR",YEUMBEUL,"YEUMBEUL NORD","DAROU SALAM V C",249,462,1801,1691,3492
DAKAR,"KEUR MASSAR",YEUMBEUL,"YEUMBEUL NORD","DAROU SALAM VI D",495,918,3430,3310,6740
DAKAR,"KEUR MASSAR",YEUMBEUL,"YEUMBEUL NORD","DAROU SALAM VI DIAMALAYE",317,552,2118,1994,4112
DAKAR,"KEUR MASSAR",YEUMBEUL,"YEUMBEUL NORD","DAROU SALAM VI E",496,805,3263,3158,6421
DAKAR,"KEUR MASSAR",YEUMBEUL,"YEUMBEUL NORD","DAROU SALAM VIII",522,895,3494,3262,6756
DAKAR,"KEUR MASSAR",YEUMBEUL,"YEUMBEUL NORD",DIAMALAYE,268,432,1578,1607,3185
DAKAR,"KEUR MASSAR",YEUMBEUL,"YEUMBEUL NORD","DJIDAH MARINE",66,100,352,339,691
DAKAR,"KEUR MASSAR",YEUMBEUL,"YEUMBEUL NORD","FASS I",143,297,1160,1121,2281
DAKAR,"KEUR MASSAR",YEUMBEUL,"YEUMBEUL NORD","FASS II",73,122,485,472,957
DAKAR,"KEUR MASSAR",YEUMBEUL,"YEUMBEUL NORD",HOUDALAYE,76,123,572,510,1082
DAKAR,"KEUR MASSAR",YEUMBEUL,"YEUMBEUL NORD",KHAIRA,295,666,2478,2291,4769
DAKAR,"KEUR MASSAR",YEUMBEUL,"YEUMBEUL NORD","LEONA YEUMBEUL",175,464,1456,1338,2794
DAKAR,"KEUR MASSAR",YEUMBEUL,"YEUMBEUL NORD","MEDINA ASECNA I",226,396,1690,1639,3329
DAKAR,"KEUR MASSAR",YEUMBEUL,"YEUMBEUL NORD",NDIOLOFENE,374,637,2623,2315,4938
DAKAR,"KEUR MASSAR",YEUMBEUL,"YEUMBEUL NORD",NEMA,114,213,1016,920,1936
