Region,Departement,COM_ARRT_VILLE,COMMUNE,QUARTIER_VILLAGE_HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION
KOLDA,KOLDA,KOLDA,KOLDA,BANTANGUEL,508,726,2827,2849,5676
KOLDA,KOLDA,KOLDA,KOLDA,"BOUNA KANE",548,743,3541,3435,6976
KOLDA,KOLDA,KOLDA,KOLDA,"BEL AIR",400,428,2078,2008,4086
KOLDA,KOLDA,KOLDA,KOLDA,GADAPARA,675,926,3710,3742,7452
KOLDA,KOLDA,KOLDA,KOLDA,"SARE KEMO",945,1073,4193,4171,8364
KOLDA,KOLDA,KOLDA,KOLDA,"SARE MOUSSA",654,843,3806,3867,7673
KOLDA,KOLDA,KOLDA,KOLDA,"ZONE LYCEE",739,869,3264,3097,6361
KOLDA,KOLDA,KOLDA,KOLDA,MEDINA,1124,1244,4876,4808,9684
KOLDA,KOLDA,KOLDA,KOLDA,"SIKILO NORD",578,722,2784,2698,5482
KOLDA,KOLDA,KOLDA,KOLDA,"SIKILO CENTRE OUEST",830,1048,4389,4436,8825
KOLDA,KOLDA,KOLDA,KOLDA,HILELE,939,1171,4839,5007,9846
KOLDA,KOLDA,KOLDA,KOLDA,NDIOBENE,317,447,2027,1681,3708
KOLDA,KOLDA,KOLDA,KOLDA,"SINTHIANG IDRISSA",380,435,1961,2056,4017
KOLDA,KOLDA,KOLDA,KOLDA,"SINTHIANG TOUNTOUROU",311,406,1762,1733,3495
KOLDA,KOLDA,KOLDA,KOLDA,DOUMASSOU,1028,1458,5955,5974,11929
KOLDA,KOLDA,DIOULACOLON,DIOULACOLON,BANTANCOUTOUYEL,46,57,423,383,806
KOLDA,KOLDA,DIOULACOLON,DIOULACOLON,"BODOYEL ABDOUL",20,21,91,103,194
KOLDA,KOLDA,DIOULACOLON,DIOULACOLON,"BODOYEL TALATA",9,9,61,69,130
KOLDA,KOLDA,DIOULACOLON,DIOULACOLON,"DAIBATOU AMADOU KOSSY",6,6,71,62,133
KOLDA,KOLDA,DIOULACOLON,DIOULACOLON,"DAROU SALAM THIERNO",30,42,305,267,572
KOLDA,KOLDA,DIOULACOLON,DIOULACOLON,"DEMBEL WOURY KAMAKO",4,4,26,36,62
KOLDA,KOLDA,DIOULACOLON,DIOULACOLON,DIADOUDICOUNDA,19,50,352,371,723
KOLDA,KOLDA,DIOULACOLON,DIOULACOLON,DIALICOUNDA,19,23,110,117,227
KOLDA,KOLDA,DIOULACOLON,DIOULACOLON,DIANAH,6,6,32,38,70
KOLDA,KOLDA,DIOULACOLON,DIOULACOLON,"DIARABOUGOU (SARE NGOLA)",5,7,31,30,61
