Region,Departement,COM_ARRT_VILLE,COMMUNE,QUARTIER_VILLAGE_HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION
TAMBACOUNDA,BAKEL,BAKEL,BAKEL,"BAKEL COURA",152,232,1320,1014,2334
TAMBACOUNDA,BAKEL,BAKEL,BAKEL,"DARE SALAM",353,467,2372,1848,4220
TAMBACOUNDA,BAKEL,BAKEL,BAKEL,GRIMPALE,58,83,570,482,1052
TAMBACOUNDA,BAKEL,BAKEL,BAKEL,MODINKANE,61,86,562,551,1113
TAMBACOUNDA,BAKEL,BAKEL,BAKEL,MONTAGNE,147,230,997,911,1908
TAMBACOUNDA,BAKEL,BAKEL,BAKEL,YAGUINE,54,94,542,496,1038
TAMBACOUNDA,BAKEL,BAKEL,BAKEL,HLM,347,579,2061,1404,3465
TAMBACOUNDA,BAKEL,BAKEL,BAKEL,"NDIAYEGA 1",43,74,433,386,819
TAMBACOUNDA,BAKEL,BAKEL,BAKEL,"NDIAYEGA 2",96,146,811,831,1642
TAMBACOUNDA,BAKEL,BAKEL,BAKEL,"NDIAYEGA 3",84,136,682,666,1348
TAMBACOUNDA,BAKEL,KENIEBA,GATHIARY,"BOUNDOU DIOYE",36,42,363,238,601
TAMBACOUNDA,BAKEL,KENIEBA,GATHIARY,"BOUNTOUNG LOGHO",9,10,68,59,127
TAMBACOUNDA,BAKEL,KENIEBA,GATHIARY,"DEBOU DIAOUBE",3,3,40,14,54
TAMBACOUNDA,BAKEL,KENIEBA,GATHIARY,"DEBOU FADILA",4,4,32,13,45
TAMBACOUNDA,BAKEL,KENIEBA,GATHIARY,"DIYALA HAMADOU",7,8,143,163,306
TAMBACOUNDA,BAKEL,KENIEBA,GATHIARY,"H1 KOULDE SORY KANOUTE",1,1,15,0,15
TAMBACOUNDA,BAKEL,KENIEBA,GATHIARY,GATHIARY,44,44,598,599,1197
TAMBACOUNDA,BAKEL,KENIEBA,GATHIARY,"H1 KHOULDE",1,1,14,0,14
TAMBACOUNDA,BAKEL,KENIEBA,GATHIARY,"SABOUCIRE GATHIARY",14,14,175,216,391
TAMBACOUNDA,BAKEL,KENIEBA,GATHIARY,SANOUKHOL,10,14,165,171,336
TAMBACOUNDA,BAKEL,KENIEBA,GATHIARY,"TAKOUTALA II (HEREMAKONO)",6,6,100,65,165
TAMBACOUNDA,BAKEL,KENIEBA,GATHIARY,TAME,22,22,343,379,722
TAMBACOUNDA,BAKEL,KENIEBA,"MADINA FOULBE",DALAOULE,16,21,142,121,263
TAMBACOUNDA,BAKEL,KENIEBA,"MADINA FOULBE",DIOMBALLOU,12,32,123,146,269
TAMBACOUNDA,BAKEL,KENIEBA,"MADINA FOULBE",DIOUBEBA,4,15,68,50,118
TAMBACOUNDA,BAKEL,KENIEBA,"MADINA FOULBE","DIOUBOYE TRONGA",67,82,286,158,444
TAMBACOUNDA,BAKEL,KENIEBA,"MADINA FOULBE",KENIEBA,24,46,281,132,413
TAMBACOUNDA,BAKEL,KENIEBA,"MADINA FOULBE","KOBA SANSANGHOTO",5,27,101,90,191
TAMBACOUNDA,BAKEL,KENIEBA,"MADINA FOULBE",KOBATO,4,6,71,63,134
TAMBACOUNDA,BAKEL,KENIEBA,"MADINA FOULBE",LALI,28,56,354,382,736
TAMBACOUNDA,BAKEL,KENIEBA,"MADINA FOULBE","MADINA FOULBE",20,60,285,245,530
TAMBACOUNDA,BAKEL,KENIEBA,"MADINA FOULBE","H1 CARE",1,4,22,24,46
TAMBACOUNDA,BAKEL,KENIEBA,"MADINA FOULBE","SAMBA YAYE",26,30,143,114,257
TAMBACOUNDA,BAKEL,KENIEBA,"MADINA FOULBE",SEKONDJI,1,8,59,28,87
TAMBACOUNDA,BAKEL,KENIEBA,"MADINA FOULBE","TOMBORO MADJI",13,21,161,110,271
TAMBACOUNDA,BAKEL,KENIEBA,"MADINA FOULBE","H1 DINGUELOU",1,2,9,8,17
TAMBACOUNDA,BAKEL,KENIEBA,"MADINA FOULBE","H2 GOUREL BANY",2,3,13,14,27
TAMBACOUNDA,BAKEL,KENIEBA,SADATOU,BALLEDJI,5,11,47,23,70
TAMBACOUNDA,BAKEL,KENIEBA,SADATOU,"H1 TONKOUTOU",10,24,117,56,173
TAMBACOUNDA,BAKEL,KENIEBA,SADATOU,"H2 SENO CARE",23,43,370,301,671
TAMBACOUNDA,BAKEL,KENIEBA,SADATOU,"H3 WETHIE",14,18,81,20,101
TAMBACOUNDA,BAKEL,KENIEBA,SADATOU,DIAMBOURDALLA,20,35,178,204,382
TAMBACOUNDA,BAKEL,KENIEBA,SADATOU,"H2 BOUNTOUMDIAN 2",2,2,5,2,7
TAMBACOUNDA,BAKEL,KENIEBA,SADATOU,"H3 SINDIAN KANKOU (HI SINDIAN KONKOU)",8,9,42,40,82
TAMBACOUNDA,BAKEL,KENIEBA,SADATOU,DIYABOUGOU,618,720,2252,1419,3671
TAMBACOUNDA,BAKEL,KENIEBA,SADATOU,"DIYALLA BACARY",31,36,173,173,346
TAMBACOUNDA,BAKEL,KENIEBA,SADATOU,ELIMALO,20,21,134,108,242
TAMBACOUNDA,BAKEL,KENIEBA,SADATOU,HEREMAKONO,29,33,376,379,755
TAMBACOUNDA,BAKEL,KENIEBA,SADATOU,"H1 SAMBOUKHOU",3,4,38,36,74
TAMBACOUNDA,BAKEL,KENIEBA,SADATOU,KAOUROU,7,9,66,58,124
TAMBACOUNDA,BAKEL,KENIEBA,SADATOU,LAMINIA,43,63,436,318,754
TAMBACOUNDA,BAKEL,KENIEBA,SADATOU,MANSAKODJI,21,73,462,525,987
TAMBACOUNDA,BAKEL,KENIEBA,SADATOU,MOUSSALA,40,69,340,267,607
TAMBACOUNDA,BAKEL,KENIEBA,SADATOU,"NIENIEKO SARA",30,31,257,240,497
TAMBACOUNDA,BAKEL,KENIEBA,SADATOU,"H1 BAROKHOTO",1,1,5,10,15
TAMBACOUNDA,BAKEL,KENIEBA,SADATOU,"H2 MANSACOUNDA",1,1,2,3,5
TAMBACOUNDA,BAKEL,KENIEBA,SADATOU,"SABOU SIRE SORETTO",185,201,1117,570,1687
TAMBACOUNDA,BAKEL,KENIEBA,SADATOU,SADATOU,190,239,1865,1811,3676
TAMBACOUNDA,BAKEL,KENIEBA,SADATOU,"H1 FALALA",6,9,59,66,125
TAMBACOUNDA,BAKEL,KENIEBA,SADATOU,"H2 GOUREL MAKA",12,16,132,131,263
TAMBACOUNDA,BAKEL,KENIEBA,SADATOU,"H5 DIOUBE BA DAOUDA",2,2,17,22,39
TAMBACOUNDA,BAKEL,KENIEBA,SADATOU,"H4 SANDIANCO",5,10,59,40,99
TAMBACOUNDA,BAKEL,KENIEBA,SADATOU,SANDICOUNDA,20,43,228,201,429
TAMBACOUNDA,BAKEL,KENIEBA,SADATOU,SEKHOTO,8,9,55,46,101
TAMBACOUNDA,BAKEL,KENIEBA,SADATOU,"SINTHIOU MAKA",11,20,109,142,251
TAMBACOUNDA,BAKEL,KENIEBA,SADATOU,SONFARA,4,4,28,22,50
TAMBACOUNDA,BAKEL,KENIEBA,SADATOU,SONKONKOU,64,69,336,258,594
