Region,Departement,COM_ARRT_VILLE,COMMUNE,QUARTIER_VILLAGE_HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION
KAFFRINE,KOUNGHEUL,KOUNGHEUL,KOUNGHEUL,CAMPEMENT,99,114,585,477,1062
KAFFRINE,KOUNGHEUL,KOUNGHEUL,KOUNGHEUL,"BAMBA MODOU COURA",322,376,1498,1634,3132
KAFFRINE,KOUNGHEUL,KOUNGHEUL,KOUNGHEUL,"DIAMAGUENE I",670,868,3091,3622,6713
KAFFRINE,KOUNGHEUL,KOUNGHEUL,KOUNGHEUL,ESCALE,182,236,762,808,1570
KAFFRINE,KOUNGHEUL,KOUNGHEUL,KOUNGHEUL,"KOUNGHEUL SANTHIE",799,996,4160,4314,8474
KAFFRINE,KOUNGHEUL,KOUNGHEUL,KOUNGHEUL,"KOUNGHEUL VILLE II",186,191,908,918,1826
KAFFRINE,KOUNGHEUL,KOUNGHEUL,KOUNGHEUL,MALI,391,487,2214,2421,4635
KAFFRINE,KOUNGHEUL,KOUNGHEUL,KOUNGHEUL,"TOUBA KOUNGHEUL",61,72,366,370,736
KAFFRINE,KOUNGHEUL,KOUNGHEUL,KOUNGHEUL,"KOUNGHEUL VILLE I",238,311,1390,1611,3001
KAFFRINE,KOUNGHEUL,"IDA MOURIDE","SALY ESCALE","BAGDAD II TOBENE",3,8,28,39,67
KAFFRINE,KOUNGHEUL,"IDA MOURIDE","SALY ESCALE","DIAM DIAM KOUCOTO",16,24,162,157,319
KAFFRINE,KOUNGHEUL,"IDA MOURIDE","SALY ESCALE","DIAM DIAM SALY",21,34,158,157,315
KAFFRINE,KOUNGHEUL,"IDA MOURIDE","SALY ESCALE","FASS KATY",49,67,307,361,668
KAFFRINE,KOUNGHEUL,"IDA MOURIDE","SALY ESCALE","FASS KEUR MOMAR",25,31,205,185,390
KAFFRINE,KOUNGHEUL,"IDA MOURIDE","SALY ESCALE","FASS NIANGHENE",14,24,162,147,309
KAFFRINE,KOUNGHEUL,"IDA MOURIDE","SALY ESCALE","GAINTH SIMBING",20,21,126,141,267
KAFFRINE,KOUNGHEUL,"IDA MOURIDE","SALY ESCALE",HILIASSA,17,31,194,177,371
KAFFRINE,KOUNGHEUL,"IDA MOURIDE","SALY ESCALE","H1 NDIALAL SAMBA",1,4,10,5,15
KAFFRINE,KOUNGHEUL,"IDA MOURIDE","SALY ESCALE","H1 MAKA TOBENE",15,17,102,97,199
KAFFRINE,KOUNGHEUL,"IDA MOURIDE","SALY ESCALE","KEUR ALY LOBE (DAROU)",40,70,308,334,642
KAFFRINE,KOUNGHEUL,"IDA MOURIDE","SALY ESCALE","KEUR BARA",43,52,411,454,865
KAFFRINE,KOUNGHEUL,"IDA MOURIDE","SALY ESCALE","H1 KEUR GANNA",20,22,212,226,438
KAFFRINE,KOUNGHEUL,"IDA MOURIDE","SALY ESCALE","KEUR DIAM CODE",16,27,205,180,385
KAFFRINE,KOUNGHEUL,"IDA MOURIDE","SALY ESCALE","KEUR LAMINE",33,44,375,318,693
KAFFRINE,KOUNGHEUL,"IDA MOURIDE","SALY ESCALE","KEUR MANDOUMBE",156,218,1396,1573,2969
KAFFRINE,KOUNGHEUL,"IDA MOURIDE","SALY ESCALE","KEUR SAGAR NDIAYE",13,18,84,102,186
KAFFRINE,KOUNGHEUL,"IDA MOURIDE","SALY ESCALE","KEUR SAMBA NDIAMBANE",84,114,600,686,1286
KAFFRINE,KOUNGHEUL,"IDA MOURIDE","SALY ESCALE","KEUR SAMBA NDIAYE",16,29,166,130,296
KAFFRINE,KOUNGHEUL,"IDA MOURIDE","SALY ESCALE","KEUR YERY",22,55,339,277,616
KAFFRINE,KOUNGHEUL,"IDA MOURIDE","SALY ESCALE",KHOSNANE,97,114,562,617,1179
KAFFRINE,KOUNGHEUL,"IDA MOURIDE","SALY ESCALE","KOO SOCE",61,79,542,474,1016
KAFFRINE,KOUNGHEUL,"IDA MOURIDE","SALY ESCALE","KOUCOTO (BOUSTANE)",30,37,277,285,562
KAFFRINE,KOUNGHEUL,"IDA MOURIDE","SALY ESCALE","H1 KOUKOTO NGARA",12,26,161,106,267
KAFFRINE,KOUNGHEUL,"IDA MOURIDE","SALY ESCALE","KOUCOTO SETTE GUEYE",7,10,50,54,104
KAFFRINE,KOUNGHEUL,"IDA MOURIDE","SALY ESCALE","KOUCOTO SIMONG",29,31,221,260,481
KAFFRINE,KOUNGHEUL,"IDA MOURIDE","SALY ESCALE","KOUMBIDIA PEULH",21,30,217,163,380
KAFFRINE,KOUNGHEUL,"IDA MOURIDE","SALY ESCALE","H1 KOUMBIDIA BOUMACK",14,19,110,118,228
KAFFRINE,KOUNGHEUL,"IDA MOURIDE","SALY ESCALE","KOUMBIDIA SOCE",58,69,355,389,744
KAFFRINE,KOUNGHEUL,"IDA MOURIDE","SALY ESCALE","KOUMBIDIA YAMONG",21,37,194,194,388
KAFFRINE,KOUNGHEUL,"IDA MOURIDE","SALY ESCALE","KOUTHIA NDAWENE",11,16,90,121,211
KAFFRINE,KOUNGHEUL,"IDA MOURIDE","SALY ESCALE","MAKA GOUYE",46,55,216,289,505
KAFFRINE,KOUNGHEUL,"IDA MOURIDE","SALY ESCALE","MAKA GOUYE TOUCOULEUR",14,16,75,67,142
KAFFRINE,KOUNGHEUL,"IDA MOURIDE","SALY ESCALE","MAKA GOUYE PEULH",10,23,111,133,244
KAFFRINE,KOUNGHEUL,"IDA MOURIDE","SALY ESCALE",MAKHAMA,16,23,157,155,312
KAFFRINE,KOUNGHEUL,"IDA MOURIDE","SALY ESCALE","MBAYENE MOMATH",5,6,28,31,59
KAFFRINE,KOUNGHEUL,"IDA MOURIDE","SALY ESCALE","MBOURE SALY",7,12,69,66,135
KAFFRINE,KOUNGHEUL,"IDA MOURIDE","SALY ESCALE","MEDINA MBADIANENE",19,21,150,146,296
KAFFRINE,KOUNGHEUL,"IDA MOURIDE","SALY ESCALE","MEDINA NDIENGHENE",10,13,55,55,110
KAFFRINE,KOUNGHEUL,"IDA MOURIDE","SALY ESCALE","MEDINA SALY",14,25,148,136,284
KAFFRINE,KOUNGHEUL,"IDA MOURIDE","SALY ESCALE","MEDINA SIWOL",20,28,111,175,286
KAFFRINE,KOUNGHEUL,"IDA MOURIDE","SALY ESCALE","MINAL KEUR IBRA DIENG",20,36,210,179,389
KAFFRINE,KOUNGHEUL,"IDA MOURIDE","SALY ESCALE","MISSIRAH THIECKENE",9,17,111,107,218
KAFFRINE,KOUNGHEUL,"IDA MOURIDE","SALY ESCALE",MOUSDALIFA,17,27,163,155,318
KAFFRINE,KOUNGHEUL,"IDA MOURIDE","SALY ESCALE","H1 MEDINA THIEKENE",3,4,44,24,68
KAFFRINE,KOUNGHEUL,"IDA MOURIDE","SALY ESCALE","NDANGHA PEULH",22,40,202,145,347
KAFFRINE,KOUNGHEUL,"IDA MOURIDE","SALY ESCALE","NDIAPTO OUOLOF",21,28,161,142,303
KAFFRINE,KOUNGHEUL,"IDA MOURIDE","SALY ESCALE","NDIAPTO PEULH",21,33,238,203,441
KAFFRINE,KOUNGHEUL,"IDA MOURIDE","SALY ESCALE","NDIAPTO SALY",24,42,229,190,419
KAFFRINE,KOUNGHEUL,"IDA MOURIDE","SALY ESCALE","NDIAPTO SARA",10,12,58,48,106
KAFFRINE,KOUNGHEUL,"IDA MOURIDE","SALY ESCALE","NDIAYE COUNDA II",17,27,137,119,256
KAFFRINE,KOUNGHEUL,"IDA MOURIDE","SALY ESCALE","NDIENGUENE KEUR SOULEYE",14,29,182,205,387
KAFFRINE,KOUNGHEUL,"IDA MOURIDE","SALY ESCALE","NDJIBA KOUCOTO",17,20,147,152,299
KAFFRINE,KOUNGHEUL,"IDA MOURIDE","SALY ESCALE","NGOUYE MBANDE",21,28,170,162,332
KAFFRINE,KOUNGHEUL,"IDA MOURIDE","SALY ESCALE","NIORO THIALENE",42,50,305,226,531
KAFFRINE,KOUNGHEUL,"IDA MOURIDE","SALY ESCALE","PAKALA (PAKABOURE)",111,159,1018,1089,2107
KAFFRINE,KOUNGHEUL,"IDA MOURIDE","SALY ESCALE","H1 SANTHIE PAKALA",11,20,127,194,321
KAFFRINE,KOUNGHEUL,"IDA MOURIDE","SALY ESCALE","SALY ESCALE",27,44,191,238,429
KAFFRINE,KOUNGHEUL,"IDA MOURIDE","SALY ESCALE","SALY TORO",18,33,240,198,438
KAFFRINE,KOUNGHEUL,"IDA MOURIDE","SALY ESCALE","SAM NDIENGHENE",14,23,163,128,291
KAFFRINE,KOUNGHEUL,"IDA MOURIDE","SALY ESCALE","SANTHIE SALY",24,28,162,139,301
