Region,Departement,COM_ARRT_VILLE,COMMUNE,QUARTIER_VILLAGE_HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION
LOUGA,LINGUERE,LINGUERE,LINGUERE,ABATTOIRS,271,300,1448,1390,2838
LOUGA,LINGUERE,LINGUERE,LINGUERE,"LINGUERE COUMBA 1",218,262,1026,1109,2135
LOUGA,LINGUERE,LINGUERE,LINGUERE,"LINGUERE NDIAMBOUR",293,328,1450,1290,2740
LOUGA,LINGUERE,LINGUERE,LINGUERE,NDIAYENE,245,266,1185,1161,2346
LOUGA,LINGUERE,LINGUERE,LINGUERE,"THIELY NORD",331,382,2040,1581,3621
LOUGA,LINGUERE,LINGUERE,LINGUERE,ESCALE,113,119,474,528,1002
LOUGA,LINGUERE,LINGUERE,LINGUERE,"LINGUERE COUMBA 2",263,290,1327,1294,2621
LOUGA,LINGUERE,LINGUERE,LINGUERE,"THIELY SUD",180,209,891,997,1888
LOUGA,LINGUERE,DAHRA,DAHRA,"DAHRA  MBAYENE",810,913,4433,4010,8443
LOUGA,LINGUERE,DAHRA,DAHRA,LOUMBEUL,447,490,2566,2809,5375
LOUGA,LINGUERE,DAHRA,DAHRA,"MEDINA NDIAYE",308,372,1547,1725,3272
LOUGA,LINGUERE,DAHRA,DAHRA,"NGOM DAHRA",253,307,1544,1363,2907
LOUGA,LINGUERE,DAHRA,DAHRA,"THIENGUE DAKHAR",200,219,1137,1182,2319
LOUGA,LINGUERE,DAHRA,DAHRA,"ANGLE ISLAM",927,996,4206,3953,8159
LOUGA,LINGUERE,DAHRA,DAHRA,MONTAGNE,479,518,2196,2123,4319
LOUGA,LINGUERE,DAHRA,DAHRA,NDIOBENE,413,468,2432,2114,4546
LOUGA,LINGUERE,DAHRA,DAHRA,NGUETTE,292,328,1624,1683,3307
LOUGA,LINGUERE,DAHRA,DAHRA,NGUEUNEUNENE,248,268,1653,1230,2883
LOUGA,LINGUERE,BARKEDJI,BARKEDJI,"BARKEDJI OUOLOF",91,109,460,562,1022
LOUGA,LINGUERE,BARKEDJI,BARKEDJI,"BARKEDJI MAURE",177,233,1168,917,2085
LOUGA,LINGUERE,BARKEDJI,BARKEDJI,"BELE BISNABE",10,16,59,66,125
LOUGA,LINGUERE,BARKEDJI,BARKEDJI,"BELEL THIABOULY",10,13,45,49,94
LOUGA,LINGUERE,BARKEDJI,BARKEDJI,"H1 BELEL BARKEDJI",10,10,44,37,81
LOUGA,LINGUERE,BARKEDJI,BARKEDJI,"BELY BODO",5,6,20,21,41
LOUGA,LINGUERE,BARKEDJI,BARKEDJI,"BOKI BOFFI 2",23,27,123,102,225
LOUGA,LINGUERE,BARKEDJI,BARKEDJI,BOUBACK,27,41,177,166,343
LOUGA,LINGUERE,BARKEDJI,BARKEDJI,"DAROU NAHIM",12,31,155,173,328
LOUGA,LINGUERE,BARKEDJI,BARKEDJI,"H1 BELEL LALAGAL",6,12,60,59,119
LOUGA,LINGUERE,BARKEDJI,BARKEDJI,"DEBODIOLA 2",5,5,24,25,49
LOUGA,LINGUERE,BARKEDJI,BARKEDJI,"DEYBA AMADOU",16,18,66,115,181
LOUGA,LINGUERE,BARKEDJI,BARKEDJI,DIABAL,7,8,50,41,91
LOUGA,LINGUERE,BARKEDJI,BARKEDJI,"DIAGALY NDIAO",29,47,164,171,335
LOUGA,LINGUERE,BARKEDJI,BARKEDJI,"DIALLA 1",6,11,50,46,96
LOUGA,LINGUERE,BARKEDJI,BARKEDJI,"DIALY LATHIE",14,14,63,63,126
LOUGA,LINGUERE,BARKEDJI,BARKEDJI,"DJIBANANE ARDO",8,10,30,41,71
LOUGA,LINGUERE,BARKEDJI,BARKEDJI,"DJIBANANE EL HADJI",31,58,293,119,412
LOUGA,LINGUERE,BARKEDJI,BARKEDJI,"DJIMBANAME AMADY AMATH",14,26,131,53,184
LOUGA,LINGUERE,BARKEDJI,BARKEDJI,"DIOUMANAME THIASKY II",18,26,119,90,209
LOUGA,LINGUERE,BARKEDJI,BARKEDJI,"DIAGALY OUOLOFF",64,77,337,349,686
LOUGA,LINGUERE,BARKEDJI,BARKEDJI,"H1 MBOWENE",22,32,135,129,264
LOUGA,LINGUERE,BARKEDJI,BARKEDJI,"FOUTHITY 1",18,38,121,131,252
LOUGA,LINGUERE,BARKEDJI,BARKEDJI,"GASSEL OUROURBEH",21,38,144,156,300
LOUGA,LINGUERE,BARKEDJI,BARKEDJI,"GASSEL PEULH",12,26,82,90,172
LOUGA,LINGUERE,BARKEDJI,BARKEDJI,"GASSET I WOLOF",39,58,194,241,435
LOUGA,LINGUERE,BARKEDJI,BARKEDJI,"KANIAR OUROUBE",5,6,28,21,49
LOUGA,LINGUERE,BARKEDJI,BARKEDJI,KANGALEDJI,21,31,92,91,183
LOUGA,LINGUERE,BARKEDJI,BARKEDJI,"LOUMBEL LANA",27,63,214,203,417
LOUGA,LINGUERE,BARKEDJI,BARKEDJI,"LOUMBEL MBADA",10,18,71,81,152
LOUGA,LINGUERE,BARKEDJI,BARKEDJI,"LOUMBEL MBADA II",9,11,46,37,83
LOUGA,LINGUERE,BARKEDJI,BARKEDJI,"LOUMBY DEMBA NGAR",4,5,25,32,57
LOUGA,LINGUERE,BARKEDJI,BARKEDJI,"LOUMBY DOBE I",27,49,211,214,425
LOUGA,LINGUERE,BARKEDJI,BARKEDJI,"LOUMBY KOYLE",18,25,101,105,206
LOUGA,LINGUERE,BARKEDJI,BARKEDJI,"LOUMBY OUROURBE",14,19,96,101,197
LOUGA,LINGUERE,BARKEDJI,BARKEDJI,"MOGRE 2",20,29,159,164,323
LOUGA,LINGUERE,BARKEDJI,BARKEDJI,"MAYELLE GAGNOULENE",15,21,73,82,155
LOUGA,LINGUERE,BARKEDJI,BARKEDJI,"MBELCADJI 2",14,22,105,82,187
LOUGA,LINGUERE,BARKEDJI,BARKEDJI,"NDILLA ECOLE (NDILLA I)",4,6,24,23,47
LOUGA,LINGUERE,BARKEDJI,BARKEDJI,"NDILLA PEULH 1",16,22,97,92,189
LOUGA,LINGUERE,BARKEDJI,BARKEDJI,"NDILLA PEULH 3",20,41,192,213,405
LOUGA,LINGUERE,BARKEDJI,BARKEDJI,NECCO,6,14,53,52,105
LOUGA,LINGUERE,BARKEDJI,BARKEDJI,"NGAO GAGNOULENE 2",2,3,14,6,20
LOUGA,LINGUERE,BARKEDJI,BARKEDJI,"NGAO KANIAR",6,11,45,36,81
LOUGA,LINGUERE,BARKEDJI,BARKEDJI,"NIAKHA PEULH 1",13,33,110,111,221
LOUGA,LINGUERE,BARKEDJI,BARKEDJI,"NIAKHA PEULH 2",6,8,38,46,84
LOUGA,LINGUERE,BARKEDJI,BARKEDJI,"PATHE BOROU",20,25,87,71,158
LOUGA,LINGUERE,BARKEDJI,BARKEDJI,"SAMALY GAGNOULENE",21,28,97,105,202
LOUGA,LINGUERE,BARKEDJI,BARKEDJI,"H2 MAMAROU",4,9,26,19,45
LOUGA,LINGUERE,BARKEDJI,BARKEDJI,"H3 BELEL FOURE",3,6,20,12,32
LOUGA,LINGUERE,BARKEDJI,BARKEDJI,"SAMALY IDYNABE",23,33,111,134,245
LOUGA,LINGUERE,BARKEDJI,BARKEDJI,"SAMALY LATHIE",24,46,168,173,341
