Region,Departement,COM_ARRT_VILLE,COMMUNE,QUARTIER_VILLAGE_HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION
LOUGA,LOUGA,LOUGA,LOUGA,"ARTILLERIE NORD",863,922,4708,4631,9339
LOUGA,LOUGA,LOUGA,LOUGA,"ARTILLERIE SUD",472,570,2649,2830,5479
LOUGA,LOUGA,LOUGA,LOUGA,"KEUR SERIGNE LOUGA EST",1739,1960,9093,8411,17504
LOUGA,LOUGA,LOUGA,LOUGA,"KEUR SERIGNE LOUGA NORD",379,525,2227,2520,4747
LOUGA,LOUGA,LOUGA,LOUGA,"KEUR SERIGNE LOUGA SUD",1589,1743,8485,8814,17299
LOUGA,LOUGA,LOUGA,LOUGA,"MONTAGNE NORD",1411,1587,7204,6744,13948
LOUGA,LOUGA,LOUGA,LOUGA,"MONTAGNE SUD",604,792,3023,3033,6056
LOUGA,LOUGA,LOUGA,LOUGA,"SANTHIABA CENTRE",1305,1461,5091,5863,10954
LOUGA,LOUGA,LOUGA,LOUGA,"SANTHIABA NORD",1615,1688,7281,6936,14217
LOUGA,LOUGA,LOUGA,LOUGA,"SANTHIABA SUD",959,1153,4566,5431,9997
LOUGA,LOUGA,LOUGA,LOUGA,THIOKHNA,369,530,2155,1670,3825
LOUGA,LOUGA,COKI,COKI,"BAL NGUER",7,7,44,34,78
LOUGA,LOUGA,COKI,COKI,"BELEL OUOLOF",54,84,556,477,1033
LOUGA,LOUGA,COKI,COKI,"H1 HOUDANE",1,3,126,40,166
LOUGA,LOUGA,COKI,COKI,"BELEL PEULH",29,42,125,120,245
LOUGA,LOUGA,COKI,COKI,"BOFFEL ALASSANE",35,43,295,301,596
LOUGA,LOUGA,COKI,COKI,"H1 GADGA",6,8,48,47,95
LOUGA,LOUGA,COKI,COKI,"BOFFEL MANDIAYE",6,6,23,23,46
LOUGA,LOUGA,COKI,COKI,BRAYLENE,11,17,74,70,144
LOUGA,LOUGA,COKI,COKI,COKI,656,757,7043,4056,11099
LOUGA,LOUGA,COKI,COKI,"COKI HEDE",16,17,83,96,179
LOUGA,LOUGA,COKI,COKI,DADIALO,39,59,132,210,342
LOUGA,LOUGA,COKI,COKI,"H1 DEBOLATE PEUL",11,18,70,79,149
LOUGA,LOUGA,COKI,COKI,"DAROU RAHMANE",2,2,12,7,19
LOUGA,LOUGA,COKI,COKI,DEBOLATE,12,12,54,50,104
LOUGA,LOUGA,COKI,COKI,"DIADIORDE I",46,48,336,242,578
LOUGA,LOUGA,COKI,COKI,"DIADIORDE II",22,22,155,134,289
LOUGA,LOUGA,COKI,COKI,FADAM,18,47,231,214,445
LOUGA,LOUGA,COKI,COKI,"H1 DORYGA",19,22,65,69,134
LOUGA,LOUGA,COKI,COKI,"H2 POUTHIO MADJI PEULH (KEUR DINGUERE)",8,10,77,33,110
LOUGA,LOUGA,COKI,COKI,HEDE,26,30,120,133,253
LOUGA,LOUGA,COKI,COKI,"KANENE HALL",15,18,122,134,256
LOUGA,LOUGA,COKI,COKI,"KANENE KHAR (TOUBA KANENE)",20,25,163,135,298
LOUGA,LOUGA,COKI,COKI,"KEBE SYLLA",6,10,68,51,119
LOUGA,LOUGA,COKI,COKI,"KEUR MASSAL 1 (NDIOBENE)",10,18,95,88,183
LOUGA,LOUGA,COKI,COKI,"KEUR MASSAL 2 (SANTHIE)",5,11,42,39,81
LOUGA,LOUGA,COKI,COKI,"H2 ADIENNE",3,6,29,21,50
LOUGA,LOUGA,COKI,COKI,"KEUR NGOURA",42,46,330,354,684
LOUGA,LOUGA,COKI,COKI,"KEUR SALA",30,36,198,175,373
LOUGA,LOUGA,COKI,COKI,LOUMENE,18,23,80,103,183
LOUGA,LOUGA,COKI,COKI,"MBACKE NDIOCK",3,3,14,23,37
LOUGA,LOUGA,COKI,COKI,"NDALLA AWEME",19,31,165,131,296
LOUGA,LOUGA,COKI,COKI,"NDALLA MBOUBENE",43,55,340,298,638
LOUGA,LOUGA,COKI,COKI,NDIAKHAR,46,67,426,385,811
LOUGA,LOUGA,COKI,COKI,"NDIARE WAKHY",49,76,359,412,771
LOUGA,LOUGA,COKI,COKI,"H1 KEUR DIABEL",4,14,46,40,86
LOUGA,LOUGA,COKI,COKI,"NDIAYENE BALLA",5,5,29,35,64
LOUGA,LOUGA,COKI,COKI,NDIEURE,6,7,38,33,71
LOUGA,LOUGA,COKI,COKI,"NDIOBENE BELAL",35,51,271,335,606
