Region,Departement,COM_ARRT_VILLE,COMMUNE,QUARTIER_VILLAGE_HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION
KAFFRINE,"MALEM HODDAR","MALEM HODDAR","MALEM HODDAR",ESCALE,125,151,815,847,1662
KAFFRINE,"MALEM HODDAR","MALEM HODDAR","MALEM HODDAR","GUINAW RAIL",176,215,1001,972,1973
KAFFRINE,"MALEM HODDAR","MALEM HODDAR","MALEM HODDAR",IMINDINE,34,48,288,408,696
KAFFRINE,"MALEM HODDAR","MALEM HODDAR","MALEM HODDAR",MBADIANENE,150,170,856,919,1775
KAFFRINE,"MALEM HODDAR","MALEM HODDAR","MALEM HODDAR",TAIBA,109,119,905,955,1860
KAFFRINE,"MALEM HODDAR","MALEM HODDAR","MALEM HODDAR","TAWA KEUR EL HADJI",175,187,1390,1342,2732
KAFFRINE,"MALEM HODDAR","MALEM HODDAR","MALEM HODDAR","TAWA MOSQUEE",86,103,792,698,1490
KAFFRINE,"MALEM HODDAR","DAROU MINAM 2","DAROU MINAM","BOGNEDIE (SAM FATIM)",14,19,87,84,171
KAFFRINE,"MALEM HODDAR","DAROU MINAM 2","DAROU MINAM","DAROU DIENE (DARA MAME MOR DIOP)",28,37,214,173,387
KAFFRINE,"MALEM HODDAR","DAROU MINAM 2","DAROU MINAM","H1 DAROU KARIM",7,7,41,54,95
KAFFRINE,"MALEM HODDAR","DAROU MINAM 2","DAROU MINAM","DAROU DIOP (DAROU GUEYE)",30,34,271,235,506
KAFFRINE,"MALEM HODDAR","DAROU MINAM 2","DAROU MINAM","DAROU MINAM II",106,119,671,690,1361
KAFFRINE,"MALEM HODDAR","DAROU MINAM 2","DAROU MINAM","H2 DAROU SALAM",36,37,205,172,377
KAFFRINE,"MALEM HODDAR","DAROU MINAM 2","DAROU MINAM","H4 SIADA",8,13,60,43,103
KAFFRINE,"MALEM HODDAR","DAROU MINAM 2","DAROU MINAM","H5 MINATOU AKHLA",2,2,35,12,47
KAFFRINE,"MALEM HODDAR","DAROU MINAM 2","DAROU MINAM","H6 KEUR MBAYE NGOM",6,6,42,33,75
KAFFRINE,"MALEM HODDAR","DAROU MINAM 2","DAROU MINAM",DEPE,33,58,426,397,823
KAFFRINE,"MALEM HODDAR","DAROU MINAM 2","DAROU MINAM","H1 NDIGALEME",7,8,46,31,77
KAFFRINE,"MALEM HODDAR","DAROU MINAM 2","DAROU MINAM","DIAGA KEUR SERIGNE NIANG",86,107,640,592,1232
KAFFRINE,"MALEM HODDAR","DAROU MINAM 2","DAROU MINAM","H3 TENNALT",3,4,40,40,80
KAFFRINE,"MALEM HODDAR","DAROU MINAM 2","DAROU MINAM","FASS SENENE",11,18,108,108,216
KAFFRINE,"MALEM HODDAR","DAROU MINAM 2","DAROU MINAM","KEUR IBRA DIACK (NDIAGUENE)",10,19,153,100,253
KAFFRINE,"MALEM HODDAR","DAROU MINAM 2","DAROU MINAM","KHAIRA II (KHAIRA DIAGA)",129,148,861,881,1742
KAFFRINE,"MALEM HODDAR","DAROU MINAM 2","DAROU MINAM","KHELCOM DIAGA (KEUR DAYE KA)",29,35,243,236,479
KAFFRINE,"MALEM HODDAR","DAROU MINAM 2","DAROU MINAM","H1 KEUR NDIAPE NDIAYE",10,14,116,83,199
KAFFRINE,"MALEM HODDAR","DAROU MINAM 2","DAROU MINAM",LOUGUENE,24,26,202,136,338
KAFFRINE,"MALEM HODDAR","DAROU MINAM 2","DAROU MINAM","LOUGUENE DAARA",6,6,38,0,38
KAFFRINE,"MALEM HODDAR","DAROU MINAM 2","DAROU MINAM","MBABANE GOUYARD",23,29,134,117,251
KAFFRINE,"MALEM HODDAR","DAROU MINAM 2","DAROU MINAM","H1 THIERERGA",35,57,349,290,639
KAFFRINE,"MALEM HODDAR","DAROU MINAM 2","DAROU MINAM","MBABANE MOURIDE",103,118,929,679,1608
KAFFRINE,"MALEM HODDAR","DAROU MINAM 2","DAROU MINAM","MEDINA DIAMAGUENE (WILLANENE)",8,10,65,58,123
KAFFRINE,"MALEM HODDAR","DAROU MINAM 2","DAROU MINAM","MEDINA FALL",70,72,485,347,832
KAFFRINE,"MALEM HODDAR","DAROU MINAM 2","DAROU MINAM","H3 KEUR CHEIKH GUEYE",6,7,62,43,105
KAFFRINE,"MALEM HODDAR","DAROU MINAM 2","DAROU MINAM","H4 DARADIA (PALLENE)",5,5,66,0,66
KAFFRINE,"MALEM HODDAR","DAROU MINAM 2","DAROU MINAM","H5 NDIOUFENE (MEDINA SERERE)",14,21,157,140,297
KAFFRINE,"MALEM HODDAR","DAROU MINAM 2","DAROU MINAM","H6 DAROU FALL (WENDOU)",58,91,614,526,1140
KAFFRINE,"MALEM HODDAR","DAROU MINAM 2","DAROU MINAM","H7 KEUR THIONE NDIAYE",1,1,2,0,2
KAFFRINE,"MALEM HODDAR","DAROU MINAM 2","DAROU MINAM","MEDINA MBAYENE",31,34,203,155,358
KAFFRINE,"MALEM HODDAR","DAROU MINAM 2","DAROU MINAM","MISSIRAH HODIOLDE",45,54,636,308,944
KAFFRINE,"MALEM HODDAR","DAROU MINAM 2","DAROU MINAM","H1 DAROU HODIOLDE",22,33,271,248,519
