Region,Departement,COM_ARRT_VILLE,COMMUNE,QUARTIER_VILLAGE_HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION
MATAM,MATAM,MATAM,MATAM,DIAMEL,227,303,2092,1842,3934
MATAM,MATAM,MATAM,MATAM,GANDE,447,653,3838,3033,6871
MATAM,MATAM,MATAM,MATAM,"GOUREL SERIGNE",557,796,3494,2685,6179
MATAM,MATAM,MATAM,MATAM,NAWEL,188,283,1666,1512,3178
MATAM,MATAM,MATAM,MATAM,TANTADJI,262,449,2265,1554,3819
MATAM,MATAM,MATAM,MATAM,THIAYDE,142,273,2182,1532,3714
MATAM,MATAM,OUROSSOGUI,OUROSSOGUI,"AINOUMADY I",70,118,651,556,1207
MATAM,MATAM,OUROSSOGUI,OUROSSOGUI,"AINOUMADY II",131,205,1559,1104,2663
MATAM,MATAM,OUROSSOGUI,OUROSSOGUI,"MANGO I",92,143,824,669,1493
MATAM,MATAM,OUROSSOGUI,OUROSSOGUI,"MANGO II (DAROU SALAM)",87,153,951,686,1637
MATAM,MATAM,OUROSSOGUI,OUROSSOGUI,"MANGO III",174,239,1461,1029,2490
MATAM,MATAM,OUROSSOGUI,OUROSSOGUI,"MODERNE I",203,372,1408,1042,2450
MATAM,MATAM,OUROSSOGUI,OUROSSOGUI,"MODERNE II",218,415,1723,1046,2769
MATAM,MATAM,OUROSSOGUI,OUROSSOGUI,"MODERNE III",693,950,4796,3369,8165
MATAM,MATAM,OUROSSOGUI,OUROSSOGUI,"WINDE I",174,314,1839,1311,3150
MATAM,MATAM,OUROSSOGUI,OUROSSOGUI,"WINDE II",54,115,618,580,1198
MATAM,MATAM,"AGNAM CIVOL","AGNAM CIVOL","AGNAM BALNABE",37,45,194,230,424
MATAM,MATAM,"AGNAM CIVOL","AGNAM CIVOL","AGNAM CIVOL",296,406,2525,2041,4566
MATAM,MATAM,"AGNAM CIVOL","AGNAM CIVOL","H1 EDIT",12,20,104,94,198
MATAM,MATAM,"AGNAM CIVOL","AGNAM CIVOL","AGNAM GODO",159,211,1169,1101,2270
MATAM,MATAM,"AGNAM CIVOL","AGNAM CIVOL","AGNAM GOLY",302,419,2715,2616,5331
MATAM,MATAM,"AGNAM CIVOL","AGNAM CIVOL","AGNAM LIDOUBE",111,132,597,653,1250
MATAM,MATAM,"AGNAM CIVOL","AGNAM CIVOL","AGNAM THIODAYE",384,547,3069,2740,5809
