Region,Departement,COM_ARRT_VILLE,COMMUNE,QUARTIER_VILLAGE_HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION
DIOURBEL,BAMBEY,BAMBEY,BAMBEY,"LEONA NORD",240,281,1230,1469,2699
DIOURBEL,BAMBEY,BAMBEY,BAMBEY,"LEONA SUD",442,554,2190,2522,4712
DIOURBEL,BAMBEY,BAMBEY,BAMBEY,"DVF CENTRE",523,790,2763,2978,5741
DIOURBEL,BAMBEY,BAMBEY,BAMBEY,"DVF EST",365,533,1952,2209,4161
DIOURBEL,BAMBEY,BAMBEY,BAMBEY,"DVF OUEST",479,721,2772,2892,5664
DIOURBEL,BAMBEY,BAMBEY,BAMBEY,ESCALE,86,151,553,353,906
DIOURBEL,BAMBEY,BAMBEY,BAMBEY,"KAYENNE KEUR MASSE",255,307,1506,1738,3244
DIOURBEL,BAMBEY,BAMBEY,BAMBEY,"KEUR SAKOURA BADIANE",333,401,1780,1943,3723
DIOURBEL,BAMBEY,BAMBEY,BAMBEY,"WAKHALDIAM NORD",313,364,1611,1749,3360
DIOURBEL,BAMBEY,BAMBEY,BAMBEY,"WAKHALDIAM SUD",316,405,1435,1729,3164
DIOURBEL,BAMBEY,"BABA GARAGE","BABA GARAGE","BABA GARAGE",147,215,856,907,1763
DIOURBEL,BAMBEY,"BABA GARAGE","BABA GARAGE","BAITY KANE",14,18,135,117,252
DIOURBEL,BAMBEY,"BABA GARAGE","BABA GARAGE","DAROU BAKHOUM",37,57,248,273,521
DIOURBEL,BAMBEY,"BABA GARAGE","BABA GARAGE","DAROU DIOP 1",5,7,28,32,60
DIOURBEL,BAMBEY,"BABA GARAGE","BABA GARAGE","DAROU NGUER",11,18,143,156,299
DIOURBEL,BAMBEY,"BABA GARAGE","BABA GARAGE","H1 KEUR NDIARNDE",6,6,45,28,73
DIOURBEL,BAMBEY,"BABA GARAGE","BABA GARAGE",GNICK,6,9,57,53,110
DIOURBEL,BAMBEY,"BABA GARAGE","BABA GARAGE","H1 PALENE",8,8,54,24,78
DIOURBEL,BAMBEY,"BABA GARAGE","BABA GARAGE",KADE,13,17,115,93,208
