Region,Departement,COM_ARRT_VILLE,COMMUNE,QUARTIER_VILLAGE_HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION
THIES,M’BOUR,"JOAL FADHIOUTH","JOAL FADHIOUTH","AFDAYE DIAMAGUENE",151,206,715,682,1397
THIES,M’BOUR,"JOAL FADHIOUTH","JOAL FADHIOUTH",CARITAS,1178,1428,5478,4961,10439
THIES,M’BOUR,"JOAL FADHIOUTH","JOAL FADHIOUTH","CITE LYCEE",596,827,3442,2813,6255
THIES,M’BOUR,"JOAL FADHIOUTH","JOAL FADHIOUTH","DAROU SALAM 1",296,326,1640,1488,3128
THIES,M’BOUR,"JOAL FADHIOUTH","JOAL FADHIOUTH","DAROU SALAM 2",226,255,1072,1052,2124
THIES,M’BOUR,"JOAL FADHIOUTH","JOAL FADHIOUTH",DIONG,174,270,999,890,1889
THIES,M’BOUR,"JOAL FADHIOUTH","JOAL FADHIOUTH","FADIOUTH (DIOUME)",143,305,501,617,1118
THIES,M’BOUR,"JOAL FADHIOUTH","JOAL FADHIOUTH",HAMDALLAH,724,806,3393,3249,6642
THIES,M’BOUR,"JOAL FADHIOUTH","JOAL FADHIOUTH","MBOUR DIOUKHAM",251,383,1583,1378,2961
THIES,M’BOUR,"JOAL FADHIOUTH","JOAL FADHIOUTH","NDIONGUENE (FADIOUTH)",49,121,233,247,480
THIES,M’BOUR,"JOAL FADHIOUTH","JOAL FADHIOUTH",NDOUBAB,194,310,968,961,1929
THIES,M’BOUR,"JOAL FADHIOUTH","JOAL FADHIOUTH",NGAZOBIL,29,50,216,104,320
THIES,M’BOUR,"JOAL FADHIOUTH","JOAL FADHIOUTH","SANTHIE 2 (IBOU FAYE)",705,1045,4645,3944,8589
THIES,M’BOUR,"JOAL FADHIOUTH","JOAL FADHIOUTH","SANTHIE 3 (GARE ROUTIERE)",550,972,3884,3078,6962
THIES,M’BOUR,"JOAL FADHIOUTH","JOAL FADHIOUTH","OCEAN 1 ET 2",9,19,48,57,105
THIES,M’BOUR,"JOAL FADHIOUTH","JOAL FADHIOUTH",SANTHIE,496,874,3728,3516,7244
THIES,M’BOUR,MBOUR,MBOUR,"11 NOVEMBRE",604,1117,4029,3916,7945
