Region,Departement,COM_ARRT_VILLE,COMMUNE,QUARTIER_VILLAGE_HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION
KOLDA,"MEDINA YORO FOULAH","MEDINA YORO FOULAH","MEDINA YORO FOULAH","BOUNDOU MBALLO",73,85,324,342,666
KOLDA,"MEDINA YORO FOULAH","MEDINA YORO FOULAH","MEDINA YORO FOULAH",KIKALA,82,90,350,342,692
KOLDA,"MEDINA YORO FOULAH","MEDINA YORO FOULAH","MEDINA YORO FOULAH","LALY DEME",148,161,663,564,1227
KOLDA,"MEDINA YORO FOULAH","MEDINA YORO FOULAH","MEDINA YORO FOULAH","MEDINA NDIAYENE",38,44,189,174,363
KOLDA,"MEDINA YORO FOULAH","MEDINA YORO FOULAH","MEDINA YORO FOULAH",NEMATABA,10,14,77,75,152
KOLDA,"MEDINA YORO FOULAH","MEDINA YORO FOULAH","MEDINA YORO FOULAH",SANTHIABA,107,124,460,365,825
KOLDA,"MEDINA YORO FOULAH","MEDINA YORO FOULAH","MEDINA YORO FOULAH","SARE DEMBA DIEWO",11,17,98,98,196
KOLDA,"MEDINA YORO FOULAH","MEDINA YORO FOULAH","MEDINA YORO FOULAH","SARE YORO DOUBE",54,56,274,225,499
KOLDA,"MEDINA YORO FOULAH","MEDINA YORO FOULAH","MEDINA YORO FOULAH","SINTHIANG DAOUDA SARR",11,12,66,54,120
KOLDA,"MEDINA YORO FOULAH","MEDINA YORO FOULAH","MEDINA YORO FOULAH","SINTHIANG HADJI DIALLO (SINTHIANG DIAOUBE)",10,10,73,63,136
KOLDA,"MEDINA YORO FOULAH","MEDINA YORO FOULAH","MEDINA YORO FOULAH","SINTHIANG KOUNA",4,5,33,27,60
KOLDA,"MEDINA YORO FOULAH",FAFACOUROU,FAFACOUROU,"ARTOULAYE DANFACOUNDA (ARTOULAYE WASSIATOU)",6,7,66,51,117
KOLDA,"MEDINA YORO FOULAH",FAFACOUROU,FAFACOUROU,"BAMBADINKA (SARE SALOUM)",22,25,232,159,391
KOLDA,"MEDINA YORO FOULAH",FAFACOUROU,FAFACOUROU,"BANTA (SINTHIANG WANDOU)",7,9,64,63,127
KOLDA,"MEDINA YORO FOULAH",FAFACOUROU,FAFACOUROU,BODOYEL,12,17,83,84,167
KOLDA,"MEDINA YORO FOULAH",FAFACOUROU,FAFACOUROU,DIBAMANG,13,14,123,138,261
KOLDA,"MEDINA YORO FOULAH",FAFACOUROU,FAFACOUROU,FAFACOUROU,97,101,545,556,1101
KOLDA,"MEDINA YORO FOULAH",FAFACOUROU,FAFACOUROU,"H1 SARE YEROYEL",5,5,31,26,57
KOLDA,"MEDINA YORO FOULAH",FAFACOUROU,FAFACOUROU,"KONADJI SINTHIANG",17,24,192,167,359
KOLDA,"MEDINA YORO FOULAH",FAFACOUROU,FAFACOUROU,"KOROP MAOUNDE (KOROP)",10,16,165,116,281
KOLDA,"MEDINA YORO FOULAH",FAFACOUROU,FAFACOUROU,"LINGUEYEL SADA",2,5,22,32,54
