Region,Departement,COM_ARRT_VILLE,COMMUNE,QUARTIER_VILLAGE_HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION
ZIGUINCHOR,OUSSOUYE,OUSSOUYE,OUSSOUYE,KALOBONE,150,180,445,524,969
ZIGUINCHOR,OUSSOUYE,OUSSOUYE,OUSSOUYE,ESSINKINE,126,187,419,427,846
ZIGUINCHOR,OUSSOUYE,OUSSOUYE,OUSSOUYE,ETHIA,91,156,362,347,709
ZIGUINCHOR,OUSSOUYE,OUSSOUYE,OUSSOUYE,"SARE DEMBA",86,114,394,361,755
ZIGUINCHOR,OUSSOUYE,OUSSOUYE,OUSSOUYE,SOULEUK,108,196,433,347,780
ZIGUINCHOR,OUSSOUYE,OUSSOUYE,OUSSOUYE,BUWENTENE,225,362,854,792,1646
ZIGUINCHOR,OUSSOUYE,CABROUSSE,DIEMBERING,"BOUCOTTE DIOLA ETAMBOUDIAL",101,182,484,426,910
ZIGUINCHOR,OUSSOUYE,CABROUSSE,DIEMBERING,"BOUCOTTE OUOLOFF",388,737,2121,1756,3877
ZIGUINCHOR,OUSSOUYE,CABROUSSE,DIEMBERING,BOUYOUYE,38,44,170,126,296
ZIGUINCHOR,OUSSOUYE,CABROUSSE,DIEMBERING,"CABROUSSE KADIAKAYE",98,202,552,575,1127
ZIGUINCHOR,OUSSOUYE,CABROUSSE,DIEMBERING,"CABROUSSE MOSSOR",242,496,1113,1168,2281
ZIGUINCHOR,OUSSOUYE,CABROUSSE,DIEMBERING,"CABROUSSE NIALOU",237,303,806,686,1492
ZIGUINCHOR,OUSSOUYE,CABROUSSE,DIEMBERING,CACHOUANE,42,44,110,92,202
ZIGUINCHOR,OUSSOUYE,CABROUSSE,DIEMBERING,"CAP SKIRING",969,2718,5987,5055,11042
ZIGUINCHOR,OUSSOUYE,CABROUSSE,DIEMBERING,"H1 KAYOUTE (BASSINE)",4,4,3,1,4
ZIGUINCHOR,OUSSOUYE,CABROUSSE,DIEMBERING,"H2 KATACALOUSSE",1,1,2,2,4
ZIGUINCHOR,OUSSOUYE,CABROUSSE,DIEMBERING,"H3 RANDOULENE",139,182,269,213,482
