Region,Departement,COM_ARRT_VILLE,COMMUNE,QUARTIER_VILLAGE_HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION
DAKAR,PIKINE,"VILLE DE PIKINE","PIKINE OUEST","CITE ICOTAF (ZONE INDUSTRIELLE)",107,251,762,783,1545
DAKAR,PIKINE,"VILLE DE PIKINE","PIKINE OUEST","CITE LOBATT FALL",90,116,332,356,688
DAKAR,PIKINE,"VILLE DE PIKINE","PIKINE OUEST","CITE SOTIBA",108,264,843,840,1683
DAKAR,PIKINE,"VILLE DE PIKINE","PIKINE OUEST","COLOBANE NIANGHOR",128,271,954,921,1875
DAKAR,PIKINE,"VILLE DE PIKINE","PIKINE OUEST","CREDIT FONCIER",245,534,1711,1761,3472
DAKAR,PIKINE,"VILLE DE PIKINE","PIKINE OUEST","DAROU NIANGHOR",203,525,1593,1461,3054
DAKAR,PIKINE,"VILLE DE PIKINE","PIKINE OUEST","DAROU SALAM I",61,159,505,508,1013
DAKAR,PIKINE,"VILLE DE PIKINE","PIKINE OUEST","DAROU SALAM II",196,606,1840,1771,3611
DAKAR,PIKINE,"VILLE DE PIKINE","PIKINE OUEST","DAROU SALAM III",169,477,1488,1285,2773
DAKAR,PIKINE,"VILLE DE PIKINE","PIKINE OUEST","DIAMAGUENE II",70,185,604,532,1136
DAKAR,PIKINE,"VILLE DE PIKINE","PIKINE OUEST","GAZELLE EST",175,513,1426,1543,2969
DAKAR,PIKINE,"VILLE DE PIKINE","PIKINE OUEST","GAZELLE OUEST",231,676,2133,2108,4241
DAKAR,PIKINE,"VILLE DE PIKINE","PIKINE OUEST","ICOTAF I",209,459,1417,1314,2731
DAKAR,PIKINE,"VILLE DE PIKINE","PIKINE OUEST","ICOTAF II",244,485,1695,1736,3431
DAKAR,PIKINE,"VILLE DE PIKINE","PIKINE OUEST","MAKA COLOBANE DIAMAGUENE",103,317,1032,922,1954
