Region,Departement,COM_ARRT_VILLE,COMMUNE,QUARTIER_VILLAGE_HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION
SAINT-LOUIS,PODOR,PODOR,PODOR,"BIR PODOR",114,131,617,547,1164
SAINT-LOUIS,PODOR,PODOR,PODOR,"LAO DEMBA",279,419,1631,1524,3155
SAINT-LOUIS,PODOR,PODOR,PODOR,MBODIENE,169,222,797,807,1604
SAINT-LOUIS,PODOR,PODOR,PODOR,SINTHIANE,364,439,1833,1633,3466
SAINT-LOUIS,PODOR,PODOR,PODOR,SOUIMA,122,132,670,688,1358
SAINT-LOUIS,PODOR,PODOR,PODOR,THIOFFY,176,201,818,947,1765
SAINT-LOUIS,PODOR,NDIOUM,NDIOUM,"DAROU SALAM",139,191,1191,955,2146
SAINT-LOUIS,PODOR,NDIOUM,NDIOUM,DIEDHIOUBA,196,213,935,913,1848
SAINT-LOUIS,PODOR,NDIOUM,NDIOUM,"MEDINA NIANGA",122,141,668,572,1240
SAINT-LOUIS,PODOR,NDIOUM,NDIOUM,"NDIOUM DIERY",82,106,606,561,1167
SAINT-LOUIS,PODOR,NDIOUM,NDIOUM,"NDIOUM WALO",139,180,979,1010,1989
SAINT-LOUIS,PODOR,NDIOUM,NDIOUM,"OULAD BERY",294,351,1910,1700,3610
SAINT-LOUIS,PODOR,NDIOUM,NDIOUM,YAKAR,256,307,1589,1197,2786
SAINT-LOUIS,PODOR,NDIOUM,NDIOUM,BASE,125,170,877,804,1681
SAINT-LOUIS,PODOR,NDIOUM,NDIOUM,DIAMEL,122,149,857,762,1619
SAINT-LOUIS,PODOR,NDIOUM,NDIOUM,"NIANGA NDIOUM",133,225,1152,1032,2184
SAINT-LOUIS,PODOR,"CAS CAS","MADINA NDIATHBE",ARAM,172,225,1218,1158,2376
SAINT-LOUIS,PODOR,"CAS CAS","MADINA NDIATHBE","H1 DEMBA GAISSIRY SY",3,3,22,20,42
SAINT-LOUIS,PODOR,"CAS CAS","MADINA NDIATHBE","H3 ARAM DIERY",10,18,88,93,181
SAINT-LOUIS,PODOR,"CAS CAS","MADINA NDIATHBE","H5 MBAKHE",15,22,99,100,199
SAINT-LOUIS,PODOR,"CAS CAS","MADINA NDIATHBE","H2 SINTHIANE",5,9,30,36,66
SAINT-LOUIS,PODOR,"CAS CAS","MADINA NDIATHBE","H3 TOULEL BOWDY",3,8,33,39,72
SAINT-LOUIS,PODOR,"CAS CAS","MADINA NDIATHBE","BAWAMY (BAWAMY SAFALBE)",8,16,66,67,133
SAINT-LOUIS,PODOR,"CAS CAS","MADINA NDIATHBE","H3 WOBA",13,18,75,74,149
SAINT-LOUIS,PODOR,"CAS CAS","MADINA NDIATHBE","H8 WENDO SADIO",24,35,124,143,267
SAINT-LOUIS,PODOR,"CAS CAS","MADINA NDIATHBE","H12 WOURO BOUYA",8,19,53,40,93
SAINT-LOUIS,PODOR,"CAS CAS","MADINA NDIATHBE","H13 OURO BOLOL",12,20,89,98,187
SAINT-LOUIS,PODOR,"CAS CAS","MADINA NDIATHBE","H14 LOUMBOL GOPADO",19,47,141,153,294
SAINT-LOUIS,PODOR,"CAS CAS","MADINA NDIATHBE","H4 OURO THIERNO DEMBA BARRY",7,15,46,48,94
SAINT-LOUIS,PODOR,"CAS CAS","MADINA NDIATHBE","H17 GASSEL",9,20,118,107,225
SAINT-LOUIS,PODOR,"CAS CAS","MADINA NDIATHBE","H18 BELA BOUNABE",13,20,69,70,139
SAINT-LOUIS,PODOR,"CAS CAS","MADINA NDIATHBE",CAS-CAS,367,480,2796,2376,5172
SAINT-LOUIS,PODOR,"CAS CAS","MADINA NDIATHBE","H1 WOURO WOUNO",31,44,195,168,363
SAINT-LOUIS,PODOR,"CAS CAS","MADINA NDIATHBE","H2 DEMBA WASSA",32,38,256,223,479
SAINT-LOUIS,PODOR,"CAS CAS","MADINA NDIATHBE","DOGUI DOMBY",62,68,217,313,530
SAINT-LOUIS,PODOR,"CAS CAS","MADINA NDIATHBE","H1 DIAMEL DIOBBE",33,35,137,150,287
SAINT-LOUIS,PODOR,"CAS CAS","MADINA NDIATHBE",DOUNGUEL,166,203,901,866,1767
SAINT-LOUIS,PODOR,"CAS CAS","MADINA NDIATHBE","H1 BOLELE BEY",7,18,74,87,161
SAINT-LOUIS,PODOR,"CAS CAS","MADINA NDIATHBE","H2 PELOL",7,10,64,50,114
