Region,Departement,COM_ARRT_VILLE,COMMUNE,QUARTIER_VILLAGE_HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION
DAKAR,RUFISQUE,BARGNY,BARGNY,"CITE CASTOR 3 EXTENTION",82,129,668,647,1315
DAKAR,RUFISQUE,BARGNY,BARGNY,"CITE CASTOR EXTENTION",321,417,1370,1336,2706
DAKAR,RUFISQUE,BARGNY,BARGNY,"CITE CASTOR II",123,162,653,658,1311
DAKAR,RUFISQUE,BARGNY,BARGNY,"CITE I",432,518,2276,1816,4092
DAKAR,RUFISQUE,BARGNY,BARGNY,"CITE II",143,241,1001,1024,2025
DAKAR,RUFISQUE,BARGNY,BARGNY,"CITE SERIGNE BABACAR SY",101,122,665,399,1064
DAKAR,RUFISQUE,BARGNY,BARGNY,"DAROU I",142,254,1010,1064,2074
DAKAR,RUFISQUE,BARGNY,BARGNY,"DAROU II",76,109,455,471,926
DAKAR,RUFISQUE,BARGNY,BARGNY,DIAMALAYE,223,277,1235,1261,2496
DAKAR,RUFISQUE,BARGNY,BARGNY,"DIAMALAYE (WAKHANDE)",225,250,981,884,1865
DAKAR,RUFISQUE,BARGNY,BARGNY,"GOUYE DAGA",76,196,902,890,1792
DAKAR,RUFISQUE,BARGNY,BARGNY,"GOUYE DIOULANCAR",81,234,1317,1344,2661
DAKAR,RUFISQUE,BARGNY,BARGNY,"GOUYE NDIANDIA",60,91,383,408,791
DAKAR,RUFISQUE,BARGNY,BARGNY,"KIP CARRIERE",324,547,2044,1955,3999
DAKAR,RUFISQUE,BARGNY,BARGNY,"KIP FINCONE",840,1431,4213,4176,8389
DAKAR,RUFISQUE,BARGNY,BARGNY,LAYENE,75,144,696,658,1354
DAKAR,RUFISQUE,BARGNY,BARGNY,MARNANE,41,78,242,255,497
DAKAR,RUFISQUE,BARGNY,BARGNY,"MBOTH KAW",99,159,747,798,1545
DAKAR,RUFISQUE,BARGNY,BARGNY,"MBOTH WAGUE",146,216,946,878,1824
DAKAR,RUFISQUE,BARGNY,BARGNY,"MEDINATOUL MOUNAWARA",382,510,2043,2085,4128
DAKAR,RUFISQUE,BARGNY,BARGNY,MINAME,56,103,590,465,1055
DAKAR,RUFISQUE,BARGNY,BARGNY,MISSIRAH,146,226,1010,1029,2039
DAKAR,RUFISQUE,BARGNY,BARGNY,NDALDALY,86,168,796,839,1635
DAKAR,RUFISQUE,BARGNY,BARGNY,"NDIAGA SAMB",83,153,1033,933,1966
DAKAR,RUFISQUE,BARGNY,BARGNY,"NDIANDIA I",90,228,1294,1207,2501
DAKAR,RUFISQUE,BARGNY,BARGNY,"NDIANDIA II",14,55,251,266,517
DAKAR,RUFISQUE,BARGNY,BARGNY,"NDIAYENE GUEDJI",15,47,270,292,562
DAKAR,RUFISQUE,BARGNY,BARGNY,NDIOLMANE,85,252,1111,1116,2227
