Region,Departement,COM_ARRT_VILLE,COMMUNE,QUARTIER_VILLAGE_HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION
SAINT-LOUIS,"SAINT LOUIS","SAINT LOUIS","SAINT LOUIS",BALACOS,493,640,2234,2223,4457
SAINT-LOUIS,"SAINT LOUIS","SAINT LOUIS","SAINT LOUIS","BANGO NORD",208,271,1099,1192,2291
SAINT-LOUIS,"SAINT LOUIS","SAINT LOUIS","SAINT LOUIS","BANGO SUD",935,1023,3749,3568,7317
SAINT-LOUIS,"SAINT LOUIS","SAINT LOUIS","SAINT LOUIS","BAS NDAR TOUTE",246,413,1661,1694,3355
SAINT-LOUIS,"SAINT LOUIS","SAINT LOUIS","SAINT LOUIS","CITE NIAKH",766,998,3681,3327,7008
SAINT-LOUIS,"SAINT LOUIS","SAINT LOUIS","SAINT LOUIS","DAKK GUET NDAR",521,1077,5157,5195,10352
SAINT-LOUIS,"SAINT LOUIS","SAINT LOUIS","SAINT LOUIS","DAROU MEDINA MARMYAL",562,735,3691,3020,6711
SAINT-LOUIS,"SAINT LOUIS","SAINT LOUIS","SAINT LOUIS","DAROU ROUTE DE KHOR",979,1578,5800,4613,10413
SAINT-LOUIS,"SAINT LOUIS","SAINT LOUIS","SAINT LOUIS",DIAMAGUENE,915,1274,5094,4730,9824
SAINT-LOUIS,"SAINT LOUIS","SAINT LOUIS","SAINT LOUIS",DIAMINAR,637,780,3770,3685,7455
SAINT-LOUIS,"SAINT LOUIS","SAINT LOUIS","SAINT LOUIS","EAUX CLAIRES",636,811,3283,3214,6497
SAINT-LOUIS,"SAINT LOUIS","SAINT LOUIS","SAINT LOUIS","GOXU MBACC",1521,2132,10944,11231,22175
SAINT-LOUIS,"SAINT LOUIS","SAINT LOUIS","SAINT LOUIS","GUINAW RAIL",1729,2110,9218,8658,17876
SAINT-LOUIS,"SAINT LOUIS","SAINT LOUIS","SAINT LOUIS","HAUT NDAR TOUTE",457,724,3251,3046,6297
SAINT-LOUIS,"SAINT LOUIS","SAINT LOUIS","SAINT LOUIS","HAUT NORD",219,306,925,865,1790
SAINT-LOUIS,"SAINT LOUIS","SAINT LOUIS","SAINT LOUIS",HLM,385,459,1469,1462,2931
SAINT-LOUIS,"SAINT LOUIS","SAINT LOUIS","SAINT LOUIS",HYDROBASE,495,666,3159,3016,6175
SAINT-LOUIS,"SAINT LOUIS","SAINT LOUIS","SAINT LOUIS","KHOR MISSION",146,167,537,520,1057
SAINT-LOUIS,"SAINT LOUIS","SAINT LOUIS","SAINT LOUIS","KHOR USINE",968,1120,5012,4143,9155
SAINT-LOUIS,"SAINT LOUIS","SAINT LOUIS","SAINT LOUIS",LEONA,661,930,3802,3864,7666
SAINT-LOUIS,"SAINT LOUIS","SAINT LOUIS","SAINT LOUIS","LODO GUET NDAR",401,779,3475,3896,7371
SAINT-LOUIS,"SAINT LOUIS","SAINT LOUIS","SAINT LOUIS","MEDINA COURSE PETHIEULY",444,579,2468,2243,4711
SAINT-LOUIS,"SAINT LOUIS","SAINT LOUIS","SAINT LOUIS","NDIOLOFENE NORD",621,819,3263,2931,6194
SAINT-LOUIS,"SAINT LOUIS","SAINT LOUIS","SAINT LOUIS","NDIOLOFENE SUD",347,583,1713,1540,3253
SAINT-LOUIS,"SAINT LOUIS","SAINT LOUIS","SAINT LOUIS","NGALLELE NORD",415,526,1719,1882,3601
SAINT-LOUIS,"SAINT LOUIS","SAINT LOUIS","SAINT LOUIS","NGALLELE SUD",206,220,651,739,1390
SAINT-LOUIS,"SAINT LOUIS","SAINT LOUIS","SAINT LOUIS","PIKINE BAS SENEGAL",1376,1592,7549,7327,14876
SAINT-LOUIS,"SAINT LOUIS","SAINT LOUIS","SAINT LOUIS","PIKINE SOR DAGA",1118,1314,5808,5745,11553
SAINT-LOUIS,"SAINT LOUIS","SAINT LOUIS","SAINT LOUIS","PIKINE SOR DIAGNE",1543,1950,8068,7502,15570
SAINT-LOUIS,"SAINT LOUIS","SAINT LOUIS","SAINT LOUIS","PIKINE TABLEAU WALO",2200,2756,12220,11939,24159
SAINT-LOUIS,"SAINT LOUIS","SAINT LOUIS","SAINT LOUIS",SUD,288,353,1055,1041,2096
SAINT-LOUIS,"SAINT LOUIS","SAINT LOUIS","SAINT LOUIS",TENDJIGUENE,608,787,2880,2678,5558
SAINT-LOUIS,"SAINT LOUIS","SAINT LOUIS","SAINT LOUIS","NORD CENTRE",309,393,1852,1185,3037
SAINT-LOUIS,"SAINT LOUIS",RAO,GANDON,"BAITY DIEYE",6,8,43,47,90
SAINT-LOUIS,"SAINT LOUIS",RAO,GANDON,"H1 KEUR SAMBA DIALLO",7,8,42,53,95
SAINT-LOUIS,"SAINT LOUIS",RAO,GANDON,"H2 FASS NDIAYE",1,1,10,16,26
SAINT-LOUIS,"SAINT LOUIS",RAO,GANDON,"H3 BAITY DIEYE",1,1,1,1,2
SAINT-LOUIS,"SAINT LOUIS",RAO,GANDON,BEKHAR,66,70,332,414,746
SAINT-LOUIS,"SAINT LOUIS",RAO,GANDON,"BOP THIOR",20,22,96,131,227
SAINT-LOUIS,"SAINT LOUIS",RAO,GANDON,BOUDIOUCK,1154,1272,4037,4028,8065
SAINT-LOUIS,"SAINT LOUIS",RAO,GANDON,"DIAMA THIAGUEL",39,49,257,239,496
SAINT-LOUIS,"SAINT LOUIS",RAO,GANDON,"DIAMA TOUBE",13,17,96,108,204
SAINT-LOUIS,"SAINT LOUIS",RAO,GANDON,"DIOUGOB PEULH (SANAR PEULH)",667,995,2815,2414,5229
SAINT-LOUIS,"SAINT LOUIS",RAO,GANDON,"H2 DIOUGOB BAMBARA",70,90,385,305,690
SAINT-LOUIS,"SAINT LOUIS",RAO,GANDON,"FASS DIEYE",40,47,179,273,452
SAINT-LOUIS,"SAINT LOUIS",RAO,GANDON,GANDON,209,234,1163,1092,2255
SAINT-LOUIS,"SAINT LOUIS",RAO,GANDON,GOBAG,16,19,110,91,201
SAINT-LOUIS,"SAINT LOUIS",RAO,GANDON,"GOUYE TOURE",24,28,109,122,231
SAINT-LOUIS,"SAINT LOUIS",RAO,GANDON,"IBA BALLA",13,17,60,83,143
SAINT-LOUIS,"SAINT LOUIS",RAO,GANDON,"IBA PEULH",2,5,15,12,27
SAINT-LOUIS,"SAINT LOUIS",RAO,GANDON,"H1 MAMADOU BESSE SOW",3,9,29,27,56
SAINT-LOUIS,"SAINT LOUIS",RAO,GANDON,"KEUR MADIOP BASSINE",17,17,108,68,176
SAINT-LOUIS,"SAINT LOUIS",RAO,GANDON,"KEUR MARTIN",131,134,538,541,1079
SAINT-LOUIS,"SAINT LOUIS",RAO,GANDON,"KHATALI II",11,11,46,57,103
SAINT-LOUIS,"SAINT LOUIS",RAO,GANDON,"KHELCOM DIAO",24,26,174,150,324
SAINT-LOUIS,"SAINT LOUIS",RAO,GANDON,"H1 KOMAL DIAW",11,14,95,88,183
SAINT-LOUIS,"SAINT LOUIS",RAO,GANDON,LAMPSAR,173,198,729,833,1562
SAINT-LOUIS,"SAINT LOUIS",RAO,GANDON,"LEYBAR BOYE",145,151,688,568,1256
SAINT-LOUIS,"SAINT LOUIS",RAO,GANDON,"H1 PONT LEYBAR",1,1,4,1,5
SAINT-LOUIS,"SAINT LOUIS",RAO,GANDON,"MAKA TOUBE",164,211,913,938,1851
SAINT-LOUIS,"SAINT LOUIS",RAO,GANDON,"H1 ALI DIAGNE NAR",31,31,99,94,193
SAINT-LOUIS,"SAINT LOUIS",RAO,GANDON,MAKHANA,100,115,462,421,883
SAINT-LOUIS,"SAINT LOUIS",RAO,GANDON,"H3 BEYSSOUS",43,53,228,205,433
SAINT-LOUIS,"SAINT LOUIS",RAO,GANDON,"H3 MBARAR SOW",10,11,36,40,76
SAINT-LOUIS,"SAINT LOUIS",RAO,GANDON,"H1 KEUR EL H YOUSSOU SOW",2,2,7,10,17
SAINT-LOUIS,"SAINT LOUIS",RAO,GANDON,MBARIGO,98,105,634,589,1223
SAINT-LOUIS,"SAINT LOUIS",RAO,GANDON,"H1 NEUFEUR",23,25,121,109,230
SAINT-LOUIS,"SAINT LOUIS",RAO,GANDON,"H2 KEUR MAR",37,40,176,153,329
SAINT-LOUIS,"SAINT LOUIS",RAO,GANDON,"H3 KEUR MOUSSA DIOR SOW",21,22,112,117,229
SAINT-LOUIS,"SAINT LOUIS",RAO,GANDON,"H2 KEUR MACTAR SAMBA BA",14,15,93,98,191
SAINT-LOUIS,"SAINT LOUIS",RAO,GANDON,"MBENGUENE BOYE",83,100,522,463,985
SAINT-LOUIS,"SAINT LOUIS",RAO,GANDON,"H1 MBENGUENE NARE",6,8,42,26,68
SAINT-LOUIS,"SAINT LOUIS",RAO,GANDON,"H2 BOTI",6,6,20,30,50
SAINT-LOUIS,"SAINT LOUIS",RAO,GANDON,"H3 BOUH",11,12,66,70,136
SAINT-LOUIS,"SAINT LOUIS",RAO,GANDON,"H1 KEUR SAMBA KA",23,24,128,115,243
SAINT-LOUIS,"SAINT LOUIS",RAO,GANDON,"MERINA BARA",15,15,92,85,177
SAINT-LOUIS,"SAINT LOUIS",RAO,GANDON,"MERINA SALL",38,43,233,221,454
SAINT-LOUIS,"SAINT LOUIS",RAO,GANDON,NDIAKHER,67,112,487,439,926
SAINT-LOUIS,"SAINT LOUIS",RAO,GANDON,"H1 KEUR AMADOU SIDY SOW",2,2,6,4,10
SAINT-LOUIS,"SAINT LOUIS",RAO,GANDON,"NDIAKHIP I",31,32,109,93,202
SAINT-LOUIS,"SAINT LOUIS",RAO,GANDON,"H1 KEUR NDIAGA SOW",5,6,26,28,54
SAINT-LOUIS,"SAINT LOUIS",RAO,GANDON,"NDIAKHIP II",55,67,276,414,690
SAINT-LOUIS,"SAINT LOUIS",RAO,GANDON,"NDIALAKHAR OUOLOF",30,38,210,148,358
SAINT-LOUIS,"SAINT LOUIS",RAO,GANDON,"H5 KEUR SIDY FALL",5,5,21,16,37
SAINT-LOUIS,"SAINT LOUIS",RAO,GANDON,"NDIALAKHAR PEULH",37,50,276,240,516
SAINT-LOUIS,"SAINT LOUIS",RAO,GANDON,"H1 KEUR MALICK DIOUMA KA",8,8,55,39,94
SAINT-LOUIS,"SAINT LOUIS",RAO,GANDON,"NDIALAME BAMBARA",19,19,70,66,136
SAINT-LOUIS,"SAINT LOUIS",RAO,GANDON,"H1 TOUGOR",13,13,61,49,110
SAINT-LOUIS,"SAINT LOUIS",RAO,GANDON,"H3 KEUR GALLO SAMBA SOW",9,10,30,35,65
SAINT-LOUIS,"SAINT LOUIS",RAO,GANDON,NDIAOUDOUNE,161,174,731,824,1555
SAINT-LOUIS,"SAINT LOUIS",RAO,GANDON,"H1 NDIAOUDOUNE PONT",45,47,272,213,485
SAINT-LOUIS,"SAINT LOUIS",RAO,GANDON,"H2 KEUR MAME DIOP FALL",6,7,26,23,49
SAINT-LOUIS,"SAINT LOUIS",RAO,GANDON,"H3 NDIAOUDOUNE NAR",18,19,88,86,174
SAINT-LOUIS,"SAINT LOUIS",RAO,GANDON,"H4 KEUR ADAMA BA",10,11,40,38,78
