Region,Departement,COM_ARRT_VILLE,COMMUNE,QUARTIER_VILLAGE_HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION
KEDOUGOU,SALEMATA,SALEMATA,SALEMATA,COULOUBA,228,301,955,967,1922
KEDOUGOU,SALEMATA,SALEMATA,SALEMATA,EGATH,27,61,147,128,275
KEDOUGOU,SALEMATA,SALEMATA,SALEMATA,GANDJIRI,62,71,298,241,539
KEDOUGOU,SALEMATA,SALEMATA,SALEMATA,GAYGUI,23,42,103,107,210
KEDOUGOU,SALEMATA,SALEMATA,SALEMATA,MOSQUEE,87,123,396,385,781
KEDOUGOU,SALEMATA,SALEMATA,SALEMATA,"NANGAR PEULH-NANGAR BASSARI",85,92,337,336,673
KEDOUGOU,SALEMATA,SALEMATA,SALEMATA,"SINTHIOU ROUDJI",43,72,166,151,317
KEDOUGOU,SALEMATA,SALEMATA,SALEMATA,"LAWOL KEDOUGOU (YIMBERING)",142,181,551,490,1041
KEDOUGOU,SALEMATA,SALEMATA,SALEMATA,"GADA GANDJIRI",61,64,272,250,522
KEDOUGOU,SALEMATA,SALEMATA,SALEMATA,"NANGAR PANDEMI",48,59,220,212,432
KEDOUGOU,SALEMATA,DAKATELY,DAKATELY,BATIMBA,18,20,86,80,166
KEDOUGOU,SALEMATA,DAKATELY,DAKATELY,"H1 SAMOUKA",17,22,90,80,170
KEDOUGOU,SALEMATA,DAKATELY,DAKATELY,"H2 LOUGUENIAN",13,15,54,64,118
KEDOUGOU,SALEMATA,DAKATELY,DAKATELY,DAKATELY,89,132,549,558,1107
KEDOUGOU,SALEMATA,DAKATELY,DAKATELY,"H1 OUTHIOUMBEL",41,47,161,203,364
KEDOUGOU,SALEMATA,DAKATELY,DAKATELY,"H2 DIARA",32,37,153,144,297
KEDOUGOU,SALEMATA,DAKATELY,DAKATELY,DIOUGOL,43,48,181,167,348
KEDOUGOU,SALEMATA,DAKATELY,DAKATELY,"H1 SINTHIROU",7,8,17,24,41
KEDOUGOU,SALEMATA,DAKATELY,DAKATELY,GOUMBAMBERE,24,33,125,115,240
KEDOUGOU,SALEMATA,DAKATELY,DAKATELY,"GOUNOUNG (KOUKOUDIE)",22,25,106,91,197
KEDOUGOU,SALEMATA,DAKATELY,DAKATELY,"GOURE NETERE",12,14,49,43,92
KEDOUGOU,SALEMATA,DAKATELY,DAKATELY,KADIORE,11,12,63,49,112
KEDOUGOU,SALEMATA,DAKATELY,DAKATELY,"H1 HOREKALOU",3,3,11,11,22
KEDOUGOU,SALEMATA,DAKATELY,DAKATELY,KOUMAFELE,23,30,135,159,294
KEDOUGOU,SALEMATA,DAKATELY,DAKATELY,"H1 SALEYAMBA",11,14,44,48,92
KEDOUGOU,SALEMATA,DAKATELY,DAKATELY,"NEPPENE DIAKHA",18,34,118,113,231
KEDOUGOU,SALEMATA,DAKATELY,DAKATELY,"H1 SYLLACOUNDA",19,30,98,88,186
KEDOUGOU,SALEMATA,DAKATELY,DAKATELY,"H2 SINTHIOU ROUDJI",7,7,34,27,61
KEDOUGOU,SALEMATA,DAKATELY,DAKATELY,"NEPPENE PEULH",16,17,99,73,172
KEDOUGOU,SALEMATA,DAKATELY,DAKATELY,"YERO NGUEDO",37,46,248,209,457
KEDOUGOU,SALEMATA,DAKATELY,KEVOYE,AYKOUM,33,35,132,115,247
KEDOUGOU,SALEMATA,DAKATELY,KEVOYE,KEREVANE,33,45,224,236,460
KEDOUGOU,SALEMATA,DAKATELY,KEVOYE,"H1 MISSIRAH COUTA (MISSIRAH SYLLACOUNDA)",26,30,186,155,341
KEDOUGOU,SALEMATA,DAKATELY,KEVOYE,KEVOYE,27,43,230,193,423
