Region,Departement,COM_ARRT_VILLE,COMMUNE,QUARTIER_VILLAGE_HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION
KEDOUGOU,SARAYA,SARAYA,SARAYA,FOUNSAMBA,105,170,670,475,1145
KEDOUGOU,SARAYA,SARAYA,SARAYA,LIBERTE,80,112,449,393,842
KEDOUGOU,SARAYA,SARAYA,SARAYA,MOSQUEE,42,63,520,466,986
KEDOUGOU,SARAYA,SARAYA,SARAYA,SEKHOFARA,138,284,765,647,1412
KEDOUGOU,SARAYA,BEMBOU,"MEDINA BAFFE",DINDIARY,16,27,104,118,222
KEDOUGOU,SARAYA,BEMBOU,"MEDINA BAFFE",GUEMEDJI,169,206,1018,942,1960
KEDOUGOU,SARAYA,BEMBOU,"MEDINA BAFFE","H1 FADIANDIAN",4,7,30,25,55
KEDOUGOU,SARAYA,BEMBOU,"MEDINA BAFFE","H2 FALEMA (FADOUGOU NIAFA)",96,108,183,127,310
KEDOUGOU,SARAYA,BEMBOU,"MEDINA BAFFE","H4 KOULIMINDE",30,37,125,143,268
KEDOUGOU,SARAYA,BEMBOU,"MEDINA BAFFE","H5 NIENIEYA",2,2,9,6,15
KEDOUGOU,SARAYA,BEMBOU,"MEDINA BAFFE","H3 KHOUMBANSOUKHOUNG",11,11,21,33,54
KEDOUGOU,SARAYA,BEMBOU,"MEDINA BAFFE",KHOULEYA,9,18,37,48,85
KEDOUGOU,SARAYA,BEMBOU,"MEDINA BAFFE","MEDINA BAFFE",57,108,446,422,868
KEDOUGOU,SARAYA,BEMBOU,"MEDINA BAFFE","H1 BABOUYA (TEMBERE)",9,18,64,69,133
KEDOUGOU,SARAYA,BEMBOU,"MEDINA BAFFE","H2 HEREMAKONO",1,1,8,10,18
KEDOUGOU,SARAYA,BEMBOU,"MEDINA BAFFE","MISSIRAH DANTILA",28,65,563,492,1055
KEDOUGOU,SARAYA,BEMBOU,"MEDINA BAFFE",MOULOUNGA,18,27,104,95,199
KEDOUGOU,SARAYA,BEMBOU,"MEDINA BAFFE","H1 BOUMBOUKHOUTOU",10,11,39,36,75
KEDOUGOU,SARAYA,BEMBOU,"MEDINA BAFFE",NOUMOUFOUKHA,65,71,342,258,600
KEDOUGOU,SARAYA,BEMBOU,"MEDINA BAFFE","H1 SONKHOYA",16,21,131,97,228
KEDOUGOU,SARAYA,BEMBOU,"MEDINA BAFFE","H2 BOFETO",22,30,135,135,270
KEDOUGOU,SARAYA,BEMBOU,"MEDINA BAFFE","H10 BOTO 1",6,7,26,22,48
KEDOUGOU,SARAYA,BEMBOU,"MEDINA BAFFE","H11 BAGATA",2,4,15,11,26
KEDOUGOU,SARAYA,BEMBOU,"MEDINA BAFFE","SAKHOUYA (SONKHEYA)",15,21,114,134,248
KEDOUGOU,SARAYA,BEMBOU,"MEDINA BAFFE","H2 KHABANTING 2",1,1,5,5,10
KEDOUGOU,SARAYA,BEMBOU,"MEDINA BAFFE","SAMECOUTA (SAMECOUTA DANTILA)",26,58,250,312,562
KEDOUGOU,SARAYA,BEMBOU,"MEDINA BAFFE",SAROUDIA,48,72,372,368,740
KEDOUGOU,SARAYA,BEMBOU,"MEDINA BAFFE","H1 FATAKO",1,1,6,4,10
KEDOUGOU,SARAYA,BEMBOU,"MEDINA BAFFE","H2 FARATO",4,4,27,17,44
KEDOUGOU,SARAYA,BEMBOU,"MEDINA BAFFE",SEKHOTO,34,50,209,164,373
KEDOUGOU,SARAYA,BEMBOU,"MEDINA BAFFE",TAMEGUEDIA,21,38,137,166,303
KEDOUGOU,SARAYA,BEMBOU,"MEDINA BAFFE","H1 WAKILARE",7,8,24,40,64
