Region,Departement,COM_ARRT_VILLE,COMMUNE,QUARTIER_VILLAGE_HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION
SEDHIOU,SEDHIOU,SEDHIOU,SEDHIOU,JULESCOUNDA,71,108,673,634,1307
SEDHIOU,SEDHIOU,SEDHIOU,SEDHIOU,KABEUMB,227,333,1358,1414,2772
SEDHIOU,SEDHIOU,SEDHIOU,SEDHIOU,MANSACOUNDA,190,330,1638,1550,3188
SEDHIOU,SEDHIOU,SEDHIOU,SEDHIOU,"MONTAGNE ROUGE",314,366,2183,1638,3821
SEDHIOU,SEDHIOU,SEDHIOU,SEDHIOU,MORICOUNDA,459,548,2463,2354,4817
SEDHIOU,SEDHIOU,SEDHIOU,SEDHIOU,"SANTASSOU I",257,381,1602,1683,3285
SEDHIOU,SEDHIOU,SEDHIOU,SEDHIOU,"SANTASSOU II",469,702,2271,2233,4504
SEDHIOU,SEDHIOU,SEDHIOU,SEDHIOU,DEMBAYA,208,256,1336,1391,2727
SEDHIOU,SEDHIOU,SEDHIOU,SEDHIOU,GOUDIABYA,235,252,975,913,1888
SEDHIOU,SEDHIOU,SEDHIOU,SEDHIOU,"SANTASSOU III",303,398,1584,1618,3202
SEDHIOU,SEDHIOU,MARSASSOUM,MARSASSOUM,BELALY,147,175,843,892,1735
SEDHIOU,SEDHIOU,MARSASSOUM,MARSASSOUM,ESCALE,59,76,388,409,797
SEDHIOU,SEDHIOU,MARSASSOUM,MARSASSOUM,"GRAND DAKAR",95,101,574,551,1125
SEDHIOU,SEDHIOU,MARSASSOUM,MARSASSOUM,KANKABA,134,148,924,963,1887
SEDHIOU,SEDHIOU,MARSASSOUM,MARSASSOUM,MANGUIR,13,20,145,136,281
SEDHIOU,SEDHIOU,MARSASSOUM,MARSASSOUM,SOURWACOUNDA,130,159,827,872,1699
SEDHIOU,SEDHIOU,MARSASSOUM,MARSASSOUM,TAIBA,17,20,535,241,776
SEDHIOU,SEDHIOU,MARSASSOUM,MARSASSOUM,TORONCOCOUNDA,106,126,768,747,1515
SEDHIOU,SEDHIOU,DIENDE,DIENDE,AYNOUSSALAM,22,23,122,131,253
SEDHIOU,SEDHIOU,DIENDE,DIENDE,"BADIANDIAN DIOLA",47,59,348,377,725
SEDHIOU,SEDHIOU,DIENDE,DIENDE,"BADIANDIAN MANCAGNE",22,23,166,107,273
SEDHIOU,SEDHIOU,DIENDE,DIENDE,"H1 BADIANDIAN SOUCOTOTO",8,8,43,38,81
SEDHIOU,SEDHIOU,DIENDE,DIENDE,"BAKOUM MANCAGNE",9,9,35,46,81
SEDHIOU,SEDHIOU,DIENDE,DIENDE,"BAKOUM MANDINGUE",63,66,447,450,897
SEDHIOU,SEDHIOU,DIENDE,DIENDE,"BISSARI (DIOUNKOYA)",42,51,288,330,618
SEDHIOU,SEDHIOU,DIENDE,DIENDE,"H1 SINTHIANG IBRAHIMA",4,4,10,16,26
SEDHIOU,SEDHIOU,DIENDE,DIENDE,"H2 TAMBACOURA",10,11,61,47,108
SEDHIOU,SEDHIOU,DIENDE,DIENDE,"H3 SINTHIANG YORO SANE",3,3,5,11,16
SEDHIOU,SEDHIOU,DIENDE,DIENDE,"H4 BISSARI (DIOUNKOUYA)",3,3,7,0,7
SEDHIOU,SEDHIOU,DIENDE,DIENDE,"BOUSSOURA ELHADJI KARAMBA",13,15,243,218,461
SEDHIOU,SEDHIOU,DIENDE,DIENDE,"DIATOUMA MANDINGUE",39,69,434,442,876
SEDHIOU,SEDHIOU,DIENDE,DIENDE,"DIATOUMA REFUGIE",9,9,56,42,98
SEDHIOU,SEDHIOU,DIENDE,DIENDE,DIENDE,154,188,1045,1150,2195
SEDHIOU,SEDHIOU,DIENDE,DIENDE,"H2 SINTHIANG KORKA",1,3,10,8,18
SEDHIOU,SEDHIOU,DIENDE,DIENDE,"DJIDATOU EL HADJ KHALIFA",7,18,242,99,341
SEDHIOU,SEDHIOU,DIENDE,DIENDE,IDA,26,30,286,274,560
SEDHIOU,SEDHIOU,DIENDE,DIENDE,"BLOC STATION",68,73,362,277,639
SEDHIOU,SEDHIOU,DIENDE,DIENDE,"H2 SIDOUYA (NGALPANTE)",5,7,44,40,84
SEDHIOU,SEDHIOU,DIENDE,DIENDE,"H3 DIENDE 2",5,5,26,16,42
SEDHIOU,SEDHIOU,DIENDE,DIENDE,"KOUNAYAN DIOLA",9,9,54,53,107
SEDHIOU,SEDHIOU,DIENDE,DIENDE,"KOUNAYAN MANCAGNE",35,43,186,232,418
SEDHIOU,SEDHIOU,DIENDE,DIENDE,"H1 KOUNAYAN MANCAGNE",9,11,44,32,76
SEDHIOU,SEDHIOU,DIENDE,DIENDE,"KOUNAYAN MANDING",32,71,313,338,651
SEDHIOU,SEDHIOU,DIENDE,DIENDE,"MADINA FINDIFETO",34,49,375,426,801
SEDHIOU,SEDHIOU,DIENDE,DIENDE,"MADINA UC I",8,8,45,57,102
SEDHIOU,SEDHIOU,DIENDE,DIENDE,SALIKEGNE,37,43,250,274,524
SEDHIOU,SEDHIOU,DIENDE,DIENDE,"SALIKEGNE SOUCOUTOTO",25,34,398,373,771
SEDHIOU,SEDHIOU,DIENDE,DIENDE,SEFA,31,36,160,162,322
SEDHIOU,SEDHIOU,DIENDE,DIENDE,SITABA,56,65,719,619,1338
SEDHIOU,SEDHIOU,DIENDE,DIENDE,TOURECOUNDA,52,71,621,656,1277
SEDHIOU,SEDHIOU,DIENDE,DIENDE,"UC 1 BLOC VILLAGE",151,179,747,686,1433
SEDHIOU,SEDHIOU,DIENDE,DIENDE,"H1 CHANTIER ECOLE BLOC",22,24,126,127,253
SEDHIOU,SEDHIOU,DIENDE,DIENDE,"KOUNAYAN SOUCOUTOTO (MADINA SALAM)",12,13,89,108,197
SEDHIOU,SEDHIOU,DIENDE,DIENDE,"TIVAOUANE PEULH",3,4,18,16,34
SEDHIOU,SEDHIOU,DIENDE,SAKAR,BABADY,34,67,421,436,857
SEDHIOU,SEDHIOU,DIENDE,SAKAR,"H1 TAMBATO",4,4,36,32,68
SEDHIOU,SEDHIOU,DIENDE,SAKAR,"H2 VELINGARA",1,1,4,7,11
