Region,Departement,COM_ARRT_VILLE,COMMUNE,QUARTIER_VILLAGE_HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION
TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,ABATTOIRS,388,566,2167,1978,4145
TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,"ABATTOIRS COMPLEMENT",1101,1296,4966,4876,9842
TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,AFFIA,814,1040,4568,4330,8898
TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,"BOUCAR COUNDA",62,64,317,311,628
TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,"CAMP NAVETANE",574,813,3458,3167,6625
TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,"DAROU SALAM",181,185,889,665,1554
TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,DAROULAYE,20,28,217,254,471
TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,DAYBATOU,201,227,924,925,1849
TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,DEPOT,458,821,2859,2972,5831
TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,"DIALLO BOUGOU",351,443,1694,1781,3475
TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,"DIAMWELI 1 (SARE SILLY)",89,96,435,410,845
TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,"DIAMWELI 2",403,442,1965,1932,3897
TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,"GOUREL AMATH SOW",393,429,1971,1787,3758
TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,"GOUREL BARRY",294,308,1128,1057,2185
TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,"GOUREL DIADIE",2133,2512,10020,9611,19631
TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,GOUYE,216,287,1176,1120,2296
TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,KANDECOUNDA,30,33,139,142,281
TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,KANDERY,92,99,673,645,1318
TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,KOTHIARINDING,58,68,373,346,719
TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,"LABA BOUGOU",13,14,58,61,119
TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,LIBERTE,435,523,1948,1607,3555
TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,"LIBERTE EST",416,520,1805,1552,3357
TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,"MEDINA COURA OUEST",520,771,3394,3157,6551
TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,PLATEAU,959,1232,5203,5133,10336
TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,"PONT 1",567,823,3308,3509,6817
TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,"PONT 2",348,491,2153,2160,4313
TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,QUINZAMBOUGOU,739,1003,3598,3817,7415
TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,"SARE GUILEL",1653,1842,7274,6759,14033
TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,"SARE ISSA",679,728,3001,3085,6086
TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,"SARE MOUDOU (GOUREL MODOU)",161,174,755,676,1431
TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,"TAMBA SOCE 1",187,204,988,984,1972
TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,"PONT 3",393,549,2311,2527,4838
TAMBACOUNDA,TAMBACOUNDA,KOUSSANAR,KOUSSANAR,"BOKIE LOTHIE (WOURO HAMA)",23,58,242,248,490
TAMBACOUNDA,TAMBACOUNDA,KOUSSANAR,KOUSSANAR,"BOULEL (SINTHIOU BOULEL)",19,27,136,124,260
TAMBACOUNDA,TAMBACOUNDA,KOUSSANAR,KOUSSANAR,"SINTHIOU DAWADY KOTO",4,4,31,33,64
TAMBACOUNDA,TAMBACOUNDA,KOUSSANAR,KOUSSANAR,"DAWADY MEISSA PATHE",160,264,1393,1533,2926
TAMBACOUNDA,TAMBACOUNDA,KOUSSANAR,KOUSSANAR,"DIARABOGUEL (FOULBES)",5,11,65,41,106
TAMBACOUNDA,TAMBACOUNDA,KOUSSANAR,KOUSSANAR,"H1 BOUSSOURA",1,2,6,11,17
