Region,Departement,COM_ARRT_VILLE,COMMUNE,QUARTIER_VILLAGE_HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION
THIES,THIES,KHOMBOLE,KHOMBOLE,"GUINAW RAIL",447,529,2448,2615,5063
THIES,THIES,KHOMBOLE,KHOMBOLE,HANENE,360,492,1847,2349,4196
THIES,THIES,KHOMBOLE,KHOMBOLE,"KEUR MACODOU",177,241,1017,936,1953
THIES,THIES,KHOMBOLE,KHOMBOLE,"NDIAYENE GOUYE",291,340,1509,1582,3091
THIES,THIES,KHOMBOLE,KHOMBOLE,NGANDIOLE,416,574,1857,1989,3846
THIES,THIES,KHOMBOLE,KHOMBOLE,NGHAYE,202,226,993,1179,2172
THIES,THIES,POUT,POUT,ALWAR,128,185,862,767,1629
THIES,THIES,POUT,POUT,GARAGE,113,169,691,658,1349
THIES,THIES,POUT,POUT,HLM,127,137,568,572,1140
THIES,THIES,POUT,POUT,"KEUR SEYDOU",237,315,1329,1365,2694
THIES,THIES,POUT,POUT,MBAMBARA,188,270,1343,1093,2436
THIES,THIES,POUT,POUT,MBAYENE,229,338,1410,1407,2817
THIES,THIES,POUT,POUT,SANTHIE,153,197,952,947,1899
THIES,THIES,POUT,POUT,THIEKENE,224,316,1214,1318,2532
THIES,THIES,POUT,POUT,THERIGNE,188,264,1136,1045,2181
THIES,THIES,POUT,POUT,"TOUBA POUT",376,495,1898,1787,3685
THIES,THIES,POUT,POUT,TOUCOULEUR,469,628,2760,2602,5362
THIES,THIES,POUT,POUT,"SANTE YALLA",284,322,1122,1028,2150
THIES,THIES,NOTTO,NOTTO,"BABACK OUOLOF",5,5,51,43,94
THIES,THIES,NOTTO,NOTTO,"BABACK SERERE",31,67,419,339,758
THIES,THIES,NOTTO,NOTTO,"H1 NDIODIONE",29,61,403,371,774
THIES,THIES,NOTTO,NOTTO,"H2 NGOKHOTHIE",22,41,229,189,418
THIES,THIES,NOTTO,NOTTO,"H3 DIAMAGUENE",27,50,323,259,582
THIES,THIES,NOTTO,NOTTO,BIRBIRANE,12,38,160,169,329
THIES,THIES,NOTTO,NOTTO,"H1 DAFKA",1,8,38,25,63
THIES,THIES,NOTTO,NOTTO,"H2 DANGHAM",2,6,30,22,52
THIES,THIES,NOTTO,NOTTO,"H3 KAMBOUSKA",2,10,51,45,96
THIES,THIES,NOTTO,NOTTO,"DIASS PALAM",10,28,203,186,389
THIES,THIES,NOTTO,NOTTO,"H3 KEUR MBATE",4,11,44,39,83
THIES,THIES,NOTTO,NOTTO,DIOUNGANE,95,143,690,687,1377
THIES,THIES,NOTTO,NOTTO,"H1 SINTHIANE",7,10,76,67,143
THIES,THIES,NOTTO,NOTTO,"H2 CISSIS",6,6,36,38,74
THIES,THIES,NOTTO,NOTTO,"GOTTE 1",22,25,144,106,250
THIES,THIES,NOTTO,NOTTO,"H1 KEUR SERIGNE SALIOU",1,3,95,8,103
THIES,THIES,NOTTO,NOTTO,"H2 DAROU DIA",2,2,13,16,29
THIES,THIES,NOTTO,NOTTO,"GOTTE 2",16,21,150,148,298
THIES,THIES,NOTTO,NOTTO,HANENE,237,256,1752,1696,3448
THIES,THIES,NOTTO,NOTTO,"KEUR AMAR DIAKHOU",21,26,142,140,282
THIES,THIES,NOTTO,NOTTO,"H1 WOUROOGOL",7,7,33,29,62
THIES,THIES,NOTTO,NOTTO,"KEUR AMAR MANE",18,30,188,175,363
THIES,THIES,NOTTO,NOTTO,"KEUR BANDA GUEYE (KEUR MAMOUR)",29,37,258,264,522
THIES,THIES,NOTTO,NOTTO,"KEUR BANDA SAMB (SAMBENE)",7,7,51,39,90
THIES,THIES,NOTTO,NOTTO,"KEUR BARA KAIRE",36,45,294,246,540
THIES,THIES,NOTTO,NOTTO,"H1 PEULGA",74,97,356,380,736
THIES,THIES,NOTTO,NOTTO,"KEUR BIRIMA KOURA",7,8,32,36,68
THIES,THIES,NOTTO,NOTTO,"H1 TOUBA DIOBASS",14,14,64,36,100
THIES,THIES,NOTTO,NOTTO,"KEUR DEMBA KEBE",20,22,133,132,265
THIES,THIES,NOTTO,NOTTO,"KEUR DIATTA",26,26,228,222,450
THIES,THIES,NOTTO,NOTTO,"KEUR DIEMBE NDIAYE",31,48,265,266,531
THIES,THIES,NOTTO,NOTTO,"KEUR IBRA FALL",62,84,742,692,1434
THIES,THIES,NOTTO,NOTTO,"KEUR IBRA MATY GUEYE (GUEYENE)",40,44,206,223,429
THIES,THIES,NOTTO,NOTTO,"KEUR MADARO NIANG",331,372,2025,1896,3921
THIES,THIES,NOTTO,NOTTO,"H1 KEUR MADARO PEULH",5,6,33,26,59
THIES,THIES,NOTTO,NOTTO,"H2 KEUR MADARO NIANG",2,2,38,11,49
THIES,THIES,NOTTO,NOTTO,"KEUR MADIAMA WADE",23,29,171,182,353
THIES,THIES,NOTTO,NOTTO,"KEUR MAGUEYE NDAO",73,82,404,351,755
THIES,THIES,NOTTO,NOTTO,"KEUR MALICK FATMA",4,7,29,21,50
THIES,THIES,NOTTO,NOTTO,"KEUR MAMOUR MBENGUE (MBENGUENE)",6,9,78,42,120
THIES,THIES,NOTTO,NOTTO,"KEUR MAMOUR NGOUNDJI",20,21,92,81,173
THIES,THIES,NOTTO,NOTTO,"KEUR MASSYLLA DIEYE",17,35,188,150,338
THIES,THIES,NOTTO,NOTTO,"H1 KEUR MAMOUR GALLO",4,8,46,50,96
THIES,THIES,NOTTO,NOTTO,"KEUR MATAR DARO DIA (NDIA)",17,17,117,115,232
THIES,THIES,NOTTO,NOTTO,"KEUR MATOURE GNING",53,65,436,385,821
THIES,THIES,NOTTO,NOTTO,"KEUR MORY FALL",33,38,197,210,407
THIES,THIES,NOTTO,NOTTO,"KEUR NDIOL DIENG",5,5,9,14,23
THIES,THIES,NOTTO,NOTTO,"KEUR SADARO FAME",30,33,209,221,430
THIES,THIES,NOTTO,NOTTO,"KEUR SANGONE HANNE",9,9,93,73,166
THIES,THIES,NOTTO,NOTTO,"H1 KEUR KANE",8,19,138,158,296
THIES,THIES,NOTTO,NOTTO,"H2 MBEYE",3,6,48,42,90
THIES,THIES,NOTTO,NOTTO,"KEUR WADE GUEYE",6,12,115,88,203
THIES,THIES,NOTTO,NOTTO,KISSANE,42,78,487,429,916
THIES,THIES,NOTTO,NOTTO,"H1 NGORRICK",7,42,169,154,323
THIES,THIES,NOTTO,NOTTO,"H2 SESSENE",11,28,129,143,272
THIES,THIES,NOTTO,NOTTO,"H4 THIAMBY",11,49,259,234,493
THIES,THIES,NOTTO,NOTTO,"H4 DIARAO",2,9,35,25,60
THIES,THIES,NOTTO,NOTTO,"MANDANGRI OUOLOF",41,49,210,224,434
THIES,THIES,NOTTO,NOTTO,"H1 MBOUFOUDJI",13,22,148,147,295
THIES,THIES,NOTTO,NOTTO,"MANDANGRI TOUCOULEUR",4,4,22,21,43
THIES,THIES,NOTTO,NOTTO,"H1 DIAMAGUENE PEULH",20,28,179,141,320
THIES,THIES,NOTTO,NOTTO,"MBAMBARA CHERIF",35,39,241,214,455
THIES,THIES,NOTTO,NOTTO,MBODIENE,67,78,409,358,767
THIES,THIES,NOTTO,NOTTO,MBOMBOYE,19,44,299,285,584
THIES,THIES,NOTTO,NOTTO,"H1 NGANE NGANE",13,18,77,81,158
THIES,THIES,NOTTO,NOTTO,"H2 MASSAL",16,21,210,207,417
THIES,THIES,NOTTO,NOTTO,"H3 TAHACK",8,19,103,90,193
THIES,THIES,NOTTO,NOTTO,"H4 KEDEMBOKH",16,20,98,78,176
THIES,THIES,NOTTO,NOTTO,"H5 NGAGATHIE",19,38,275,260,535
THIES,THIES,NOTTO,NOTTO,"H6 NDANDOUCK",8,10,45,38,83
THIES,THIES,NOTTO,NOTTO,"MBOUSNAKH NGOR",32,133,677,669,1346
