Region,Departement,COM_ARRT_VILLE,COMMUNE,QUARTIER_VILLAGE_HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION
THIES,TIVAOUANE,MEKHE,MEKHE,HLM,247,271,1412,1584,2996
THIES,TIVAOUANE,MEKHE,MEKHE,"LEBOU EST",230,293,1453,1483,2936
THIES,TIVAOUANE,MEKHE,MEKHE,"LEBOU OUEST",326,382,1572,1799,3371
THIES,TIVAOUANE,MEKHE,MEKHE,MBAMBARA,311,364,2240,1798,4038
THIES,TIVAOUANE,MEKHE,MEKHE,NDIOB,515,609,2892,3146,6038
THIES,TIVAOUANE,MEKHE,MEKHE,"NGAYE DIAGNE",345,399,1974,2162,4136
THIES,TIVAOUANE,MEKHE,MEKHE,"NGAYE DJITE",324,371,2044,2007,4051
THIES,TIVAOUANE,TIVAOUANE,TIVAOUANE,"BAITY BALLA DIA",92,95,551,359,910
THIES,TIVAOUANE,TIVAOUANE,TIVAOUANE,BITIWE,233,247,1272,1056,2328
THIES,TIVAOUANE,TIVAOUANE,TIVAOUANE,COMMERCIAL,68,84,337,360,697
THIES,TIVAOUANE,TIVAOUANE,TIVAOUANE,"DAROU SALAM",304,352,1523,1721,3244
THIES,TIVAOUANE,TIVAOUANE,TIVAOUANE,"DIALLO NGUIDIANE",110,157,766,803,1569
THIES,TIVAOUANE,TIVAOUANE,TIVAOUANE,"EL HADJI MALICK SY",594,676,4430,3040,7470
THIES,TIVAOUANE,TIVAOUANE,TIVAOUANE,FOGNY,601,701,3604,3325,6929
THIES,TIVAOUANE,TIVAOUANE,TIVAOUANE,GOUMOUNE,664,726,3659,3436,7095
THIES,TIVAOUANE,TIVAOUANE,TIVAOUANE,HLM,265,347,1129,1025,2154
THIES,TIVAOUANE,TIVAOUANE,TIVAOUANE,"KEUR BABA ALIMA",186,235,1651,1408,3059
THIES,TIVAOUANE,TIVAOUANE,TIVAOUANE,"KEUR BABA SEYE",10,10,53,48,101
