Region,Departement,COM_ARRT_VILLE,COMMUNE,QUARTIER_VILLAGE_HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION
KOLDA,VELINGARA,VELINGARA,VELINGARA,CENTRE,326,518,2146,2153,4299
KOLDA,VELINGARA,VELINGARA,VELINGARA,OUEST,325,429,1923,1919,3842
KOLDA,VELINGARA,VELINGARA,VELINGARA,"SINTHIANG HOULATA",348,515,1894,1878,3772
KOLDA,VELINGARA,VELINGARA,VELINGARA,"VELINGARA PEULH",309,405,1269,1361,2630
KOLDA,VELINGARA,VELINGARA,VELINGARA,"SINTHIANG AIDARA",256,351,1266,1318,2584
KOLDA,VELINGARA,VELINGARA,VELINGARA,"CHÂTEAU D'EAU",509,535,2070,2022,4092
KOLDA,VELINGARA,VELINGARA,VELINGARA,MAREWE,127,133,471,468,939
KOLDA,VELINGARA,VELINGARA,VELINGARA,"SINTHIANG WANBABE",126,136,590,515,1105
KOLDA,VELINGARA,VELINGARA,VELINGARA,NASSOUROULAHI,413,451,1910,1746,3656
KOLDA,VELINGARA,VELINGARA,VELINGARA,HAFIA,273,301,1191,1075,2266
KOLDA,VELINGARA,VELINGARA,VELINGARA,"THIANKAN I",211,265,1231,1230,2461
KOLDA,VELINGARA,VELINGARA,VELINGARA,"THIANKAN II",430,467,2160,1991,4151
KOLDA,VELINGARA,VELINGARA,VELINGARA,"SAMBA I5 ANS",193,290,1317,1398,2715
KOLDA,VELINGARA,VELINGARA,VELINGARA,HLM,72,80,371,325,696
KOLDA,VELINGARA,VELINGARA,VELINGARA,FOULBE,583,818,2992,3231,6223
KOLDA,VELINGARA,BONCONTO,BONCONTO,AFIA,10,10,67,34,101
KOLDA,VELINGARA,BONCONTO,BONCONTO,"H1 DAROU SALAM( SINTHIANG NANGUELY)",7,9,46,41,87
KOLDA,VELINGARA,BONCONTO,BONCONTO,AMANANTOULAYE,24,38,155,123,278
KOLDA,VELINGARA,BONCONTO,BONCONTO,BANDIAGARA,8,8,41,38,79
KOLDA,VELINGARA,BONCONTO,BONCONTO,BANTANCOUNTOU,34,42,220,225,445
KOLDA,VELINGARA,BONCONTO,BONCONTO,"H1 SINTHIANG KAIRABA",2,2,17,10,27
KOLDA,VELINGARA,BONCONTO,BONCONTO,BONCONTO,112,130,545,571,1116
KOLDA,VELINGARA,BONCONTO,BONCONTO,"BONCONTO FOUTA",46,50,248,203,451
KOLDA,VELINGARA,BONCONTO,BONCONTO,"H1 SINTHIANG YOWTOU",14,16,83,66,149
KOLDA,VELINGARA,BONCONTO,BONCONTO,"DAROU IDJIRATOU",161,205,1108,972,2080
KOLDA,VELINGARA,BONCONTO,BONCONTO,"H1 DAROU BARKATOU(SINTHIANG ALIOU)",18,20,165,124,289
KOLDA,VELINGARA,BONCONTO,BONCONTO,"H2 DAROU GADA",32,39,165,166,331
KOLDA,VELINGARA,BONCONTO,BONCONTO,"DAROU SALAM DJIDERE",32,39,173,131,304
KOLDA,VELINGARA,BONCONTO,BONCONTO,"DAROU SALAM SADOU BARRY",8,11,27,48,75
KOLDA,VELINGARA,BONCONTO,BONCONTO,"DIANDIANG GUELADIO",34,45,235,176,411
KOLDA,VELINGARA,BONCONTO,BONCONTO,"DYABOUGOU FODE (MANDOUGOU FODE)",13,14,76,100,176
KOLDA,VELINGARA,BONCONTO,BONCONTO,FASS,14,17,85,83,168
KOLDA,VELINGARA,BONCONTO,BONCONTO,"HAMDALLAYE BARKA",15,16,118,118,236
KOLDA,VELINGARA,BONCONTO,BONCONTO,"HAMDALAYE KOULA",10,10,56,41,97
KOLDA,VELINGARA,BONCONTO,BONCONTO,"KAEL BASSEL",13,18,63,65,128
KOLDA,VELINGARA,BONCONTO,BONCONTO,"H1 MAMEL BOIRO",9,10,34,26,60
KOLDA,VELINGARA,BONCONTO,BONCONTO,"H2 KOUREGA",1,2,8,6,14
KOLDA,VELINGARA,BONCONTO,BONCONTO,"KEREWANE PAKANE",16,17,77,71,148
KOLDA,VELINGARA,BONCONTO,BONCONTO,KODIONTE,26,47,169,174,343
KOLDA,VELINGARA,BONCONTO,BONCONTO,"KOUNDARA KABA",15,23,115,110,225
KOLDA,VELINGARA,BONCONTO,BONCONTO,"H1 SINTHIANG KABA",13,14,66,80,146
KOLDA,VELINGARA,BONCONTO,BONCONTO,MAMPATAYEL,8,8,71,60,131
KOLDA,VELINGARA,BONCONTO,BONCONTO,"MANDOUNKOU KALY",10,10,66,42,108
KOLDA,VELINGARA,BONCONTO,BONCONTO,"MOUNDOUNG KANANKE",12,18,73,56,129
KOLDA,VELINGARA,BONCONTO,BONCONTO,"MOUNTING HAMADY",30,36,211,199,410
KOLDA,VELINGARA,BONCONTO,BONCONTO,"NETERE PAKANE",12,15,46,39,85
KOLDA,VELINGARA,BONCONTO,BONCONTO,"H1 SARE YAYA",5,7,12,21,33
KOLDA,VELINGARA,BONCONTO,BONCONTO,"H2 SARE DIAMALAL",3,3,13,8,21
KOLDA,VELINGARA,BONCONTO,BONCONTO,"H3 SARE ABDOUL",1,1,7,5,12
KOLDA,VELINGARA,BONCONTO,BONCONTO,PAKANE,26,34,153,132,285
KOLDA,VELINGARA,BONCONTO,BONCONTO,"PAKINIA MAOUNDE",20,26,102,125,227
KOLDA,VELINGARA,BONCONTO,BONCONTO,"PATIMCOUTA PAKANE",46,51,202,188,390
KOLDA,VELINGARA,BONCONTO,BONCONTO,"H2 SINTHIANG SARA",1,2,5,4,9
KOLDA,VELINGARA,BONCONTO,BONCONTO,"H1 SINTHIANG OUMAR DIA",1,1,8,5,13
KOLDA,VELINGARA,BONCONTO,BONCONTO,"SAHATOU GOUNASS",32,45,326,244,570
KOLDA,VELINGARA,BONCONTO,BONCONTO,"SARE BOSSODIE",87,104,550,463,1013
KOLDA,VELINGARA,BONCONTO,BONCONTO,"SARE YERO BOULY (SARE BOULY)",5,5,41,42,83
KOLDA,VELINGARA,BONCONTO,BONCONTO,"SINTHIANG BAILO",28,36,139,139,278
KOLDA,VELINGARA,BONCONTO,BONCONTO,"SINTHIANG PAKINIA",48,49,197,223,420
KOLDA,VELINGARA,BONCONTO,BONCONTO,"TEYEL (TEYEL PAKANE)",8,8,44,32,76
KOLDA,VELINGARA,BONCONTO,BONCONTO,THIANCOUNE,46,49,234,165,399
