Region,Departement,COM_ARRT_VILLE,COMMUNE,QUARTIER_VILLAGE_HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,ADEANE,BAGHAGHA,358,410,2270,2001,4271
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,ADEANE,"H2 GONOUM",27,32,171,158,329
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,ADEANE,BAINOUNCK,7,7,15,19,34
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,ADEANE,DIAGNON,80,108,845,757,1602
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,ADEANE,KOUNDIOUNDOU,48,56,303,308,611
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,ADEANE,SINDONE,155,164,688,727,1415
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,ADEANE,"H1 SANTASSOU",9,10,43,59,102
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,ADEANE,"H2 LAGOUA",32,36,132,142,274
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,ADEANE,TAMBACOUMBA,91,135,463,520,983
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,ADEANE,"BISSINE ALBONDY",29,31,113,91,204
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,ADEANE,"BISSINE TENDA",4,4,14,12,26
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,"BOUTOUPA CAMARACOUNDA","BINDIALOUM MANJACQUE",8,8,21,13,34
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,"BOUTOUPA CAMARACOUNDA","H1 BINDIALOUM",1,1,3,1,4
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,"BOUTOUPA CAMARACOUNDA","BARAKA BOUNAO",7,8,32,33,65
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,"BOUTOUPA CAMARACOUNDA","H1 LABYSSENTH",23,23,57,51,108
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,"BOUTOUPA CAMARACOUNDA","BARAKA PAKAO",6,7,16,11,27
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,"BOUTOUPA CAMARACOUNDA","H2 YABONE (PIDOUR)",6,6,16,16,32
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,"BOUTOUPA CAMARACOUNDA","H3 SALMINGOU",1,1,2,3,5
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,"BOUTOUPA CAMARACOUNDA",BOFFA,9,9,23,19,42
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,"BOUTOUPA CAMARACOUNDA","H1 BOFFA (CAMP MILITAIRE)",3,3,9,3,12
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,"BOUTOUPA CAMARACOUNDA","BOUROFAYE BAINOUCK",78,85,395,290,685
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,"BOUTOUPA CAMARACOUNDA","H1 TOURECOUNDA de BOUROFAYE BAINOUCK",6,11,34,35,69
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,"BOUTOUPA CAMARACOUNDA","H2 TRAWOUL",5,5,5,6,11
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,"BOUTOUPA CAMARACOUNDA","H3 WASHINGTON",3,3,27,8,35
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,"BOUTOUPA CAMARACOUNDA","H5 BAGAYA",6,7,22,17,39
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,"BOUTOUPA CAMARACOUNDA","H8 BADIONKOTO I",2,2,7,2,9
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,"BOUTOUPA CAMARACOUNDA","H10 POUBOUL",4,4,6,5,11
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,"BOUTOUPA CAMARACOUNDA","H11 TEMENTO",1,1,5,4,9
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,"BOUTOUPA CAMARACOUNDA","BOUROFAYE DIOLA",6,7,23,17,40
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,"BOUTOUPA CAMARACOUNDA","H1 EKEU",7,7,18,13,31
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,"BOUTOUPA CAMARACOUNDA","H2 NIAFOULENE",67,74,223,207,430
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,"BOUTOUPA CAMARACOUNDA","H3 BOUNKILING",21,21,78,47,125
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,"BOUTOUPA CAMARACOUNDA","H4 BOUCOTTE MANCAGNE",169,212,821,726,1547
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,"BOUTOUPA CAMARACOUNDA","H5 KAKOUNOUM",4,4,18,8,26
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,"BOUTOUPA CAMARACOUNDA",BOUTOUPA,3,5,18,25,43
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,"BOUTOUPA CAMARACOUNDA","H1 TRANQUILLE",93,102,413,350,763
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,"BOUTOUPA CAMARACOUNDA",CAMARACOUNDA,138,146,687,657,1344
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,"BOUTOUPA CAMARACOUNDA","GUIDEL BAMBADINKA",8,8,11,12,23
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,"BOUTOUPA CAMARACOUNDA","H1 BAMBADINKA",23,24,66,59,125
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,"BOUTOUPA CAMARACOUNDA","H3 FANGHOT MANJAQUE",10,10,29,27,56
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,"BOUTOUPA CAMARACOUNDA","H1 TEMPS",4,4,9,3,12
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,"BOUTOUPA CAMARACOUNDA",LATY,14,16,67,55,122
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,"BOUTOUPA CAMARACOUNDA","H2 TEMENTO",7,7,12,19,31
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,"BOUTOUPA CAMARACOUNDA",MAWA,33,33,139,152,291
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,"BOUTOUPA CAMARACOUNDA","H1 TOURECOUNDA de MAWA",4,5,10,9,19
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,"BOUTOUPA CAMARACOUNDA","MPACK BRIGADIER",59,59,253,221,474
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,"BOUTOUPA CAMARACOUNDA","H1 DRAMECOUNDA",2,2,5,7,12
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,"BOUTOUPA CAMARACOUNDA","H2 NTABARANE",66,74,191,198,389
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,"BOUTOUPA CAMARACOUNDA","H3 KABANCANY",28,32,104,91,195
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,"BOUTOUPA CAMARACOUNDA","H4 KAMPADA",29,39,90,63,153
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,"BOUTOUPA CAMARACOUNDA",NIABINA,27,27,106,124,230
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,"BOUTOUPA CAMARACOUNDA","H1 NIABINA II",6,6,26,29,55
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,"BOUTOUPA CAMARACOUNDA",NIADJOU,27,30,131,110,241
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,"BOUTOUPA CAMARACOUNDA",NIAFENIA,1,1,1,0,1
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,"BOUTOUPA CAMARACOUNDA","H1 NIAFETA VAINE",3,3,4,1,5
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,"BOUTOUPA CAMARACOUNDA",POUBOS,3,3,10,11,21
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,"BOUTOUPA CAMARACOUNDA",SAMICK,27,28,117,97,214
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,"BOUTOUPA CAMARACOUNDA","H3 KOUMPENTOU",8,8,19,25,44
